i,j,k,count
13,7,18,47
13,18,7,47
7,13,18,47
7,18,13,47
18,13,7,47
18,7,13,47
12,14,2,11
12,2,14,11
14,12,2,11
14,2,12,11
2,12,14,11
2,14,12,11
3,15,17,11
3,15,11,15
3,15,4,9
3,17,15,11
3,17,11,22
3,17,4,16
3,11,15,15
3,11,17,22
3,11,4,18
3,4,15,9
3,4,17,16
3,4,11,18
15,3,17,11
15,3,11,15
15,3,4,9
15,17,3,11
15,17,11,40
15,17,4,16
15,11,3,15
15,11,17,40
15,11,4,13
15,4,3,9
15,4,17,16
15,4,11,13
17,3,15,11
17,3,11,22
17,3,4,16
17,15,3,11
17,15,11,40
17,15,4,16
17,11,3,22
17,11,15,40
17,11,4,22
17,4,3,16
17,4,15,16
17,4,11,22
11,3,15,15
11,3,17,22
11,3,4,18
11,15,3,15
11,15,17,40
11,15,4,13
11,17,3,22
11,17,15,40
11,17,4,22
11,4,3,18
11,4,15,13
11,4,17,22
4,3,15,9
4,3,17,16
4,3,11,18
4,15,3,9
4,15,17,16
4,15,11,13
4,17,3,16
4,17,15,16
4,17,11,22
4,11,3,18
4,11,15,13
4,11,17,22
5,14,17,42
5,14,8,16
5,14,12,42
5,17,14,42
5,17,8,36
5,17,12,44
5,8,14,16
5,8,17,36
5,8,12,22
5,12,14,42
5,12,17,44
5,12,8,22
14,5,17,42
14,5,8,16
14,5,12,42
14,17,5,42
14,17,8,41
14,17,12,38
14,8,5,16
14,8,17,41
14,8,12,14
14,12,5,42
14,12,17,38
14,12,8,14
17,5,14,42
17,5,8,36
17,5,12,44
17,14,5,42
17,14,8,41
17,14,12,38
17,8,5,36
17,8,14,41
17,8,12,25
17,12,5,44
17,12,14,38
17,12,8,25
8,5,14,16
8,5,17,36
8,5,12,22
8,14,5,16
8,14,17,41
8,14,12,14
8,17,5,36
8,17,14,41
8,17,12,25
8,12,5,22
8,12,14,14
8,12,17,25
12,5,14,42
12,5,17,44
12,5,8,22
12,14,5,42
12,14,17,38
12,14,8,14
12,17,5,44
12,17,14,38
12,17,8,25
12,8,5,22
12,8,14,14
12,8,17,25
6,12,16,30
