Exam Group,Exam Block,adj_block
72-0103,2,2
1-9185,13,13
MLG17,14,14
1-8222,8,8
1-6240,21,21
1-5549,15,15
1-8021,15,15
1-8767,1,1
1-8181,22,22
1-8020,21,21
1-7964,2,2
1-9722,5,5
MLG84,9,9
1-9805,6,6
1-6098,22,22
1-8093,3,3
1-9955,9,9
1-18603,22,22
1-3521,11,11
1-2596,11,11
1-5167,2,2
1-3519,3,3
1-7995,3,3
1-2025,2,2
1-7140,9,9
1-9607,20,20
1-9907,7,7
1-18409,20,20
1-10071,21,21
1-18735,13,13
1-8418,4,4
1-8938,3,3
1-0022,10,10
1-7991,16,16
1-6642,2,2
1-2869,2,2
1-2714,14,14
1-5508,7,7
1-2104,2,2
1-7467,20,20
1-7722,3,3
1-7509,1,1
1-1207,18,18
1-8705,3,3
1-5214,11,11
1-9444,12,12
1-8566,8,8
1-19547,5,5
1-0405,5,5
1-2178,4,4
1-8174,2,2
1-9925,10,10
72-12387,6,6
1-9850,16,16
1-8125,10,10
1-8095,12,12
1-5877,7,7
1-1224,16,16
1-17733,10,10
1-9331,8,8
1-18202,3,3
1-7341,15,15
1-9818,1,1
1-7066,5,5
1-9674,10,10
1-8659,19,19
1-7536,13,13
1-7481,11,11
1-7845,16,16
1-18498,3,3
1-2584,10,10
1-6532,14,14
1-9614,23,23
1-5355,1,1
1-8124,15,15
1-8401,2,2
1-8541,18,18
1-2153,7,7
1-4088,12,12
1-9739,4,4
1-9115,4,4
1-7770,12,12
1-17645,2,2
1-18423,2,2
1-18714,11,11
1-8084,6,6
1-9345,13,13
MLG35,23,23
1-5626,13,13
1-18004,4,4
1-19222,20,20
72-12171,6,6
1-7807,17,17
1-20003,21,21
1-3083,5,5
1-3312,10,10
MLG37,2,2
1-9237,20,20
1-8127,20,20
1-5775,1,1
1-19598,2,2
1-9892,1,1
1-3564,2,2
1-8820,14,14
1-8267,17,17
1-1258,6,6
MLG69,19,19
1-6971,3,3
1-9731,2,2
1-9768,1,1
72-18936,6,6
1-19897,3,3
1-10698,11,11
1-4499,9,9
1-7496,16,16
1-3178,2,2
1-20047,2,2
1-0358,23,23
1-6543,4,4
1-5929,2,2
1-10232,8,8
1-7070,7,7
MLG42,21,21
MLG55,8,8
1-8427,11,11
1-8622,20,20
1-8488,12,12
1-9643,4,4
1-19286,23,23
1-2573,2,2
1-1833,5,5
1-9283,12,12
1-9110,4,4
1-8576,6,6
1-9465,5,5
1-9712,1,1
1-9549,14,14
1-1972,21,21
1-5515,3,3
1-7863,6,6
1-2294,10,10
MLG45,1,1
P-16454,2,2
1-8928,12,12
1-7744,7,7
MLG06,1,1
1-7453,16,16
1-17657,2,2
