i,j,count
12,20,10
20,12,10
22,20,4
20,22,4
21,7,23
7,21,23
5,18,34
18,5,34
17,21,13
21,17,13
11,10,27
10,11,27
4,21,31
21,4,31
22,11,21
11,22,21
3,9,19
9,3,19
1,5,50
5,1,50
8,2,18
2,8,18
17,7,42
7,17,42
19,20,2
20,19,2
4,12,38
12,4,38
8,12,33
12,8,33
5,2,75
2,5,75
4,10,36
10,4,36
13,8,20
8,13,20
3,10,11
10,3,11
15,2,14
2,15,14
6,15,25
15,6,25
6,17,61
17,6,61
7,12,16
12,7,16
4,17,52
17,4,52
17,3,16
3,17,16
21,5,22
5,21,22
15,20,9
20,15,9
8,6,35
6,8,35
9,16,6
16,9,6
5,16,17
16,5,17
1,2,18
2,1,18
13,9,46
9,13,46
22,17,11
17,22,11
4,11,30
11,4,30
9,15,5
15,9,5
18,21,36
21,18,36
21,9,10
9,21,10
6,16,17
16,6,17
5,14,18
14,5,18
4,9,9
9,4,9
18,11,29
11,18,29
9,2,12
2,9,12
4,8,39
8,4,39
17,1,10
1,17,10
18,7,19
7,18,19
8,17,37
17,8,37
15,11,6
11,15,6
15,8,8
8,15,8
11,17,33
17,11,33
5,12,9
12,5,9
3,2,14
2,3,14
13,12,21
12,13,21
13,15,17
15,13,17
13,7,4
7,13,4
8,22,13
22,8,13
12,21,28
21,12,28
6,2,28
2,6,28
14,12,11
12,14,11
3,18,17
18,3,17
12,3,21
3,12,21
5,6,32
6,5,32
1,8,6
8,1,6
20,21,4
21,20,4
5,22,15
22,5,15
14,11,16
11,14,16
5,15,11
15,5,11
8,20,13
20,8,13
6,10,21
10,6,21
6,1,25
1,6,25
5,7,20
7,5,20
21,6,26
6,21,26
19,18,13
18,19,13
2,4,35
4,2,35
3,3,10
10,22,8
22,10,8
18,17,25
17,18,25
4,3,25
3,4,25
14,9,11
9,14,11
18,4,45
4,18,45
10,18,36
18,10,36
5,9,20
9,5,20
11,9,22
9,11,22
3,11,25
11,3,25
16,18,16
18,16,16
9,17,31
17,9,31
1,4,28
4,1,28
8,9,19
9,8,19
19,13,3
13,19,3
8,18,42
