Exam Group,Exam Block,adj_block
72-0103,2,2
1-9185,16,16
MLG17,7,7
1-8222,3,3
1-6240,5,5
1-5549,1,1
1-8021,15,15
1-8767,1,1
1-8181,8,8
1-8020,14,14
1-7964,8,8
1-9722,4,4
MLG84,7,7
1-9805,12,12
1-6098,11,11
1-8093,8,8
1-9955,2,2
1-18603,2,2
1-3521,4,4
1-2596,1,1
1-5167,13,13
1-3519,2,2
1-7995,1,1
1-2025,16,16
1-7140,16,16
1-9607,20,20
1-9907,3,3
1-18409,17,17
1-10071,5,5
1-18735,7,7
1-8418,17,17
1-8938,11,11
1-0022,1,1
1-7991,1,1
1-6642,1,1
1-2869,7,7
1-2714,12,12
1-5508,7,7
1-2104,3,3
1-7467,17,17
1-7722,12,12
1-7509,20,20
1-1207,2,2
1-8705,1,1
1-5214,9,9
1-9444,11,11
1-8566,5,5
1-19547,12,12
1-0405,5,5
1-2178,2,2
1-8174,15,15
1-9925,19,19
72-12387,3,3
1-9850,2,2
1-8125,14,14
1-8095,5,5
1-5877,4,4
1-1224,19,19
1-17733,19,19
1-9331,6,6
1-18202,13,13
1-7341,20,20
1-9818,2,2
1-7066,2,2
1-9674,19,19
1-8659,7,7
1-7536,2,2
1-7481,12,12
1-7845,4,4
1-18498,5,5
1-2584,1,1
1-6532,10,10
1-9614,11,11
1-5355,18,18
1-8124,15,15
1-8401,1,1
1-8541,2,2
1-2153,8,8
1-4088,16,16
1-9739,19,19
1-9115,13,13
1-7770,7,7
1-17645,17,17
1-18423,2,2
1-18714,4,4
1-8084,11,11
1-9345,1,1
MLG35,14,14
1-5626,18,18
1-18004,4,4
1-19222,1,1
72-12171,4,4
1-7807,9,9
1-20003,2,2
1-3083,5,5
1-3312,3,3
MLG37,6,6
1-9237,18,18
1-8127,13,13
1-5775,4,4
1-19598,14,14
1-9892,4,4
1-3564,17,17
1-8820,19,19
1-8267,9,9
1-1258,18,18
MLG69,7,7
1-6971,1,1
1-9731,5,5
1-9768,4,4
72-18936,13,13
1-19897,9,9
1-10698,5,5
1-4499,2,2
1-7496,9,9
1-3178,1,1
1-20047,1,1
1-0358,3,3
1-6543,4,4
1-5929,1,1
1-10232,1,1
1-7070,1,1
MLG42,5,5
MLG55,15,15
1-8427,1,1
1-8622,6,6
1-8488,15,15
1-9643,5,5
1-19286,13,13
1-2573,6,6
1-1833,6,6
1-9283,15,15
1-9110,20,20
1-8576,3,3
1-9465,1,1
1-9712,8,8
1-9549,11,11
1-1972,3,3
1-5515,13,13
1-7863,18,18
1-2294,19,19
MLG45,1,1
P-16454,6,6
1-8928,20,20
1-7744,8,8
MLG06,18,18
1-7453,2,2
1-17657,5,5
1-0001,2,2
MLG58,17,17
1-7005,2,2
1-9870,3,3
1-9500,16,16
1-1350,1,1
1-18994,13,13
1-9447,16,16
1-8634,10,10
1-6061,11,11
1-7599,7,7
1-10696,7,7
1-19813,6,6
MLG41,17,17
1-8067,19,19
1-9137,12,12
1-9740,4,4
1-7721,2,2
MLG40,14,14
1-4929,10,10
1-9655,6,6
1-9606,11,11
1-5043,18,18
1-8100,6,6
1-8573,13,13
1-9588,2,2
MLG38,12,12
1-4910,1,1
1-8042,1,1
1-10948,1,1
1-7525,2,2
1-4052,8,8
1-0037,6,6
1-8641,1,1
1-7752,3,3
1-9496,11,11
1-8074,4,4
1-8906,2,2
72-11994,1,1
1-7321,5,5
1-20167,11,11
1-9156,4,4
1-2382,12,12
1-8328,9,9
1-9770,4,4
1-9553,13,13
1-9253,3,3
1-2670,13,13
1-9646,1,1
1-8646,6,6
1-9839,14,14
MLG39,17,17
1-4634,11,11
1-9902,16,16
1-8988,3,3
1-1250,4,4
1-9733,14,14
1-8018,16,16
1-9752,5,5
1-7058,18,18
1-10468,19,19
1-9938,19,19
1-7842,4,4
1-5406,1,1
1-10922,1,1
1-18563,12,12
1-0053,11,11
1-19839,10,10
1-9887,13,13
1-9630,9,9
1-9416,4,4
1-5653,3,3
MLG73,14,14
1-8023,1,1
1-4149,2,2
1-0205,2,2
1-9227,2,2
1-9650,16,16
1-9996,8,8
1-3068,9,9
1-17835,5,5
1-4361,10,10
1-3089,4,4
1-8450,6,6
1-18371,4,4
MLG07,2,2
MLG29,11,11
1-8113,2,2
1-7024,16,16
1-9667,15,15
1-9855,17,17
1-7042,12,12
MLG33,12,12
1-19448,16,16
1-20791,6,6
1-1015,9,9
MLG57,5,5
1-6647,4,4
MLG56,7,7
1-20467,1,1
1-2400,9,9
1-6931,15,15
1-9333,4,4
1-7268,1,1
1-21195,1,1
1-4649,6,6
1-8379,1,1
1-9946,3,3
1-9277,2,2
1-9504,3,3
1-9516,14,14
1-3596,12,12
1-0129,18,18
1-1942,2,2
1-8623,1,1
1-6927,19,19
P-0009,7,7
1-11330,1,1
1-2103,16,16
1-6181,3,3
MLG44,17,17
1-7839,5,5
1-1390,12,12
1-7897,4,4
1-1570,18,18
1-3589,2,2
1-0033,4,4
1-3216,1,1
1-9495,13,13
1-4051,1,1
1-10762,10,10
MLG43,7,7
1-7608,5,5
1-9995,3,3
1-1608,14,14
1-3535,4,4
1-4136,1,1
1-18615,17,17
1-3587,9,9
1-9836,4,4
1-8590,4,4
1-1592,10,10
1-8341,2,2
MLG02,20,20
1-9997,3,3
1-8066,20,20
1-3509,3,3
1-3639,18,18
1-9404,19,19
1-8352,1,1
1-7019,3,3
MLG54,6,6
1-4020,5,5
1-1177,10,10
MLG51,5,5
1-8157,4,4
1-19004,3,3
1-7866,20,20
1-18377,9,9
1-5530,2,2
1-6743,19,19
1-3516,9,9
1-4855,6,6
1-20578,20,20
1-3108,1,1
1-7521,4,4
1-3139,2,2
1-1769,19,19
1-7441,18,18
1-10978,15,15
1-2324,6,6
1-3584,11,11
MLG13,2,2
