i,j,count
15,18,214
8,5,189
10,17,112
10,2,88
17,2,47
17,1,153
17,13,107
1,13,217
8,1,282
8,14,326
8,15,141
8,4,345
1,14,481
1,15,252
1,4,597
14,15,154
14,4,385
15,4,254
16,14,44
11,1,490
11,14,411
11,8,342
11,4,343
1,8,455
14,8,279
18,2,143
18,5,222
2,5,174
7,20,145
7,14,138
7,13,67
7,4,188
20,14,91
20,13,54
20,4,265
14,13,108
13,4,182
1,16,168
1,10,156
1,7,337
16,10,38
16,7,55
10,7,144
21,14,205
21,20,88
14,20,221
20,17,232
20,9,83
20,11,65
17,9,123
17,11,108
9,11,16
14,11,139
14,19,295
14,10,152
11,20,258
11,19,209
11,10,59
20,19,44
20,10,67
19,10,42
19,4,219
10,4,121
7,1,163
7,8,170
20,1,129
20,8,93
16,1,49
16,8,57
16,13,63
8,13,150
1,19,254
15,1,166
15,12,278
1,12,186
4,16,103
9,18,107
9,20,61
18,20,93
21,10,84
21,7,211
14,18,214
19,18,53
14,3,100
11,16,144
15,14,163
15,19,212
10,21,125
10,16,64
10,1,144
21,16,127
21,1,254
1,5,207
1,21,413
5,21,103
11,7,243
7,16,98
16,20,62
13,10,18
15,2,181
15,8,196
15,9,305
2,8,114
2,9,112
8,9,80
2,7,59
8,7,216
11,15,149
11,2,122
21,8,265
21,15,107
14,5,63
5,19,26
11,21,247
11,17,305
21,17,233
21,4,242
21,11,121
1,11,255
4,11,59
13,20,96
13,16,62
20,16,55
1,20,289
4,14,111
4,20,86
7,2,103
7,12,46
2,12,28
2,4,45
12,4,117
8,21,314
8,18,248
21,18,294
21,3,169
3,16,52
15,20,106
10,19,104
1,3,171
1,18,399
11,3,147
11,18,314
3,19,149
3,18,87
17,3,35
17,6,68
17,18,83
3,6,52
3,9,76
6,9,147
6,18,166
2,1,54
11,9,114
9,17,57
10,11,71
10,14,112
17,14,212
4,15,60
4,13,92
15,13,116
15,21,122
8,2,96
14,21,306
14,6,128
21,6,119
8,17,176
8,11,188
5,18,142
5,14,75
5,4,67
19,14,179
18,14,256
18,4,238
6,10,50
6,3,124
10,3,34
17,4,261
17,21,124
13,21,103
4,21,160
18,3,167
5,3,58
6,5,58
6,15,108
5,15,77
10,13,124
10,6,52
14,2,87
2,13,101
2,6,69
13,6,42
15,7,213
15,6,98
7,6,67
12,6,60
14,17,207
21,9,252
18,8,195
6,4,90
9,4,85
4,7,104
7,15,93
7,19,115
18,6,119
18,1,119
6,1,111
12,9,283
16,3,55
16,5,37
3,1,48
3,5,65
6,7,61
18,10,101
18,7,161
6,14,119
10,15,83
10,18,82
1,9,185
21,12,117
14,1,242
18,21,116
1,6,171
6,11,54
20,21,44
6,12,65
19,21,50
3,13,66
1,17,445
7,17,105
7,5,78
17,19,75
17,5,81
19,5,23
19,11,63
6,13,50
21,2,86
11,13,104
21,19,94
5,9,156
5,2,103
9,2,62
12,10,35
12,7,156
4,9,110
9,14,63
8,16,228
17,16,37
9,16,32
12,21,131
7,21,156
5,1,59
12,18,94
7,18,157
7,3,90
12,1,171
12,12,116
12,15,102
12,16,85
12,19,112
15,16,49
16,4,83
16,19,27
4,19,92
20,15,64
20,2,45
16,18,27
18,13,130
17,8,214
4,8,114
14,9,196
9,21,47
5,12,50
1,2,115
13,2,70
4,18,82
8,20,272
17,20,158
2,15,71
11,6,139
6,21,81
15,10,109
7,10,51
21,5,141
5,17,91
3,14,149
13,19,61
12,11,49
4,17,127
12,17,85
8,6,96
16,6,20
19,13,71
19,2,41
8,19,192
2,11,57
2,18,80
13,1,45
4,1,76
4,10,32
9,5,69
11,5,163
5,16,35
20,18,70
20,7,66
18,15,167
18,19,59
10,9,46
16,2,17
16,9,19
13,9,46
14,7,159
8,10,76
18,9,167
9,6,46
9,12,143
10,5,88
7,11,89
15,11,89
2,10,24
1,1,101
19,9,66
13,5,86
13,18,99
7,7,123
7,9,69
17,7,126
3,11,26
16,11,26
13,8,124
13,17,73
18,12,92
14,16,127
16,21,81
20,5,63
4,5,41
20,6,43
6,20,46
18,11,56
18,17,72
2,17,79
10,12,21
2,16,33
19,7,65
19,6,102
6,16,40
19,1,78
19,12,44
16,12,32
3,8,115
3,4,57
3,21,132
17,17,92
8,3,161
9,3,32
9,7,35
3,7,64
9,19,33
5,13,76
15,3,86
12,5,66
9,1,42
3,10,14
19,15,66
4,12,45
13,14,41
12,3,87
19,3,23
5,8,93
9,15,107
11,12,42
12,20,37
10,20,46
15,17,121
17,10,38
6,19,49
12,2,19
18,16,51
2,14,55
13,7,56
13,3,19
6,17,53
5,11,44
8,12,136
13,11,21
12,8,106
10,8,96
19,16,77
13,12,11
20,12,98
20,3,86
5,6,69
3,20,71
17,15,52
6,8,68
2,19,59
3,15,76
17,12,28
21,13,131
15,5,94
3,17,67
2,20,44
19,8,94
16,17,16
2,21,34
6,2,65
9,13,29
4,6,42
3,2,19
13,15,31
14,12,39
4,2,26
9,8,24
3,12,22
19,17,37
12,13,36
12,14,47
5,10,34
19,20,42
4,3,20
5,20,71
5,7,41
2,3,29
16,15,11
9,10,14
10,10,1
