i,j,count
6,9,190
12,18,175
21,10,77
21,9,161
10,9,153
19,14,28
19,18,28
14,18,187
12,14,212
12,20,287
12,6,193
12,2,201
14,20,457
14,6,317
14,2,350
20,6,208
20,2,220
6,2,176
5,2,68
4,14,432
4,20,361
4,12,299
4,2,339
14,12,384
20,12,221
5,21,42
5,16,38
21,16,204
15,13,115
15,20,129
15,19,75
15,7,79
13,20,228
13,19,124
13,7,204
20,19,134
20,7,287
19,7,89
14,21,166
14,13,310
21,2,126
21,13,80
2,13,143
6,1,152
6,8,191
1,8,94
11,10,182
11,18,63
11,4,61
10,18,203
10,4,72
18,4,97
20,4,117
20,17,314
20,11,243
4,7,306
4,17,292
4,11,192
7,17,44
7,11,126
7,2,76
17,11,95
17,2,65
11,2,93
15,14,134
15,12,100
13,14,149
13,12,211
7,14,120
7,19,92
7,4,70
14,19,186
14,4,245
19,4,26
6,14,206
6,18,164
2,5,119
8,5,113
8,3,58
5,3,34
4,8,171
4,9,197
8,9,111
20,13,234
20,5,217
13,5,158
20,10,154
4,5,206
6,20,214
6,13,324
6,7,234
8,1,77
8,10,96
8,14,106
1,10,85
1,14,70
10,14,124
14,1,207
14,3,229
1,3,104
11,3,39
4,13,232
13,8,82
5,8,77
10,12,158
10,8,167
9,12,72
9,8,91
12,8,117
2,12,152
2,1,145
12,1,181
14,9,252
12,7,255
20,16,91
16,17,35
4,3,207
3,11,113
6,4,122
14,7,411
16,1,55
16,21,99
1,21,89
14,8,253
2,20,208
2,8,94
20,8,125
13,9,188
13,3,125
9,14,38
9,3,30
12,3,105
12,5,268
3,5,121
6,11,150
6,5,170
11,5,77
3,1,109
3,12,150
1,12,104
2,21,133
14,5,273
9,5,88
11,21,22
11,16,66
11,6,83
21,5,127
21,6,102
16,5,67
16,6,53
5,6,55
2,14,150
2,16,87
14,16,159
4,18,82
4,10,199
18,11,124
18,10,142
8,4,55
8,19,70
8,20,85
4,19,139
19,20,64
4,1,248
12,21,137
12,16,143
1,5,96
12,11,200
12,4,153
3,17,105
3,2,233
3,19,80
3,7,104
17,19,74
17,7,53
2,19,158
2,7,133
15,8,85
15,17,99
8,17,87
11,20,158
11,15,43
20,15,160
20,3,194
15,3,137
19,1,34
19,9,84
1,9,100
15,2,113
15,6,72
2,6,178
1,17,87
21,20,143
21,19,89
21,3,56
20,9,167
9,19,104
19,3,23
6,3,117
13,18,74
18,3,71
4,6,201
4,21,190
20,21,156
6,21,118
3,8,207
3,21,122
8,21,85
14,15,145
8,7,73
16,12,95
8,13,108
13,10,95
13,17,174
7,18,57
7,10,92
18,8,294
8,18,155
1,18,85
18,14,145
7,3,83
7,9,50
3,14,112
3,9,99
20,1,68
1,6,110
9,6,60
9,21,88
21,1,78
21,17,114
15,10,101
14,10,293
10,2,148
10,13,178
2,17,128
6,17,106
9,20,73
20,14,158
5,17,28
10,7,173
15,4,74
8,2,76
10,3,33
19,13,62
5,7,113
7,6,74
8,12,86
12,19,64
14,11,320
14,17,171
13,11,110
13,16,136
11,17,48
17,16,38
15,16,198
16,8,72
16,9,209
18,2,127
18,13,187
16,19,107
19,17,25
17,3,93
21,8,54
18,17,94
1,7,58
6,10,96
10,20,160
18,20,91
18,1,86
13,1,69
16,11,48
2,9,127
13,6,123
11,7,153
20,20,116
16,20,73
18,7,82
10,11,135
11,8,37
7,8,57
15,9,90
21,15,46
21,18,49
15,18,41
21,14,99
21,7,94
12,15,126
20,18,101
17,1,69
16,18,66
11,9,65
3,4,71
10,6,139
6,16,130
6,15,68
16,15,102
15,5,51
5,10,39
21,4,57
6,19,123
12,10,130
2,10,124
18,12,108
10,1,99
10,17,122
1,13,54
1,2,112
13,4,86
12,9,155
5,9,97
19,2,45
2,4,122
2,15,63
4,15,118
6,12,201
7,12,69
18,6,88
9,1,53
8,6,59
10,15,53
1,15,44
9,15,38
7,5,84
17,20,124
12,13,230
4,16,173
10,21,58
13,2,134
9,2,46
9,11,49
2,11,119
14,14,101
7,20,71
17,21,70
13,15,112
13,13,123
1,4,111
9,13,67
15,1,66
16,7,90
7,13,111
3,15,61
3,10,78
19,11,39
19,10,33
16,2,77
11,13,93
19,8,33
9,7,46
9,16,86
7,16,37
10,5,88
11,14,76
16,14,64
16,4,36
16,10,86
9,10,74
18,9,70
17,9,111
12,17,186
18,21,55
13,21,89
3,20,197
12,12,92
2,3,85
3,6,37
18,15,52
18,16,83
17,18,54
17,10,47
11,19,42
17,8,38
9,17,40
7,15,32
21,12,124
16,13,71
19,5,40
19,15,32
5,4,31
5,1,61
1,16,59
5,12,63
1,19,130
19,16,50
8,16,82
8,15,39
18,5,103
21,11,41
5,20,81
7,1,101
15,11,66
17,4,68
17,14,109
16,3,45
2,18,71
3,13,134
17,13,76
17,6,61
17,15,41
1,20,46
11,12,75
1,11,59
10,19,85
5,18,50
5,15,25
8,11,79
5,19,42
11,1,64
3,16,77
17,12,70
3,18,74
9,4,27
19,6,27
5,13,70
5,11,60
5,14,36
10,16,64
18,19,64
17,5,70
9,18,28
7,21,26
19,12,34
19,21,19
15,21,26
