i,j,count
14,5,11
5,14,11
1,19,7
19,1,7
17,18,15
18,17,15
8,11,24
11,8,24
13,17,15
17,13,15
14,2,18
2,14,18
21,17,14
17,21,14
8,14,36
14,8,36
20,21,16
21,20,16
9,5,50
5,9,50
23,1,9
1,23,9
5,4,11
4,5,11
4,15,6
15,4,6
8,5,18
5,8,18
18,1,13
1,18,13
22,6,22
6,22,22
2,12,57
12,2,57
21,8,58
8,21,58
11,23,14
23,11,14
20,22,8
22,20,8
5,19,11
19,5,11
9,7,20
7,9,20
9,16,23
16,9,23
6,4,11
4,6,11
21,13,38
13,21,38
1,20,18
20,1,18
3,6,24
6,3,24
12,19,5
19,12,5
12,9,6
9,12,6
8,7,20
7,8,20
16,3,16
3,16,16
11,6,12
6,11,12
4,18,11
18,4,11
5,16,17
16,5,17
10,17,21
17,10,21
20,6,16
6,20,16
8,13,14
13,8,14
9,22,20
22,9,20
15,22,5
22,15,5
10,14,22
14,10,22
22,4,5
4,22,5
18,19,6
19,18,6
22,13,11
13,22,11
1,4,19
4,1,19
1,22,20
22,1,20
5,17,9
17,5,9
2,1,11
1,2,11
9,18,16
18,9,16
19,14,19
14,19,19
2,23,11
23,2,11
14,13,19
13,14,19
11,4,26
4,11,26
8,6,19
6,8,19
19,3,11
3,19,11
3,13,24
13,3,24
3,17,12
17,3,12
3,4,20
4,3,20
21,6,15
6,21,15
4,20,28
20,4,28
19,10,24
10,19,24
19,13,15
13,19,15
15,17,15
17,15,15
16,8,11
8,16,11
1,13,18
13,1,18
22,18,7
18,22,7
21,2,22
2,21,22
13,20,12
20,13,12
21,18,16
18,21,16
8,12,11
12,8,11
20,14,17
14,20,17
23,7,11
7,23,11
9,3,24
3,9,24
4,10,17
10,4,17
3,1,13
1,3,13
17,17,10
8,2,16
2,8,16
10,5,13
5,10,13
21,7,16
7,21,16
10,21,52
21,10,52
11,5,40
5,11,40
8,10,40
10,8,40
14,12,9
12,14,9
4,14,26
14,4,26
16,23,9
23,16,9
22,5,17
5,22,17
20,15,14
15,20,14
20,2,8
2,20,8
11,3,17
3,11,17
20,16,13
16,20,13
22,11,19
11,22,19
13,10,18
10,13,18
10,6,42
6,10,42
8,9,45
9,8,45
22,10,17
10,22,17
3,15,14
15,3,14
8,20,30
20,8,30
10,11,25
11,10,25
16,1,12
1,16,12
9,6,23
6,9,23
17,19,6
19,17,6
16,4,15
4,16,15
14,23,9
23,14,9
15,16,8
16,15,8
9,23,21
23,9,21
23,20,12
20,23,12
3,2,18
2,3,18
13,15,8
15,13,8
10,18,26
18,10,26
2,5,9
5,2,9
1,14,26
14,1,26
10,20,18
20,10,18
21,5,9
5,21,9
18,18,18
1,21,24
21,1,24
9,10,33
10,9,33
23,10,16
10,23,16
22,17,5
17,22,5
4,12,16
12,4,16
4,7,15
7,4,15
2,17,10
17,2,10
11,7,22
7,11,22
11,13,8
13,11,8
4,17,12
17,4,12
8,18,17
18,8,17
15,5,10
5,15,10
14,21,22
21,14,22
7,15,12
15,7,12
8,23,14
23,8,14
6,7,19
7,6,19
9,13,21
13,9,21
1,11,25
11,1,25
10,3,15
3,10,15
8,8,20
13,2,8
