i,count
12,166
23,129
6,102
5,270
9,151
17,199
8,197
15,76
16,98
4,133
13,163
14,80
19,258
21,169
20,106
10,135
2,170
22,109
3,186
7,99
1,324
18,114
11,128
24,0
