i,count
4,184
1,218
8,116
7,138
15,232
10,209
5,242
19,147
14,192
6,170
16,133
3,123
9,152
12,195
2,253
11,219
20,224
17,112
18,141
13,162
21,0
22,0
23,0
24,0
