i,j,count
1,22,63
12,3,29
10,3,75
10,23,208
3,23,93
15,21,68
15,18,70
21,18,320
3,21,72
3,8,149
3,18,106
3,19,140
21,8,493
21,19,292
8,18,209
8,19,174
18,19,258
11,8,170
5,21,281
5,8,327
5,12,95
5,19,222
21,12,132
8,12,145
12,19,66
20,19,60
20,22,190
19,22,271
1,14,60
1,8,113
1,4,61
1,6,40
14,8,123
14,4,34
14,6,60
8,4,156
8,6,286
4,6,104
21,9,421
9,19,121
9,8,145
19,8,199
21,7,240
4,8,127
4,9,82
8,9,310
22,16,187
22,13,96
22,7,75
16,13,83
16,7,57
13,7,274
8,5,74
8,13,207
8,3,107
8,16,210
5,13,106
5,9,274
5,3,79
5,16,189
13,9,130
13,3,46
13,16,102
9,3,57
9,16,147
3,16,99
1,21,120
1,17,159
14,21,71
14,17,77
21,17,387
8,17,260
20,21,67
20,9,120
20,14,38
21,14,116
9,14,37
21,3,128
3,7,65
18,21,172
18,13,185
21,13,188
19,11,81
12,20,59
12,6,56
20,6,210
19,1,66
19,2,32
1,2,36
8,10,251
8,20,129
10,20,149
8,2,90
5,11,124
18,8,360
18,10,315
18,2,84
10,2,90
1,18,88
1,9,175
18,9,188
18,4,121
9,4,92
21,20,188
21,6,298
7,2,54
3,10,91
3,11,63
3,9,123
10,11,142
10,9,250
11,9,79
8,23,166
12,23,90
12,17,34
12,7,144
23,17,65
23,7,103
17,7,106
19,17,155
19,10,115
17,10,216
5,23,139
21,23,225
19,23,169
17,23,130
12,9,47
3,22,78
18,22,142
18,1,114
21,2,143
21,1,93
2,1,42
15,16,70
15,14,26
16,14,52
19,6,113
10,5,55
23,5,24
23,11,53
17,15,63
17,20,145
15,20,82
18,11,164
1,11,66
18,17,250
18,20,166
21,11,271
11,23,49
11,2,35
11,20,38
23,2,24
23,20,83
2,20,57
16,20,61
16,2,52
16,6,142
16,15,34
20,2,40
20,15,50
2,6,139
2,15,33
6,15,34
19,21,103
5,22,132
13,22,84
13,5,36
13,15,28
13,8,121
5,15,62
15,8,80
6,21,41
6,4,52
21,4,134
4,19,68
4,22,58
17,13,147
2,16,90
2,5,42
16,5,76
10,19,116
10,6,179
9,20,84
9,6,227
19,20,158
16,1,20
16,19,122
1,19,120
16,11,127
2,11,139
11,6,155
4,23,104
16,18,137
2,18,66
10,8,227
10,4,130
23,4,90
23,9,78
10,13,120
5,18,151
18,16,112
7,6,157
7,3,49
6,3,59
20,17,96
18,7,198
18,6,238
9,7,169
16,22,61
7,8,92
7,12,90
21,5,128
5,6,184
15,1,25
15,3,21
1,3,70
12,13,129
2,4,45
20,11,71
20,7,98
20,10,110
11,7,50
11,10,91
7,10,63
8,15,107
18,3,89
18,15,86
3,15,79
3,20,126
5,14,113
16,21,126
16,10,117
21,10,277
11,19,142
16,8,192
8,14,132
19,18,165
19,14,78
18,14,90
8,7,204
22,17,96
22,8,74
17,8,274
8,21,194
3,12,55
20,12,61
20,16,76
12,16,41
16,23,75
21,15,117
15,2,39
2,8,147
4,16,61
1,23,76
20,8,92
8,1,97
21,16,296
16,9,118
9,5,83
20,4,95
21,22,236
10,16,118
10,22,125
9,22,60
12,8,92
7,9,138
2,9,122
16,4,54
23,18,29
23,6,55
22,15,45
18,23,201
8,22,156
22,23,112
7,23,58
13,19,33
11,4,50
17,14,88
17,18,143
7,14,27
7,18,40
14,18,54
17,16,188
17,12,103
17,11,167
16,12,76
12,11,44
13,10,99
13,4,45
3,6,111
3,13,63
6,13,110
9,13,122
9,1,45
13,1,20
2,10,87
2,14,54
10,14,68
2,23,74
13,6,78
22,1,17
10,21,110
10,18,162
22,6,141
9,9,116
9,12,61
9,2,73
12,2,26
6,2,29
1,12,41
14,12,19
14,23,58
14,20,26
20,18,47
23,1,78
20,1,62
16,17,133
9,17,115
17,2,68
15,23,43
6,1,24
11,14,30
8,11,147
11,18,84
14,13,65
15,22,33
15,6,72
15,9,65
22,9,61
6,9,37
7,11,49
16,3,71
2,21,75
2,3,101
23,3,26
1,10,148
17,3,81
6,16,101
12,1,22
3,1,130
19,4,79
19,5,83
4,5,46
4,20,47
5,20,100
6,17,60
2,19,85
11,1,38
6,19,51
9,21,100
9,18,52
6,5,25
6,10,79
6,8,92
5,10,193
22,11,83
1,20,56
22,4,86
22,10,58
23,10,64
4,10,101
22,2,16
4,11,75
4,21,54
11,21,48
7,13,171
5,2,72
5,4,88
10,1,69
22,20,115
23,16,45
13,13,101
10,10,123
3,4,45
4,13,49
19,15,29
9,10,154
6,11,44
17,22,121
17,6,157
6,12,42
20,13,91
10,15,65
9,23,144
22,3,60
22,12,47
13,12,95
22,21,44
14,3,74
3,17,75
23,21,41
5,17,206
20,5,51
20,23,172
6,7,46
23,22,58
11,22,48
23,19,57
17,9,301
17,19,128
13,21,72
13,14,28
22,14,34
17,17,92
11,17,102
17,4,60
7,15,34
19,16,92
13,20,55
9,11,57
11,13,33
11,3,34
4,12,48
10,12,73
13,23,52
5,7,46
15,12,33
19,9,92
19,7,91
15,11,36
15,19,35
6,22,75
12,18,33
1,5,60
2,12,31
12,15,23
1,16,120
17,21,127
5,1,65
4,14,36
12,22,45
22,19,113
7,19,59
11,16,49
19,12,74
6,18,40
6,20,63
14,10,44
2,22,51
17,1,81
15,17,61
4,7,37
2,17,65
7,21,33
7,20,51
7,22,53
1,13,50
13,17,75
3,5,54
22,5,30
10,7,96
13,18,63
18,12,95
10,17,213
7,4,21
20,3,32
14,2,51
15,10,85
15,13,32
13,11,61
4,3,37
18,5,51
9,15,41
23,12,52
4,1,38
4,2,28
4,15,24
4,18,51
7,16,35
2,13,53
14,9,42
14,19,47
22,18,50
12,21,26
12,14,25
17,5,83
15,4,21
19,13,67
3,2,36
11,15,37
15,7,28
14,7,67
7,17,47
23,8,79
23,14,32
14,16,37
14,22,25
12,5,19
19,3,57
15,5,22
7,1,35
3,14,61
14,11,25
23,13,44
6,23,38
7,5,21
6,14,23
12,10,60
11,12,28
1,7,64
12,4,51
1,15,48
2,7,39
14,15,35
23,15,20
4,17,63
14,1,29
14,5,38
13,2,16
11,5,22
