i,j,count
14,19,26
19,14,26
16,11,43
11,16,43
15,18,71
18,15,71
11,7,17
7,11,17
12,15,37
15,12,37
8,19,11
19,8,11
20,15,42
15,20,42
11,8,43
8,11,43
12,8,22
8,12,22
17,18,64
18,17,64
10,1,8
1,10,8
18,9,60
9,18,60
4,16,18
16,4,18
20,9,22
9,20,22
7,1,7
1,7,7
10,17,13
17,10,13
6,5,59
5,6,59
20,11,59
11,20,59
15,6,22
6,15,22
17,6,10
6,17,10
10,5,15
5,10,15
6,13,14
13,6,14
14,10,21
10,14,21
15,11,52
11,15,52
20,12,45
12,20,45
18,7,8
7,18,8
8,7,15
7,8,15
3,11,35
11,3,35
7,14,29
14,7,29
18,19,8
19,18,8
11,12,34
12,11,34
3,4,13
4,3,13
11,18,17
18,11,17
1,8,21
8,1,21
18,13,44
13,18,44
16,15,53
15,16,53
11,6,24
6,11,24
14,12,30
12,14,30
13,8,14
8,13,14
20,19,17
19,20,17
16,8,34
8,16,34
19,13,11
13,19,11
6,10,13
10,6,13
16,9,33
9,16,33
8,18,16
18,8,16
20,7,17
7,20,17
10,8,9
8,10,9
13,12,10
12,13,10
20,17,28
17,20,28
5,12,13
12,5,13
6,9,33
9,6,33
11,2,21
2,11,21
20,1,6
1,20,6
15,4,21
4,15,21
20,14,30
14,20,30
15,13,37
13,15,37
15,9,13
9,15,13
4,2,11
2,4,11
20,16,61
16,20,61
17,12,26
12,17,26
5,1,31
1,5,31
16,12,22
12,16,22
20,4,19
4,20,19
2,14,18
14,2,18
20,2,20
2,20,20
10,7,11
7,10,11
20,6,16
6,20,16
11,9,28
9,11,28
9,8,26
8,9,26
7,13,14
13,7,14
14,11,55
11,14,55
20,10,18
10,20,18
19,2,8
2,19,8
3,3,10
16,18,20
18,16,20
20,3,19
3,20,19
16,6,34
6,16,34
17,8,18
8,17,18
8,14,37
14,8,37
13,17,22
17,13,22
10,19,19
19,10,19
2,15,21
15,2,21
2,6,16
6,2,16
19,16,20
16,19,20
10,16,18
16,10,18
5,15,20
15,5,20
3,14,16
14,3,16
3,15,23
15,3,23
5,18,7
18,5,7
4,14,23
14,4,23
14,6,29
6,14,29
4,17,15
17,4,15
2,12,19
12,2,19
12,19,21
19,12,21
4,19,11
19,4,11
20,8,23
8,20,23
11,10,26
10,11,26
4,4,38
16,13,21
13,16,21
14,16,47
16,14,47
10,15,13
15,10,13
1,13,18
13,1,18
5,7,13
7,5,13
9,4,18
4,9,18
11,1,11
1,11,11
1,18,8
18,1,8
20,13,19
13,20,19
11,17,27
17,11,27
12,3,16
3,12,16
11,13,31
13,11,31
13,5,8
5,13,8
5,16,17
16,5,17
4,1,11
1,4,11
11,11,20
3,10,11
10,3,11
1,3,9
3,1,9
7,17,5
17,7,5
8,3,15
3,8,15
2,8,26
8,2,26
4,6,17
6,4,17
17,3,22
3,17,22
9,2,11
2,9,11
14,17,26
17,14,26
1,16,23
16,1,23
8,15,38
15,8,38
18,10,9
10,18,9
12,18,14
18,12,14
2,18,18
18,2,18
9,14,39
14,9,39
4,11,22
11,4,22
15,14,44
14,15,44
5,3,15
3,5,15
15,1,17
1,15,17
7,19,12
19,7,12
2,13,12
13,2,12
14,1,10
1,14,10
5,19,7
19,5,7
17,15,22
15,17,22
9,13,13
13,9,13
10,9,16
9,10,16
4,13,9
13,4,9
16,7,19
7,16,19
19,15,18
15,19,18
1,9,19
9,1,19
7,15,20
15,7,20
13,10,40
10,13,40
6,18,7
18,6,7
1,17,9
17,1,9
20,5,12
5,20,12
19,1,12
1,19,12
12,10,14
10,12,14
17,9,8
9,17,8
9,12,13
12,9,13
6,1,3
1,6,3
16,17,27
17,16,27
2,5,14
5,2,14
5,17,27
17,5,27
8,6,15
6,8,15
12,6,16
6,12,16
5,9,10
9,5,10
9,19,9
19,9,9
2,16,14
16,2,14
6,3,13
3,6,13
14,5,21
5,14,21
18,14,17
14,18,17
12,4,20
4,12,20
7,3,17
3,7,17
3,18,10
18,3,10
3,19,7
19,3,7
20,18,17
18,20,17
6,7,7
7,6,7
11,5,16
5,11,16
8,5,22
5,8,22
9,3,16
3,9,16
4,5,8
5,4,8
19,11,22
11,19,22
17,2,15
2,17,15
1,12,9
12,1,9
13,14,20
14,13,20
3,16,20
16,3,20
7,2,8
2,7,8
4,8,10
8,4,10
19,17,10
17,19,10
3,2,9
2,3,9
2,10,12
10,2,12
9,7,8
7,9,8
10,4,5
4,10,5
3,13,12
13,3,12
2,1,11
1,2,11
12,7,6
7,12,6
6,19,5
19,6,5
18,4,4
4,18,4
7,4,5
4,7,5
1,1,0
1,21,0
1,22,0
1,23,0
1,24,0
2,2,0
2,21,0
2,22,0
2,23,0
2,24,0
3,21,0
3,22,0
3,23,0
3,24,0
4,21,0
4,22,0
4,23,0
4,24,0
5,5,0
5,21,0
5,22,0
5,23,0
5,24,0
6,6,0
6,21,0
6,22,0
6,23,0
6,24,0
7,7,0
7,21,0
7,22,0
7,23,0
7,24,0
8,8,0
8,21,0
8,22,0
8,23,0
8,24,0
9,9,0
9,21,0
9,22,0
9,23,0
9,24,0
10,10,0
10,21,0
10,22,0
10,23,0
10,24,0
11,21,0
11,22,0
11,23,0
11,24,0
12,12,0
12,21,0
12,22,0
12,23,0
12,24,0
13,13,0
13,21,0
13,22,0
13,23,0
13,24,0
14,14,0
14,21,0
14,22,0
14,23,0
14,24,0
15,15,0
15,21,0
15,22,0
15,23,0
15,24,0
16,16,0
16,21,0
16,22,0
16,23,0
16,24,0
17,17,0
17,21,0
17,22,0
17,23,0
17,24,0
18,18,0
18,21,0
18,22,0
18,23,0
18,24,0
19,19,0
19,21,0
19,22,0
19,23,0
19,24,0
20,20,0
20,21,0
20,22,0
20,23,0
20,24,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,0
21,11,0
21,12,0
21,13,0
21,14,0
21,15,0
21,16,0
21,17,0
21,18,0
21,19,0
21,20,0
21,21,0
21,22,0
21,23,0
21,24,0
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
