i,j,count
13,5,223
4,20,148
19,16,173
19,8,182
16,8,82
2,10,31
2,3,105
10,3,190
14,10,51
14,6,63
14,17,84
14,7,75
10,6,260
10,17,208
10,7,160
6,17,153
6,7,102
17,7,109
15,2,55
18,10,263
18,6,215
18,4,321
18,21,211
10,4,346
10,21,165
6,4,212
6,21,92
4,21,139
15,8,155
15,5,51
8,5,205
15,16,138
15,6,136
15,9,91
15,14,208
16,6,146
16,9,122
16,14,192
6,9,160
6,14,151
9,14,102
10,19,244
3,21,145
3,19,244
21,19,245
2,4,131
9,3,121
9,11,62
3,11,329
12,16,271
12,9,106
12,18,52
16,18,111
9,18,41
3,18,110
3,12,256
3,6,123
3,16,224
18,12,157
18,11,315
18,16,258
12,11,342
12,6,100
11,6,50
11,16,157
6,16,196
15,10,69
15,4,161
16,10,146
16,4,233
8,10,63
8,14,86
8,1,76
10,14,235
10,1,182
14,1,66
21,2,100
21,12,205
2,12,89
21,15,146
2,15,97
2,9,70
9,12,90
6,19,180
6,15,91
19,15,163
3,14,202
18,15,226
21,6,130
6,12,239
19,12,148
3,1,126
16,1,135
1,14,127
10,11,327
7,11,87
18,19,258
19,11,209
15,11,220
6,2,138
17,8,147
17,4,191
17,11,233
8,4,157
8,11,139
4,11,362
8,19,92
4,19,295
18,17,149
18,8,137
9,4,79
4,14,222
1,11,136
18,13,158
13,16,133
21,10,99
21,18,57
10,12,244
10,18,114
1,12,70
1,7,61
12,7,44
10,9,161
17,3,116
17,9,102
3,9,166
19,2,114
19,7,97
8,2,42
8,7,56
2,7,63
4,1,181
4,15,259
1,15,95
9,15,62
14,15,83
3,4,239
7,16,79
10,15,278
7,14,57
7,21,56
7,15,44
14,21,60
16,20,57
16,12,128
20,9,72
20,12,122
20,4,75
12,4,120
18,9,149
9,16,85
12,2,49
12,19,92
18,2,118
2,19,128
14,9,105
17,21,134
4,8,114
4,5,172
3,2,99
4,16,223
4,13,175
16,13,94
16,11,186
16,15,160
11,15,117
11,13,58
11,14,134
15,13,107
13,14,116
16,3,173
16,21,157
15,21,130
21,11,206
7,19,78
19,14,194
16,17,151
13,17,59
19,6,166
19,9,128
19,3,153
6,8,73
6,3,68
8,9,105
8,3,99
21,1,60
21,3,145
1,3,85
12,3,93
18,1,173
6,1,106
1,16,116
4,18,210
10,13,201
13,4,125
21,14,147
6,13,77
19,17,113
18,7,116
18,14,172
7,6,76
12,10,45
12,8,52
10,8,118
17,12,262
3,15,188
6,20,96
14,4,102
14,20,48
17,20,102
18,5,192
16,2,71
16,5,140
2,5,89
16,7,116
16,19,169
15,7,121
15,19,133
6,5,81
7,17,88
7,5,61
17,5,106
2,11,133
5,4,124
5,3,79
4,3,208
6,10,103
7,10,39
17,10,86
13,19,119
13,15,88
15,17,136
15,1,68
17,1,115
2,17,68
2,14,107
17,14,127
10,2,104
2,18,61
18,3,226
11,9,41
17,2,109
2,21,80
2,20,60
21,20,75
3,8,111
14,8,46
13,11,165
13,1,48
11,1,67
3,17,129
10,16,265
10,5,120
19,5,186
11,5,74
17,6,102
17,13,60
14,18,79
14,11,168
12,17,131
1,21,91
12,5,90
1,6,55
5,11,104
5,8,86
11,8,71
3,7,125
5,16,135
5,13,122
2,13,51
4,2,152
12,1,75
1,2,111
11,20,58
20,19,139
20,8,37
17,15,133
5,14,106
7,13,45
19,13,155
1,8,55
12,14,143
3,3,116
17,16,184
7,3,63
13,3,77
9,20,92
9,6,79
9,2,85
20,6,111
20,2,89
20,11,87
11,4,107
12,13,53
5,12,100
2,16,97
19,10,120
19,1,127
7,1,70
21,5,74
21,13,73
8,12,81
4,12,133
6,18,71
2,6,67
6,11,155
4,6,147
13,6,56
14,3,127
14,19,126
20,18,72
14,16,179
10,20,63
20,16,59
9,8,90
9,13,47
8,18,56
8,13,58
21,4,174
21,7,69
11,7,43
4,7,109
3,20,126
3,13,115
18,20,126
20,13,54
11,19,115
5,15,52
14,13,48
1,19,151
1,4,137
11,2,67
11,17,129
9,19,76
4,9,108
4,10,95
11,12,176
13,8,51
12,21,52
17,18,64
1,18,45
8,16,141
8,6,43
5,9,62
5,5,101
9,5,40
21,16,137
7,7,123
7,9,44
17,19,182
2,8,55
11,21,94
4,17,139
9,17,38
5,20,64
15,12,137
3,5,114
5,6,58
5,1,57
5,17,69
8,17,92
19,21,104
2,1,64
1,9,68
1,17,63
15,18,57
8,15,71
20,21,65
3,10,128
5,18,37
19,18,106
4,4,92
7,4,100
7,12,65
7,2,48
11,3,180
5,21,94
19,20,99
13,7,40
1,20,49
8,20,42
20,15,73
21,8,102
20,14,68
14,12,83
20,1,67
20,3,90
15,3,102
21,9,107
9,10,35
11,18,32
12,20,65
5,19,114
13,18,32
20,5,67
20,10,35
19,4,239
20,7,39
13,2,42
13,10,36
13,20,47
7,20,44
7,8,60
14,2,57
7,18,30
9,21,66
9,7,25
8,21,81
13,9,75
15,20,63
14,5,62
1,5,89
13,12,72
12,15,81
13,21,58
21,17,87
20,17,54
5,7,56
1,13,64
5,10,42
11,10,27
5,2,58
1,10,36
9,1,34
21,21,2
20,20,2
