i,count
5,144
19,163
3,116
11,271
15,196
16,261
4,130
14,125
9,300
1,238
7,171
8,203
10,140
13,160
2,177
6,189
20,119
12,204
18,94
17,161
21,0
22,0
23,0
24,0
