i,j,k,count
17,19,8,13
17,8,19,13
19,17,8,13
19,8,17,13
8,17,19,13
8,19,17,13
8,5,11,19
8,11,5,19
5,8,11,19
5,11,8,19
11,8,5,19
11,5,8,19
10,5,6,99
10,5,11,99
10,5,15,65
10,6,5,99
10,6,11,92
10,6,15,43
10,11,5,99
10,11,6,92
10,11,15,58
10,15,5,65
10,15,6,43
10,15,11,58
5,10,6,99
5,10,11,99
5,10,15,65
5,6,10,99
5,6,11,79
5,6,15,43
5,11,10,99
5,11,6,79
5,11,15,45
5,15,10,65
5,15,6,43
5,15,11,45
6,10,5,99
6,10,11,92
6,10,15,43
6,5,10,99
6,5,11,79
6,5,15,43
6,11,10,92
6,11,5,79
6,11,15,33
6,15,10,43
6,15,5,43
6,15,11,33
11,10,5,99
11,10,6,92
11,10,15,58
11,5,10,99
11,5,6,79
11,5,15,45
11,6,10,92
11,6,5,79
11,6,15,33
11,15,10,58
11,15,5,45
11,15,6,33
15,10,5,65
15,10,6,43
15,10,11,58
15,5,10,65
15,5,6,43
15,5,11,45
15,6,10,43
15,6,5,43
15,6,11,33
15,11,10,58
15,11,5,45
15,11,6,33
3,5,6,101
3,5,10,136
3,5,22,67
3,6,5,101
3,6,10,87
3,6,22,24
3,10,5,136
3,10,6,87
3,10,22,45
3,22,5,67
3,22,6,24
3,22,10,45
5,3,6,101
5,3,10,136
5,3,22,67
5,6,3,101
5,6,22,29
5,10,3,136
5,10,22,52
5,22,3,67
5,22,6,29
5,22,10,52
6,3,5,101
6,3,10,87
6,3,22,24
6,5,3,101
6,5,22,29
6,10,3,87
6,10,22,35
6,22,3,24
6,22,5,29
6,22,10,35
10,3,5,136
10,3,6,87
10,3,22,45
10,5,3,136
10,5,22,52
10,6,3,87
10,6,22,35
10,22,3,45
10,22,5,52
10,22,6,35
22,3,5,67
22,3,6,24
22,3,10,45
22,5,3,67
22,5,6,29
22,5,10,52
22,6,3,24
22,6,5,29
22,6,10,35
22,10,3,45
22,10,5,52
22,10,6,35
15,8,23,27
15,23,8,27
8,15,23,27
8,23,15,27
23,15,8,27
23,8,15,27
15,12,6,21
15,12,20,7
15,12,7,19
15,6,12,21
15,6,20,9
15,6,7,24
15,20,12,7
15,20,6,9
15,20,7,14
15,7,12,19
15,7,6,24
15,7,20,14
12,15,6,21
12,15,20,7
12,15,7,19
12,6,15,21
12,6,20,20
12,6,7,25
12,20,15,7
12,20,6,20
12,20,7,24
12,7,15,19
12,7,6,25
12,7,20,24
6,15,12,21
6,15,20,9
6,15,7,24
6,12,15,21
6,12,20,20
6,12,7,25
6,20,15,9
6,20,12,20
6,20,7,23
6,7,15,24
6,7,12,25
6,7,20,23
20,15,12,7
20,15,6,9
20,15,7,14
20,12,15,7
20,12,6,20
20,12,7,24
20,6,15,9
20,6,12,20
20,6,7,23
20,7,15,14
20,7,12,24
20,7,6,23
7,15,12,19
7,15,6,24
7,15,20,14
7,12,15,19
7,12,6,25
7,12,20,24
7,6,15,24
7,6,12,25
7,6,20,23
7,20,15,14
7,20,12,24
7,20,6,23
5,12,22,31
5,12,17,40
5,22,12,31
5,22,17,36
5,17,12,40
5,17,22,36
12,5,22,31
12,5,17,40
12,22,5,31
12,22,17,19
12,17,5,40
12,17,22,19
22,5,12,31
22,5,17,36
22,12,5,31
22,12,17,19
22,17,5,36
22,17,12,19
17,5,12,40
17,5,22,36
17,12,5,40
17,12,22,19
17,22,5,36
17,22,12,19
14,6,16,41
14,16,6,41
6,14,16,41
6,16,14,41
16,14,6,41
16,6,14,41
22,2,20,76
22,2,3,53
22,20,2,76
22,20,3,23
22,3,2,53
22,3,20,23
2,22,20,76
2,22,3,53
2,20,22,76
2,20,3,22
2,3,22,53
2,3,20,22
20,22,2,76
20,22,3,23
20,2,22,76
20,2,3,22
20,3,22,23
20,3,2,22
3,22,2,53
3,22,20,23
3,2,22,53
3,2,20,22
3,20,22,23
3,20,2,22
6,3,12,52
6,3,16,74
6,3,2,61
6,3,1,31
6,12,3,52
6,12,16,41
6,12,2,39
6,12,1,43
6,16,3,74
6,16,12,41
6,16,2,38
6,16,1,33
6,2,3,61
6,2,12,39
6,2,16,38
6,2,1,47
6,1,3,31
6,1,12,43
6,1,16,33
6,1,2,47
3,6,12,52
3,6,16,74
3,6,2,61
3,6,1,31
3,12,6,52
3,12,16,24
3,12,2,23
3,12,1,19
3,16,6,74
3,16,12,24
3,16,2,29
3,16,1,14
3,2,6,61
3,2,12,23
3,2,16,29
3,2,1,21
3,1,6,31
3,1,12,19
3,1,16,14
3,1,2,21
12,6,3,52
12,6,16,41
12,6,2,39
12,6,1,43
12,3,6,52
12,3,16,24
12,3,2,23
12,3,1,19
12,16,6,41
12,16,3,24
12,16,2,21
12,16,1,19
12,2,6,39
12,2,3,23
12,2,16,21
12,2,1,25
12,1,6,43
12,1,3,19
12,1,16,19
12,1,2,25
16,6,3,74
16,6,12,41
16,6,2,38
16,6,1,33
16,3,6,74
16,3,12,24
16,3,2,29
16,3,1,14
16,12,6,41
16,12,3,24
16,12,2,21
16,12,1,19
16,2,6,38
16,2,3,29
16,2,12,21
16,2,1,29
16,1,6,33
16,1,3,14
16,1,12,19
16,1,2,29
2,6,3,61
2,6,12,39
2,6,16,38
2,6,1,47
2,3,6,61
2,3,12,23
2,3,16,29
2,3,1,21
2,12,6,39
2,12,3,23
2,12,16,21
2,12,1,25
2,16,6,38
2,16,3,29
2,16,12,21
2,16,1,29
2,1,6,47
2,1,3,21
2,1,12,25
2,1,16,29
1,6,3,31
1,6,12,43
1,6,16,33
1,6,2,47
1,3,6,31
1,3,12,19
1,3,16,14
1,3,2,21
1,12,6,43
1,12,3,19
1,12,16,19
1,12,2,25
1,16,6,33
1,16,3,14
1,16,12,19
1,16,2,29
1,2,6,47
1,2,3,21
1,2,12,25
1,2,16,29
15,12,5,25
15,12,10,29
15,5,12,25
15,10,12,29
12,15,5,25
12,15,10,29
