i,j,count
20,10,145
9,6,160
18,10,155
18,11,164
10,11,68
17,22,54
17,14,59
22,14,154
9,22,155
9,15,272
9,13,228
9,19,215
22,15,356
22,13,296
22,19,260
15,13,212
15,19,170
13,19,276
12,19,129
7,22,287
7,15,276
7,9,260
7,19,213
22,9,383
15,9,291
21,19,160
21,16,226
19,16,174
4,19,100
4,15,64
4,14,51
4,8,88
19,15,156
19,14,69
19,8,91
15,14,152
15,8,265
14,8,64
22,12,181
22,18,313
12,18,89
19,18,142
22,3,122
13,15,258
13,20,180
15,20,235
16,10,228
16,17,66
16,7,52
10,17,90
10,7,58
17,7,47
15,7,97
15,4,119
15,2,134
7,8,148
7,20,208
7,4,127
7,2,79
8,20,36
8,4,59
8,2,66
20,4,149
20,2,60
4,2,68
4,22,38
4,9,86
19,22,106
19,9,185
6,22,24
6,2,35
6,8,76
22,2,111
22,8,283
2,8,75
11,4,98
11,8,47
13,22,134
13,5,228
22,5,161
19,12,96
3,21,104
3,4,51
21,4,72
20,1,86
20,12,84
1,12,67
15,18,264
15,21,189
18,21,193
15,17,95
7,12,114
13,18,414
13,21,217
1,5,94
1,21,94
5,21,72
5,12,296
21,12,90
22,16,363
22,4,164
16,4,86
6,4,55
3,18,80
3,12,51
3,20,120
18,12,107
18,20,195
12,20,43
6,11,108
6,9,58
6,12,143
11,9,104
11,12,107
9,12,173
9,18,262
7,11,93
22,11,158
20,9,93
9,4,168
15,6,149
6,20,89
3,13,65
3,10,55
13,10,187
13,7,94
22,21,311
22,7,121
21,7,67
5,1,48
12,1,45
22,1,133
16,15,62
16,1,60
15,1,134
17,11,101
17,15,72
17,10,61
11,15,88
11,10,118
15,10,195
9,1,211
9,21,227
2,4,85
2,12,92
4,12,58
13,9,268
19,10,191
7,21,185
8,21,57
2,21,59
12,6,115
12,3,39
12,11,91
6,3,48
6,1,73
3,1,102
3,11,49
1,11,61
7,17,113
7,16,172
7,10,205
17,16,80
1,7,60
1,17,54
1,18,136
7,18,213
17,18,97
8,22,31
8,14,55
11,3,52
9,16,235
15,3,159
9,7,132
12,7,59
10,20,69
10,16,96
10,21,90
10,8,152
20,16,37
20,21,74
20,8,157
16,21,195
16,8,206
21,8,191
1,19,120
12,2,34
12,4,39
2,11,119
3,8,61
18,8,183
12,13,103
6,13,67
18,15,268
18,14,137
18,2,111
15,11,175
11,14,91
11,2,56
14,2,27
13,17,86
13,2,129
17,5,52
17,2,34
5,2,83
7,13,156
15,12,133
13,12,181
3,16,179
21,9,164
13,8,211
12,8,41
18,6,109
20,7,60
20,19,101
20,15,121
6,5,148
5,7,57
21,13,119
21,2,77
21,14,126
21,11,166
21,6,125
14,11,105
14,6,80
11,6,86
7,1,101
10,1,56
12,22,105
12,21,145
21,18,190
12,15,105
19,13,188
19,21,107
19,5,140
10,9,121
10,15,124
20,14,83
15,22,149
3,14,68
1,8,89
1,4,54
22,17,152
17,3,53
20,3,58
3,2,29
11,22,80
11,5,34
11,16,43
5,16,84
5,20,118
5,8,49
6,18,64
8,16,147
16,2,65
17,4,56
17,9,82
12,17,31
22,20,242
18,16,128
12,16,58
8,3,25
12,14,30
13,14,108
5,11,36
11,20,44
20,5,108
2,15,66
2,10,49
16,12,85
16,11,47
1,13,80
22,10,242
9,10,175
9,3,122
10,3,38
10,12,54
5,17,72
17,12,49
8,17,57
2,17,46
2,7,30
4,10,120
2,6,37
17,1,46
18,1,106
21,15,160
5,15,94
5,6,96
17,6,44
1,15,110
1,20,135
18,13,158
20,20,116
2,20,81
20,6,115
6,10,91
10,2,96
4,6,28
4,11,76
19,6,83
19,11,88
1,14,75
4,1,113
1,10,135
10,22,51
16,9,131
9,2,93
4,17,71
4,20,160
17,20,87
16,5,114
3,22,35
3,15,96
3,9,84
4,21,53
21,10,93
18,22,98
18,7,82
17,21,60
1,9,93
9,8,166
8,10,79
15,16,145
1,16,60
16,20,35
10,5,70
10,13,105
2,5,80
2,13,34
5,13,70
16,22,69
13,3,88
6,15,97
14,20,57
2,19,82
2,18,97
20,11,87
22,6,138
10,6,57
9,5,115
12,5,161
2,16,84
19,7,101
8,9,71
11,19,56
10,19,100
20,22,69
20,13,84
16,19,121
16,18,102
17,13,62
21,3,85
21,20,51
18,17,81
21,5,148
16,6,69
20,18,109
4,18,57
9,11,124
11,1,56
1,3,48
21,22,87
7,6,113
7,3,75
7,14,138
14,19,37
13,16,122
11,13,70
5,19,62
14,14,101
8,15,73
14,16,67
14,21,66
20,17,92
18,18,123
10,18,149
19,2,56
11,18,116
5,18,96
6,16,44
5,4,53
1,6,62
18,3,83
3,17,50
10,4,73
8,6,24
19,1,81
2,9,79
18,19,108
8,12,42
18,5,124
18,4,109
3,5,52
3,19,48
13,4,215
9,9,92
8,18,81
6,14,65
5,14,71
17,8,53
4,7,30
9,20,211
9,14,144
14,5,25
13,11,141
2,22,30
2,1,34
14,17,57
21,1,87
15,5,144
19,20,101
14,15,87
13,1,130
11,7,37
21,17,105
3,6,57
4,13,76
19,4,66
9,17,105
6,21,96
6,7,28
14,12,31
5,22,86
11,21,70
13,6,108
4,16,113
14,7,24
8,1,16
11,17,58
12,9,78
14,1,60
18,9,231
8,7,19
10,14,102
14,13,28
16,3,65
6,17,69
6,19,65
19,3,79
1,22,71
14,9,78
5,10,42
16,14,57
7,5,84
2,3,37
17,19,55
1,2,46
5,9,90
4,3,26
8,11,42
5,3,69
14,3,32
19,17,35
14,10,72
14,4,39
4,5,38
3,7,32
14,18,56
12,10,19
16,13,30
8,13,30
8,19,38
2,14,57
8,5,20
14,22,19
