Exam Group,Exam Block,adj_block
72-0103,21,21
1-9185,17,17
MLG17,6,6
1-8222,3,3
1-6240,17,17
1-5549,5,5
1-8021,12,12
1-8767,9,9
1-8181,16,16
1-8020,8,8
1-7964,8,8
1-9722,5,5
MLG84,7,7
1-9805,5,5
1-6098,15,15
1-8093,3,3
1-9955,21,21
1-18603,14,14
1-3521,16,16
1-2596,1,1
1-5167,5,5
1-3519,13,13
1-7995,1,1
1-2025,10,10
1-7140,20,20
1-9607,19,19
1-9907,1,1
1-18409,13,13
1-10071,3,3
1-18735,10,10
1-8418,5,5
1-8938,15,15
1-0022,9,9
1-7991,18,18
1-6642,16,16
1-2869,2,2
1-2714,2,2
1-5508,21,21
1-2104,5,5
1-7467,18,18
1-7722,6,6
1-7509,14,14
1-1207,13,13
1-8705,3,3
1-5214,14,14
1-9444,6,6
1-8566,7,7
1-19547,4,4
1-0405,13,13
1-2178,7,7
1-8174,21,21
1-9925,15,15
72-12387,7,7
1-9850,18,18
1-8125,4,4
1-8095,17,17
1-5877,12,12
1-1224,12,12
1-17733,19,19
1-9331,7,7
1-18202,7,7
1-7341,5,5
1-9818,9,9
1-7066,4,4
1-9674,19,19
1-8659,10,10
1-7536,18,18
1-7481,9,9
1-7845,4,4
1-18498,12,12
1-2584,17,17
1-6532,9,9
1-9614,22,22
1-5355,16,16
1-8124,13,13
1-8401,20,20
1-8541,6,6
1-2153,2,2
1-4088,15,15
1-9739,17,17
1-9115,11,11
1-7770,16,16
1-17645,11,11
1-18423,12,12
1-18714,19,19
1-8084,15,15
1-9345,1,1
MLG35,3,3
1-5626,11,11
1-18004,3,3
1-19222,13,13
72-12171,8,8
1-7807,4,4
1-20003,14,14
1-3083,18,18
1-3312,15,15
MLG37,1,1
1-9237,3,3
1-8127,21,21
1-5775,3,3
1-19598,1,1
1-9892,12,12
1-3564,2,2
1-8820,19,19
1-8267,4,4
1-1258,11,11
MLG69,22,22
1-6971,1,1
1-9731,7,7
1-9768,13,13
72-18936,14,14
1-19897,15,15
1-10698,5,5
1-4499,21,21
1-7496,9,9
1-3178,4,4
1-20047,14,14
1-0358,9,9
1-6543,2,2
1-5929,8,8
1-10232,6,6
1-7070,16,16
MLG42,6,6
MLG55,1,1
1-8427,17,17
1-8622,20,20
1-8488,18,18
1-9643,6,6
1-19286,7,7
1-2573,22,22
1-1833,9,9
1-9283,17,17
1-9110,10,10
1-8576,7,7
1-9465,6,6
1-9712,7,7
1-9549,13,13
1-1972,8,8
1-5515,17,17
1-7863,11,11
1-2294,19,19
MLG45,12,12
P-16454,10,10
1-8928,10,10
1-7744,18,18
MLG06,12,12
1-7453,1,1
1-17657,12,12
1-0001,1,1
MLG58,3,3
1-7005,21,21
1-9870,6,6
1-9500,6,6
1-1350,17,17
1-18994,18,18
1-9447,16,16
1-8634,5,5
1-6061,15,15
1-7599,8,8
1-10696,10,10
1-19813,8,8
MLG41,3,3
1-8067,19,19
1-9137,8,8
1-9740,3,3
1-7721,11,11
MLG40,2,2
1-4929,20,20
1-9655,21,21
1-9606,11,11
1-5043,11,11
1-8100,15,15
1-8573,19,19
1-9588,16,16
MLG38,14,14
1-4910,13,13
1-8042,18,18
1-10948,7,7
1-7525,12,12
1-4052,14,14
1-0037,1,1
1-8641,1,1
1-7752,8,8
1-9496,10,10
1-8074,16,16
1-8906,8,8
72-11994,9,9
1-7321,4,4
1-20167,13,13
1-9156,16,16
1-2382,2,2
1-8328,4,4
1-9770,10,10
1-9553,2,2
1-9253,14,14
1-2670,15,15
1-9646,16,16
1-8646,3,3
1-9839,13,13
MLG39,12,12
1-4634,15,15
1-9902,20,20
1-8988,6,6
1-1250,22,22
1-9733,3,3
1-8018,12,12
1-9752,9,9
1-7058,5,5
1-10468,19,19
1-9938,19,19
1-7842,7,7
1-5406,2,2
1-10922,8,8
1-18563,13,13
1-0053,15,15
1-19839,2,2
1-9887,20,20
1-9630,14,14
1-9416,16,16
1-5653,20,20
MLG73,6,6
1-8023,8,8
1-4149,7,7
1-0205,13,13
1-9227,21,21
1-9650,7,7
1-9996,17,17
1-3068,4,4
1-17835,17,17
1-4361,2,2
1-3089,21,21
1-8450,22,22
1-18371,16,16
MLG07,13,13
MLG29,15,15
1-8113,8,8
1-7024,7,7
1-9667,20,20
1-9855,12,12
1-7042,7,7
MLG33,5,5
1-19448,6,6
1-20791,9,9
1-1015,4,4
MLG57,12,12
1-6647,22,22
MLG56,8,8
1-20467,8,8
1-2400,7,7
1-6931,12,12
1-9333,4,4
1-7268,17,17
1-21195,14,14
1-4649,22,22
1-8379,1,1
1-9946,11,11
1-9277,3,3
1-9504,8,8
1-9516,1,1
1-3596,22,22
1-0129,11,11
1-1942,21,21
1-8623,8,8
1-6927,19,19
P-0009,4,4
1-11330,7,7
1-2103,12,12
1-6181,20,20
MLG44,5,5
1-7839,18,18
1-1390,2,2
1-7897,16,16
1-1570,11,11
1-3589,3,3
1-0033,9,9
1-3216,5,5
1-9495,3,3
1-4051,11,11
1-10762,22,22
MLG43,3,3
1-7608,7,7
1-9995,3,3
1-1608,8,8
1-3535,16,16
1-4136,10,10
1-18615,5,5
1-3587,14,14
1-9836,2,2
1-8590,2,2
1-1592,21,21
1-8341,21,21
MLG02,20,20
1-9997,11,11
1-8066,20,20
1-3509,20,20
1-3639,1,1
1-9404,19,19
1-8352,13,13
1-7019,20,20
MLG54,13,13
1-4020,16,16
1-1177,6,6
MLG51,10,10
1-8157,16,16
1-19004,12,12
1-7866,18,18
1-18377,5,5
1-5530,11,11
1-6743,2,2
1-3516,4,4
1-4855,4,4
1-20578,19,19
1-3108,11,11
1-7521,20,20
1-3139,21,21
1-1769,19,19
1-7441,11,11
1-10978,10,10
1-2324,1,1
1-3584,15,15
MLG13,5,5
1-5172,9,9
1-0296,18,18
1-3647,6,6
1-6734,11,11
1-19924,4,4
1-8826,4,4
P-16616,22,22
1-9497,15,15
1-1317,19,19
1-4531,21,21
MLG75,7,7
MLG78,14,14
1-11329,11,11
1-20641,4,4
1-8910,22,22
1-1827,17,17
1-18613,1,1
1-6296,20,20
1-3523,18,18
1-3362,1,1
1-0031,7,7
MLG65,13,13
1-4319,19,19
1-6035,11,11
1-1131,13,13
MLG32,5,5
1-8188,8,8
1-17758,16,16
1-3052,21,21
1-2282,2,2
1-19229,10,10
MLG63,14,14
MLG50,10,10
1-9417,19,19
1-9498,9,9
1-9761,21,21
1-4760,18,18
1-9831,19,19
1-4417,8,8
1-6611,4,4
1-0008,20,20
1-1462,21,21
1-10785,11,11
1-7682,6,6
MLG48,14,14
1-5163,8,8
1-8544,22,22
1-5197,19,19
1-6594,2,2
MLG62,3,3
1-1580,18,18
1-6916,15,15
1-6918,9,9
1-6919,10,10
MLG14,3,3
