Exam Group,Exam Block,adj_block
72-0103,18,18
1-9185,9,9
MLG17,1,1
1-8222,2,2
1-6240,10,10
1-5549,19,19
1-8021,2,2
1-8767,6,6
1-8181,11,11
1-8020,9,9
1-7964,20,20
1-9722,1,1
MLG84,2,2
1-9805,8,8
1-6098,5,5
1-8093,1,1
1-9955,2,2
1-18603,15,15
1-3521,4,4
1-2596,16,16
1-5167,2,2
1-3519,1,1
1-7995,15,15
1-2025,1,1
1-7140,20,20
1-9607,9,9
1-9907,10,10
1-18409,13,13
1-10071,15,15
1-18735,5,5
1-8418,1,1
1-8938,5,5
1-0022,1,1
1-7991,1,1
1-6642,5,5
1-2869,3,3
1-2714,7,7
1-5508,7,7
1-2104,1,1
1-7467,7,7
1-7722,8,8
1-7509,9,9
1-1207,4,4
1-8705,3,3
1-5214,17,17
1-9444,3,3
1-8566,4,4
1-19547,16,16
1-0405,5,5
1-2178,1,1
1-8174,2,2
1-9925,19,19
72-12387,16,16
1-9850,17,17
1-8125,9,9
1-8095,3,3
1-5877,2,2
1-1224,19,19
1-17733,19,19
1-9331,1,1
1-18202,2,2
1-7341,4,4
1-9818,3,3
1-7066,5,5
1-9674,19,19
1-8659,15,15
1-7536,2,2
1-7481,18,18
1-7845,12,12
1-18498,6,6
1-2584,10,10
1-6532,8,8
1-9614,5,5
1-5355,13,13
1-8124,11,11
1-8401,3,3
1-8541,18,18
1-2153,17,17
1-4088,18,18
1-9739,12,12
1-9115,17,17
1-7770,14,14
1-17645,2,2
1-18423,21,21
1-18714,11,11
1-8084,5,5
1-9345,7,7
MLG35,17,17
1-5626,6,6
1-18004,14,14
1-19222,14,14
72-12171,3,3
1-7807,16,16
1-20003,2,2
1-3083,7,7
1-3312,15,15
MLG37,1,1
1-9237,12,12
1-8127,3,3
1-5775,12,12
1-19598,1,1
1-9892,13,13
1-3564,1,1
1-8820,19,19
1-8267,16,16
1-1258,6,6
MLG69,21,21
1-6971,1,1
1-9731,10,10
1-9768,12,12
72-18936,8,8
1-19897,3,3
1-10698,1,1
1-4499,18,18
1-7496,16,16
1-3178,1,1
1-20047,7,7
1-0358,17,17
1-6543,4,4
1-5929,1,1
1-10232,10,10
1-7070,14,14
MLG42,10,10
MLG55,13,13
1-8427,8,8
1-8622,3,3
1-8488,6,6
1-9643,4,4
1-19286,4,4
1-2573,3,3
1-1833,12,12
1-9283,21,21
1-9110,9,9
1-8576,11,11
1-9465,1,1
1-9712,2,2
1-9549,8,8
1-1972,10,10
1-5515,10,10
1-7863,6,6
1-2294,11,11
MLG45,1,1
P-16454,9,9
1-8928,6,6
1-7744,6,6
MLG06,2,2
1-7453,1,1
1-17657,10,10
1-0001,7,7
MLG58,8,8
1-7005,18,18
1-9870,9,9
1-9500,7,7
1-1350,1,1
1-18994,14,14
1-9447,14,14
1-8634,7,7
1-6061,5,5
1-7599,8,8
1-10696,1,1
1-19813,2,2
MLG41,14,14
1-8067,19,19
1-9137,17,17
1-9740,9,9
1-7721,20,20
MLG40,17,17
1-4929,14,14
1-9655,3,3
1-9606,7,7
1-5043,6,6
1-8100,5,5
1-8573,15,15
1-9588,9,9
MLG38,3,3
1-4910,10,10
1-8042,7,7
1-10948,14,14
1-7525,9,9
1-4052,15,15
1-0037,13,13
1-8641,20,20
1-7752,10,10
1-9496,19,19
1-8074,2,2
1-8906,1,1
72-11994,2,2
1-7321,4,4
1-20167,4,4
1-9156,12,12
1-2382,4,4
1-8328,16,16
1-9770,12,12
1-9553,13,13
1-9253,4,4
1-2670,9,9
1-9646,15,15
1-8646,17,17
1-9839,1,1
MLG39,3,3
1-4634,5,5
1-9902,20,20
1-8988,20,20
1-1250,2,2
1-9733,1,1
1-8018,2,2
1-9752,10,10
1-7058,2,2
1-10468,19,19
1-9938,19,19
1-7842,17,17
1-5406,11,11
1-10922,4,4
1-18563,15,15
1-0053,5,5
1-19839,5,5
1-9887,1,1
1-9630,6,6
1-9416,1,1
1-5653,15,15
MLG73,8,8
1-8023,11,11
1-4149,13,13
1-0205,18,18
1-9227,18,18
1-9650,13,13
1-9996,7,7
1-3068,16,16
1-17835,14,14
1-4361,13,13
1-3089,5,5
1-8450,12,12
1-18371,12,12
MLG07,15,15
MLG29,5,5
1-8113,13,13
1-7024,11,11
1-9667,14,14
