i,count
17,120
13,248
1,237
19,99
4,224
10,226
14,190
3,201
20,110
2,140
12,67
8,202
11,146
16,95
21,234
15,203
5,127
7,136
9,185
22,85
18,95
23,67
6,125
24,0
