i,count
23,126
9,112
2,106
6,130
1,197
22,209
8,176
10,281
5,167
12,149
4,74
7,202
17,136
16,181
21,135
13,100
11,189
19,191
18,149
20,122
14,144
3,151
15,135
24,0
