Exam Group,Exam Block,adj_block
72-0103,20,20
1-9185,1,1
MLG17,8,8
1-8222,2,2
1-6240,5,5
1-5549,19,19
1-8021,13,13
1-8767,2,2
1-8181,19,19
1-8020,9,9
1-7964,12,12
1-9722,18,18
MLG84,2,2
1-9805,4,4
1-6098,10,10
1-8093,7,7
1-9955,17,17
1-18603,6,6
1-3521,12,12
1-2596,7,7
1-5167,9,9
1-3519,16,16
1-7995,5,5
1-2025,13,13
1-7140,12,12
1-9607,15,15
1-9907,1,1
1-18409,6,6
1-10071,17,17
1-18735,5,5
1-8418,18,18
1-8938,19,19
1-0022,16,16
1-7991,4,4
1-6642,9,9
1-2869,2,2
1-2714,9,9
1-5508,3,3
1-2104,9,9
1-7467,13,13
1-7722,14,14
1-7509,3,3
1-1207,18,18
1-8705,18,18
1-5214,7,7
1-9444,10,10
1-8566,6,6
1-19547,17,17
1-0405,10,10
1-2178,17,17
1-8174,6,6
1-9925,2,2
72-12387,4,4
1-9850,2,2
1-8125,16,16
1-8095,5,5
1-5877,6,6
1-1224,8,8
1-17733,11,11
1-9331,4,4
1-18202,5,5
1-7341,14,14
1-9818,1,1
1-7066,10,10
1-9674,11,11
1-8659,3,3
1-7536,9,9
1-7481,7,7
1-7845,2,2
1-18498,13,13
1-2584,12,12
1-6532,12,12
1-9614,3,3
1-5355,6,6
1-8124,13,13
1-8401,10,10
1-8541,16,16
1-2153,5,5
1-4088,9,9
1-9739,3,3
1-9115,1,1
1-7770,6,6
1-17645,5,5
1-18423,16,16
1-18714,5,5
1-8084,10,10
1-9345,8,8
MLG35,1,1
1-5626,6,6
1-18004,2,2
1-19222,11,11
72-12171,5,5
1-7807,14,14
1-20003,17,17
1-3083,16,16
1-3312,8,8
MLG37,9,9
1-9237,6,6
1-8127,20,20
1-5775,15,15
1-19598,16,16
1-9892,13,13
1-3564,3,3
1-8820,15,15
1-8267,14,14
1-1258,6,6
MLG69,17,17
1-6971,14,14
1-9731,18,18
1-9768,3,3
72-18936,8,8
1-19897,9,9
1-10698,10,10
1-4499,3,3
1-7496,14,14
1-3178,13,13
1-20047,1,1
1-0358,2,2
1-6543,18,18
1-5929,7,7
1-10232,14,14
1-7070,5,5
MLG42,5,5
MLG55,5,5
1-8427,13,13
1-8622,18,18
1-8488,4,4
1-9643,7,7
1-19286,19,19
1-2573,3,3
1-1833,3,3
1-9283,13,13
1-9110,1,1
1-8576,15,15
1-9465,15,15
1-9712,15,15
1-9549,19,19
1-1972,19,19
1-5515,20,20
1-7863,6,6
1-2294,16,16
MLG45,2,2
P-16454,6,6
1-8928,7,7
1-7744,2,2
MLG06,3,3
1-7453,7,7
1-17657,10,10
1-0001,10,10
MLG58,15,15
1-7005,20,20
1-9870,12,12
1-9500,13,13
1-1350,5,5
1-18994,7,7
1-9447,11,11
1-8634,5,5
1-6061,10,10
1-7599,17,17
1-10696,3,3
1-19813,9,9
MLG41,7,7
1-8067,11,11
1-9137,7,7
1-9740,1,1
1-7721,11,11
MLG40,4,4
1-4929,11,11
1-9655,4,4
1-9606,14,14
1-5043,6,6
1-8100,4,4
1-8573,11,11
1-9588,1,1
MLG38,7,7
1-4910,8,8
1-8042,1,1
1-10948,3,3
1-7525,8,8
1-4052,2,2
1-0037,4,4
1-8641,9,9
1-7752,3,3
1-9496,11,11
1-8074,2,2
1-8906,6,6
72-11994,6,6
1-7321,15,15
1-20167,10,10
1-9156,2,2
1-2382,7,7
1-8328,17,17
1-9770,7,7
1-9553,20,20
1-9253,17,17
1-2670,2,2
1-9646,15,15
1-8646,9,9
1-9839,1,1
MLG39,8,8
1-4634,10,10
1-9902,4,4
1-8988,3,3
1-1250,3,3
1-9733,2,2
1-8018,18,18
1-9752,17,17
1-7058,17,17
1-10468,11,11
1-9938,11,11
1-7842,18,18
1-5406,15,15
1-10922,12,12
1-18563,17,17
1-0053,10,10
1-19839,1,1
1-9887,12,12
1-9630,18,18
1-9416,20,20
1-5653,8,8
MLG73,2,2
1-8023,3,3
1-4149,13,13
1-0205,3,3
1-9227,20,20
1-9650,2,2
1-9996,1,1
1-3068,14,14
1-17835,10,10
1-4361,18,18
1-3089,1,1
1-8450,17,17
1-18371,15,15
MLG07,1,1
MLG29,1,1
1-8113,7,7
1-7024,18,18
1-9667,5,5
1-9855,2,2
1-7042,1,1
MLG33,1,1
1-19448,15,15
1-20791,9,9
1-1015,14,14
MLG57,8,8
