Exam Group,Exam Block,adj_block
72-0103,8,8
1-9185,14,14
MLG17,2,2
1-8222,9,9
1-6240,22,22
1-5549,5,5
1-8021,10,10
1-8767,11,11
1-8181,3,3
1-8020,14,14
1-7964,4,4
1-9722,17,17
MLG84,16,16
1-9805,6,6
1-6098,3,3
1-8093,5,5
1-9955,11,11
1-18603,17,17
1-3521,14,14
1-2596,5,5
1-5167,9,9
1-3519,16,16
1-7995,1,1
1-2025,12,12
1-7140,4,4
1-9607,1,1
1-9907,14,14
1-18409,8,8
1-10071,3,3
1-18735,7,7
1-8418,1,1
1-8938,3,3
1-0022,18,18
1-7991,6,6
1-6642,6,6
1-2869,12,12
1-2714,6,6
1-5508,22,22
1-2104,18,18
1-7467,6,6
1-7722,17,17
1-7509,20,20
1-1207,1,1
1-8705,1,1
1-5214,1,1
1-9444,2,2
1-8566,20,20
1-19547,1,1
1-0405,1,1
1-2178,3,3
1-8174,2,2
1-9925,12,12
72-12387,7,7
1-9850,8,8
1-8125,16,16
1-8095,2,2
1-5877,7,7
1-1224,1,1
1-17733,5,5
1-9331,3,3
1-18202,18,18
1-7341,20,20
1-9818,3,3
1-7066,3,3
1-9674,5,5
1-8659,10,10
1-7536,7,7
1-7481,9,9
1-7845,20,20
1-18498,18,18
1-2584,9,9
1-6532,6,6
1-9614,3,3
1-5355,13,13
1-8124,8,8
1-8401,11,11
1-8541,9,9
1-2153,15,15
1-4088,6,6
1-9739,11,11
1-9115,10,10
1-7770,10,10
1-17645,11,11
1-18423,15,15
1-18714,11,11
1-8084,13,13
1-9345,2,2
MLG35,14,14
1-5626,20,20
1-18004,1,1
1-19222,6,6
72-12171,9,9
1-7807,23,23
1-20003,3,3
1-3083,20,20
1-3312,19,19
MLG37,21,21
1-9237,21,21
1-8127,8,8
1-5775,17,17
1-19598,12,12
1-9892,23,23
1-3564,2,2
1-8820,5,5
1-8267,9,9
1-1258,13,13
MLG69,19,19
1-6971,20,20
1-9731,16,16
1-9768,17,17
72-18936,9,9
1-19897,15,15
1-10698,12,12
1-4499,8,8
1-7496,10,10
1-3178,8,8
1-20047,2,2
1-0358,1,1
1-6543,10,10
1-5929,16,16
1-10232,21,21
1-7070,2,2
MLG42,22,22
MLG55,2,2
1-8427,22,22
1-8622,4,4
1-8488,6,6
1-9643,1,1
1-19286,15,15
1-2573,23,23
1-1833,17,17
1-9283,2,2
1-9110,16,16
1-8576,16,16
1-9465,19,19
1-9712,11,11
1-9549,1,1
1-1972,22,22
1-5515,10,10
1-7863,13,13
1-2294,5,5
