i,j,count
11,4,68
13,14,37
12,3,95
12,21,167
3,21,91
5,6,54
5,17,52
6,17,148
20,6,167
20,10,202
20,16,211
20,2,128
6,10,345
6,16,373
6,2,188
10,16,273
10,2,160
16,2,141
18,15,28
22,6,347
22,10,292
22,20,243
22,5,270
6,20,291
6,5,332
10,20,220
10,5,256
20,5,157
11,15,74
11,17,218
15,17,179
7,1,131
7,10,86
7,18,83
7,5,125
1,10,81
1,18,92
1,5,125
10,18,133
18,5,75
6,21,201
6,13,126
6,12,344
21,13,35
21,12,91
13,12,93
2,10,84
2,8,79
10,8,289
4,13,190
4,8,123
4,22,95
13,8,103
13,22,43
8,22,41
10,22,86
10,19,197
10,9,145
22,19,102
22,8,331
22,2,176
22,9,189
19,8,87
19,2,67
19,9,68
8,2,100
8,9,104
2,9,67
7,6,173
7,20,148
1,6,87
1,20,92
11,6,145
11,9,77
11,7,123
6,9,172
6,7,158
9,7,57
16,6,229
16,7,196
5,18,72
19,11,56
19,13,21
11,13,46
7,13,50
7,8,129
10,12,258
10,11,164
12,11,244
10,7,145
22,18,121
16,10,262
16,12,402
16,11,240
13,3,33
13,9,40
13,6,107
3,9,63
3,6,38
9,6,45
6,11,326
6,8,331
11,8,161
5,11,69
22,12,287
12,18,148
12,8,268
18,8,31
10,4,121
14,21,137
14,20,91
14,19,156
21,20,66
21,19,80
20,19,107
4,3,66
4,12,113
3,12,113
22,3,126
22,21,160
20,13,82
10,17,72
17,8,27
22,16,249
22,14,133
16,14,182
16,22,89
6,22,183
11,22,72
4,15,58
4,9,101
15,9,89
6,14,155
6,15,159
14,16,155
14,15,76
16,15,159
15,21,184
15,7,85
15,2,82
21,7,30
21,2,62
7,2,70
20,15,104
20,11,200
15,11,104
16,13,127
16,18,200
13,18,52
16,20,237
12,20,210
8,14,129
8,5,159
8,18,82
8,11,81
22,11,230
18,11,36
2,1,40
2,3,58
2,21,74
2,20,53
1,3,60
1,21,105
3,20,70
4,6,96
4,20,122
22,4,102
22,13,100
8,4,68
8,13,97
1,22,63
1,12,151
5,12,93
5,3,29
3,18,75
13,19,59
20,17,144
19,17,53
20,22,130
2,22,36
1,8,163
1,2,74
1,15,62
8,15,106
2,15,117
2,5,115
15,5,166
14,13,36
14,8,79
2,12,103
2,19,39
12,19,196
11,3,92
11,5,182
3,5,100
14,2,84
2,16,69
3,8,98
12,10,192
12,15,153
10,21,178
10,15,104
21,18,115
21,15,56
16,17,137
17,7,59
17,15,70
7,15,87
16,9,122
1,9,145
9,18,72
11,20,150
16,19,190
16,5,249
15,19,115
19,5,70
19,12,89
19,14,95
12,14,94
8,10,147
18,3,38
14,7,152
7,19,307
3,19,82
19,6,28
10,1,138
18,7,50
18,20,58
18,1,49
20,1,141
9,19,42
9,11,58
14,6,213
14,11,193
14,12,108
11,12,195
8,12,114
14,10,136
8,16,157
6,19,184
4,16,80
6,18,185
10,6,156
8,6,57
11,10,184
7,17,97
17,13,30
6,4,148
19,4,25
13,4,75
18,9,58
13,21,53
13,2,43
15,12,154
1,11,79
8,21,243
21,16,98
7,4,72
12,2,168
12,17,143
2,17,64
8,17,54
18,10,90
5,13,86
5,21,120
14,18,100
1,4,52
4,5,142
9,1,32
3,10,52
3,14,22
10,14,130
17,19,55
17,21,99
19,21,61
7,12,215
17,2,66
6,1,121
1,16,69
11,16,118
19,15,57
20,9,155
20,18,171
19,18,34
5,8,78
9,8,63
9,22,38
12,5,236
16,4,80
17,10,43
10,13,122
15,3,53
12,16,210
3,17,52
13,5,123
21,21,116
7,14,162
7,9,153
14,9,36
14,5,99
9,5,75
7,21,93
1,14,52
9,17,56
7,11,145
9,21,60
9,20,64
11,21,209
4,21,77
13,11,50
11,19,99
21,5,131
12,6,157
12,7,121
12,22,132
17,11,110
5,20,90
5,19,68
5,14,32
4,2,62
9,16,81
16,3,146
6,3,127
12,4,64
19,10,56
19,3,45
10,3,86
7,22,105
22,1,104
20,21,206
18,21,100
20,14,169
4,11,64
19,20,45
8,20,136
7,16,106
13,16,87
9,14,27
9,3,61
7,3,73
14,3,61
17,18,37
20,3,107
14,1,54
3,15,52
3,1,67
21,1,38
15,1,61
21,14,56
21,11,80
16,8,237
20,8,161
20,12,237
17,20,75
17,3,49
21,3,41
19,7,170
15,13,66
15,16,128
13,15,100
22,15,164
21,9,63
9,2,42
5,9,50
17,12,98
7,7,101
5,10,77
12,12,123
13,20,97
13,1,89
16,21,176
11,14,92
8,19,72
20,4,69
22,17,115
15,14,58
4,19,56
4,17,56
13,17,51
17,5,67
5,7,45
21,17,88
18,17,40
9,12,90
14,17,61
12,9,112
15,10,121
15,22,52
15,15,92
16,1,90
19,1,36
12,1,59
2,7,51
1,7,49
18,4,15
20,7,118
9,10,66
18,6,28
3,2,53
9,15,33
15,20,82
3,11,79
15,4,43
11,18,134
12,13,89
5,4,60
13,10,59
15,18,84
2,18,66
15,6,62
1,17,67
17,14,44
21,22,41
8,1,39
8,7,65
4,1,63
4,14,41
4,10,85
15,8,69
19,22,32
11,1,72
2,11,86
1,19,40
22,7,142
14,22,68
13,7,39
2,6,26
2,14,53
17,1,50
21,10,69
17,22,52
5,2,45
4,7,36
19,16,37
21,6,51
3,16,54
18,14,72
11,2,93
5,22,39
3,7,71
3,22,34
18,2,34
21,4,17
9,4,16
4,18,46
18,16,53
18,19,26
21,8,39
14,4,32
18,22,17
18,12,66
18,13,19
