i,count
20,108
8,98
21,248
5,113
4,228
6,189
18,207
16,197
3,213
1,200
7,147
12,118
10,217
15,164
13,221
2,140
17,180
14,154
11,168
9,118
19,134
22,0
23,0
24,0
