i,count
18,150
15,191
5,89
10,127
3,184
19,264
7,218
16,255
9,196
8,142
1,193
6,117
2,135
11,291
13,170
14,255
20,116
4,111
12,142
21,121
17,95
22,0
23,0
24,0
