Exam Group,Exam Block,adj_block
72-0103,13,13
1-9185,15,15
MLG17,16,16
1-8222,4,4
1-6240,9,9
1-5549,14,14
1-8021,22,22
1-8767,18,18
1-8181,1,1
1-8020,16,16
1-7964,4,4
1-9722,11,11
MLG84,10,10
1-9805,18,18
1-6098,6,6
1-8093,14,14
1-9955,1,1
1-18603,18,18
1-3521,11,11
1-2596,17,17
1-5167,17,17
1-3519,5,5
1-7995,5,5
1-2025,6,6
1-7140,4,4
1-9607,1,1
1-9907,2,2
1-18409,1,1
1-10071,2,2
1-18735,9,9
1-8418,17,17
1-8938,2,2
1-0022,19,19
1-7991,5,5
1-6642,2,2
1-2869,13,13
1-2714,1,1
1-5508,10,10
1-2104,9,9
1-7467,19,19
1-7722,12,12
1-7509,3,3
1-1207,1,1
1-8705,18,18
1-5214,11,11
1-9444,9,9
1-8566,8,8
1-19547,2,2
1-0405,21,21
1-2178,12,12
1-8174,6,6
1-9925,6,6
72-12387,15,15
1-9850,1,1
1-8125,2,2
1-8095,3,3
1-5877,8,8
1-1224,22,22
1-17733,20,20
1-9331,16,16
1-18202,9,9
1-7341,6,6
1-9818,2,2
1-7066,22,22
1-9674,20,20
1-8659,11,11
1-7536,1,1
1-7481,11,11
1-7845,3,3
1-18498,7,7
1-2584,12,12
1-6532,3,3
1-9614,7,7
1-5355,12,12
1-8124,5,5
1-8401,7,7
1-8541,14,14
1-2153,18,18
1-4088,6,6
1-9739,2,2
1-9115,17,17
1-7770,9,9
1-17645,13,13
1-18423,5,5
1-18714,10,10
1-8084,6,6
1-9345,14,14
MLG35,1,1
1-5626,12,12
1-18004,1,1
1-19222,5,5
72-12171,9,9
1-7807,10,10
1-20003,10,10
1-3083,17,17
1-3312,22,22
MLG37,18,18
1-9237,2,2
1-8127,2,2
1-5775,19,19
1-19598,8,8
1-9892,3,3
1-3564,19,19
1-8820,20,20
1-8267,10,10
1-1258,12,12
MLG69,13,13
1-6971,13,13
1-9731,13,13
1-9768,3,3
72-18936,3,3
1-19897,10,10
1-10698,13,13
1-4499,7,7
1-7496,10,10
1-3178,16,16
1-20047,1,1
1-0358,1,1
1-6543,8,8
1-5929,1,1
1-10232,2,2
1-7070,15,15
MLG42,22,22
MLG55,21,21
1-8427,9,9
1-8622,4,4
1-8488,2,2
1-9643,5,5
1-19286,2,2
1-2573,7,7
1-1833,1,1
1-9283,9,9
1-9110,1,1
1-8576,1,1
1-9465,2,2
1-9712,17,17
1-9549,8,8
1-1972,3,3
1-5515,19,19
1-7863,8,8
1-2294,1,1
MLG45,6,6
P-16454,13,13
1-8928,2,2
1-7744,18,18
MLG06,21,21
1-7453,11,11
1-17657,8,8
1-0001,7,7
MLG58,19,19
1-7005,7,7
1-9870,20,20
1-9500,18,18
1-1350,9,9
1-18994,1,1
1-9447,2,2
1-8634,15,15
1-6061,6,6
1-7599,21,21
1-10696,18,18
1-19813,1,1
MLG41,19,19
1-8067,20,20
1-9137,3,3
1-9740,3,3
1-7721,19,19
MLG40,1,1
1-4929,6,6
1-9655,15,15
1-9606,22,22
1-5043,12,12
1-8100,8,8
1-8573,16,16
1-9588,16,16
MLG38,1,1
1-4910,6,6
1-8042,9,9
1-10948,16,16
1-7525,10,10
1-4052,2,2
1-0037,21,21
1-8641,9,9
1-7752,22,22
1-9496,11,11
1-8074,3,3
1-8906,15,15
72-11994,4,4
1-7321,12,12
1-20167,6,6
1-9156,3,3
1-2382,2,2
1-8328,17,17
1-9770,3,3
1-9553,11,11
1-9253,13,13
1-2670,6,6
1-9646,14,14
1-8646,8,8
1-9839,18,18
MLG39,1,1
1-4634,4,4
1-9902,15,15
1-8988,5,5
1-1250,11,11
1-9733,1,1
1-8018,21,21
1-9752,4,4
1-7058,17,17
1-10468,20,20
1-9938,20,20
1-7842,3,3
1-5406,12,12
1-10922,13,13
1-18563,1,1
1-0053,16,16
1-19839,4,4
1-9887,4,4
