i,j,count
17,4,6
4,17,6
18,5,1
5,18,1
12,2,10
2,12,10
15,2,17
2,15,17
14,12,21
12,14,21
7,1,10
1,7,10
16,12,20
12,16,20
15,7,43
7,15,43
3,6,9
6,3,9
10,1,41
1,10,41
8,4,12
4,8,12
17,9,45
9,17,45
13,17,20
17,13,20
3,10,10
10,3,10
8,12,15
12,8,15
8,17,20
17,8,20
5,1,56
1,5,56
16,15,73
15,16,73
11,8,33
8,11,33
9,1,9
1,9,9
16,1,13
1,16,13
21,17,20
17,21,20
12,4,11
4,12,11
16,14,45
14,16,45
18,9,9
9,18,9
8,3,8
3,8,8
6,5,7
5,6,7
4,7,15
7,4,15
18,6,12
6,18,12
15,14,29
14,15,29
3,9,15
9,3,15
11,21,25
21,11,25
15,17,20
17,15,20
12,7,37
7,12,37
18,10,17
10,18,17
19,12,28
12,19,28
9,21,36
21,9,36
13,14,15
14,13,15
15,4,20
4,15,20
10,7,29
7,10,29
19,4,19
4,19,19
19,9,30
9,19,30
18,12,7
12,18,7
8,18,33
18,8,33
2,8,21
8,2,21
5,14,11
14,5,11
13,9,32
9,13,32
16,3,16
3,16,16
11,18,48
18,11,48
2,19,25
19,2,25
11,10,24
10,11,24
11,9,27
9,11,27
16,17,15
17,16,15
7,9,64
9,7,64
14,19,25
19,14,25
20,14,13
14,20,13
16,19,60
19,16,60
14,18,12
18,14,12
7,14,29
14,7,29
3,18,11
18,3,11
8,16,29
16,8,29
4,9,20
9,4,20
15,9,47
9,15,47
15,6,21
6,15,21
8,10,16
10,8,16
2,21,2
21,2,2
14,3,18
3,14,18
4,21,9
21,4,9
13,19,27
19,13,27
10,12,19
12,10,19
19,19,10
15,8,28
8,15,28
19,17,26
17,19,26
7,11,45
11,7,45
5,21,8
21,5,8
15,19,50
19,15,50
15,21,31
21,15,31
7,8,26
8,7,26
17,3,20
3,17,20
13,11,48
11,13,48
19,21,38
21,19,38
8,19,44
19,8,44
20,5,8
5,20,8
19,11,38
11,19,38
19,10,14
10,19,14
20,12,15
12,20,15
15,11,48
11,15,48
14,21,22
21,14,22
2,6,14
6,2,14
5,2,4
2,5,4
7,6,23
6,7,23
11,12,18
12,11,18
13,8,18
8,13,18
8,9,25
9,8,25
17,14,16
14,17,16
10,15,21
15,10,21
4,13,9
13,4,9
15,12,17
12,15,17
16,4,14
4,16,14
7,7,18
19,3,24
3,19,24
11,14,32
14,11,32
6,8,11
8,6,11
11,20,17
20,11,17
1,17,12
17,1,12
13,6,7
6,13,7
15,3,14
3,15,14
4,3,5
3,4,5
7,20,17
20,7,17
1,13,9
13,1,9
6,19,20
19,6,20
18,20,25
20,18,25
4,14,15
14,4,15
15,15,20
6,1,1
1,6,1
9,2,17
2,9,17
15,1,13
1,15,13
6,17,9
17,6,9
11,4,17
4,11,17
10,14,18
14,10,18
7,21,25
21,7,25
5,11,25
11,5,25
8,8,20
19,7,44
7,19,44
16,7,27
7,16,27
11,17,21
17,11,21
7,17,25
17,7,25
9,6,13
6,9,13
1,8,15
8,1,15
21,18,7
18,21,7
14,8,28
8,14,28
16,10,15
10,16,15
16,20,19
20,16,19
1,2,6
2,1,6
19,5,17
5,19,17
13,15,21
15,13,21
6,21,10
21,6,10
2,16,8
16,2,8
11,16,34
16,11,34
13,3,6
3,13,6
9,12,25
12,9,25
1,14,5
14,1,5
5,3,8
3,5,8
2,17,6
17,2,6
10,9,47
9,10,47
7,5,11
5,7,11
18,15,20
15,18,20
20,19,20
19,20,20
4,20,8
20,4,8
14,6,19
6,14,19
13,18,9
18,13,9
13,12,13
12,13,13
12,5,10
5,12,10
20,8,8
8,20,8
3,2,15
2,3,15
16,9,26
9,16,26
15,20,21
20,15,21
13,21,13
21,13,13
20,13,6
13,20,6
17,10,51
10,17,51
7,18,21
18,7,21
1,20,6
20,1,6
11,2,9
2,11,9
2,13,10
13,2,10
20,9,12
9,20,12
16,6,26
6,16,26
8,21,14
21,8,14
3,1,8
1,3,8
4,18,8
18,4,8
2,18,7
18,2,7
11,3,21
3,11,21
7,3,17
3,7,17
3,12,10
12,3,10
11,1,7
1,11,7
10,21,10
21,10,10
17,20,16
20,17,16
5,13,3
13,5,3
20,6,10
6,20,10
15,5,17
5,15,17
12,6,8
6,12,8
13,10,11
10,13,11
2,20,6
20,2,6
13,7,24
7,13,24
11,6,11
6,11,11
12,21,9
21,12,9
18,19,21
19,18,21
16,21,9
21,16,9
16,13,16
13,16,16
12,17,8
17,12,8
19,1,16
1,19,16
9,5,12
5,9,12
16,18,17
18,16,17
8,5,10
5,8,10
9,14,13
14,9,13
10,6,4
6,10,4
10,20,9
20,10,9
16,5,10
5,16,10
5,4,3
4,5,3
1,12,6
12,1,6
4,10,10
10,4,10
1,4,2
4,1,2
2,14,11
14,2,11
20,21,8
21,20,8
4,6,7
6,4,7
7,2,14
2,7,14
10,5,5
5,10,5
3,20,5
20,3,5
1,18,2
18,1,2
17,5,7
5,17,7
2,10,5
10,2,5
18,17,6
17,18,6
21,3,4
3,21,4
21,1,5
1,21,5
4,2,1
2,4,1
1,1,0
1,22,0
1,23,0
1,24,0
2,2,0
2,22,0
2,23,0
2,24,0
3,3,0
3,22,0
3,23,0
3,24,0
4,4,0
4,22,0
4,23,0
4,24,0
5,5,0
5,22,0
5,23,0
5,24,0
6,6,0
6,22,0
6,23,0
6,24,0
7,22,0
7,23,0
7,24,0
8,22,0
8,23,0
8,24,0
9,9,0
9,22,0
9,23,0
9,24,0
10,10,0
10,22,0
10,23,0
10,24,0
11,11,0
11,22,0
11,23,0
11,24,0
12,12,0
12,22,0
12,23,0
12,24,0
13,13,0
13,22,0
13,23,0
13,24,0
14,14,0
14,22,0
14,23,0
14,24,0
15,22,0
15,23,0
15,24,0
16,16,0
16,22,0
16,23,0
16,24,0
17,17,0
17,22,0
17,23,0
17,24,0
18,18,0
18,22,0
18,23,0
18,24,0
19,22,0
19,23,0
19,24,0
20,20,0
20,22,0
20,23,0
20,24,0
21,21,0
21,22,0
21,23,0
21,24,0
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,0
22,11,0
22,12,0
22,13,0
22,14,0
22,15,0
22,16,0
22,17,0
22,18,0
22,19,0
22,20,0
22,21,0
22,22,0
22,23,0
22,24,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
23,8,0
23,9,0
23,10,0
23,11,0
23,12,0
23,13,0
23,14,0
23,15,0
23,16,0
23,17,0
23,18,0
23,19,0
23,20,0
23,21,0
23,22,0
23,23,0
23,24,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,12,0
24,13,0
24,14,0
24,15,0
24,16,0
24,17,0
24,18,0
24,19,0
24,20,0
24,21,0
24,22,0
24,23,0
24,24,0
