Exam Group,Exam Block,adj_block
72-0103,6,6
1-9185,10,10
MLG17,4,4
1-8222,13,13
1-6240,10,10
1-5549,12,12
1-8021,6,6
1-8767,7,7
1-8181,19,19
1-8020,5,5
1-7964,6,6
1-9722,6,6
MLG84,4,4
1-9805,2,2
1-6098,19,19
1-8093,16,16
1-9955,16,16
1-18603,8,8
1-3521,6,6
1-2596,8,8
1-5167,7,7
1-3519,14,14
1-7995,1,1
1-2025,5,5
1-7140,13,13
1-9607,12,12
1-9907,17,17
1-18409,2,2
1-10071,10,10
1-18735,6,6
1-8418,17,17
1-8938,6,6
1-0022,3,3
1-7991,7,7
1-6642,2,2
1-2869,16,16
1-2714,6,6
1-5508,10,10
1-2104,1,1
1-7467,6,6
1-7722,11,11
1-7509,15,15
1-1207,2,2
1-8705,7,7
1-5214,16,16
1-9444,6,6
1-8566,17,17
1-19547,3,3
1-0405,1,1
1-2178,6,6
1-8174,3,3
1-9925,12,12
72-12387,7,7
1-9850,14,14
1-8125,18,18
1-8095,1,1
1-5877,14,14
1-1224,12,12
1-17733,17,17
1-9331,10,10
1-18202,18,18
1-7341,19,19
1-9818,7,7
1-7066,17,17
1-9674,12,12
1-8659,11,11
1-7536,3,3
1-7481,9,9
1-7845,14,14
1-18498,10,10
1-2584,18,18
1-6532,7,7
1-9614,19,19
1-5355,16,16
1-8124,12,12
1-8401,11,11
1-8541,20,20
1-2153,17,17
1-4088,7,7
1-9739,15,15
1-9115,5,5
1-7770,5,5
1-17645,1,1
1-18423,9,9
1-18714,9,9
1-8084,19,19
1-9345,15,15
MLG35,2,2
1-5626,5,5
1-18004,1,1
1-19222,10,10
72-12171,8,8
1-7807,11,11
1-20003,1,1
1-3083,17,17
1-3312,15,15
MLG37,16,16
1-9237,7,7
1-8127,16,16
1-5775,8,8
1-19598,18,18
1-9892,4,4
1-3564,6,6
1-8820,12,12
1-8267,11,11
1-1258,7,7
MLG69,20,20
1-6971,15,15
1-9731,4,4
1-9768,8,8
72-18936,9,9
1-19897,17,17
1-10698,10,10
1-4499,3,3
1-7496,11,11
1-3178,4,4
1-20047,7,7
1-0358,7,7
1-6543,7,7
1-5929,6,6
1-10232,18,18
1-7070,10,10
MLG42,10,10
MLG55,16,16
1-8427,10,10
1-8622,13,13
1-8488,17,17
1-9643,1,1
1-19286,19,19
1-2573,16,16
1-1833,8,8
1-9283,10,10
1-9110,9,9
1-8576,6,6
1-9465,14,14
1-9712,13,13
1-9549,20,20
1-1972,4,4
1-5515,8,8
1-7863,7,7
1-2294,12,12
MLG45,2,2
P-16454,17,17
1-8928,7,7
1-7744,15,15
MLG06,11,11
1-7453,3,3
1-17657,10,10
1-0001,6,6
MLG58,14,14
1-7005,9,9
1-9870,3,3
1-9500,5,5
1-1350,10,10
1-18994,16,16
1-9447,15,15
1-8634,1,1
1-6061,19,19
1-7599,8,8
1-10696,2,2
1-19813,17,17
MLG41,16,16
1-8067,12,12
1-9137,9,9
1-9740,14,14
1-7721,13,13
MLG40,2,2
1-4929,19,19
1-9655,15,15
1-9606,19,19
1-5043,5,5
1-8100,11,11
1-8573,12,12
1-9588,11,11
MLG38,4,4
1-4910,15,15
1-8042,2,2
1-10948,4,4
1-7525,4,4
1-4052,16,16
1-0037,5,5
1-8641,11,11
1-7752,9,9
1-9496,8,8
1-8074,16,16
1-8906,1,1
72-11994,2,2
1-7321,13,13
1-20167,19,19
1-9156,8,8
1-2382,18,18
1-8328,18,18
1-9770,14,14
1-9553,7,7
1-9253,1,1
1-2670,2,2
