i,j,count
7,1,21
1,7,21
11,1,14
1,11,14
17,3,11
3,17,11
20,19,39
19,20,39
10,17,15
17,10,15
18,15,21
15,18,21
5,17,19
17,5,19
20,18,36
18,20,36
3,2,15
2,3,15
1,13,28
13,1,28
16,11,20
11,16,20
21,12,25
12,21,25
3,19,13
19,3,13
5,12,27
12,5,27
16,17,15
17,16,15
16,21,24
21,16,24
9,17,63
17,9,63
5,20,46
20,5,46
13,16,5
16,13,5
2,7,15
7,2,15
14,8,39
8,14,39
6,8,24
8,6,24
6,1,13
1,6,13
5,10,53
10,5,53
9,2,12
2,9,12
17,2,25
2,17,25
21,1,9
1,21,9
1,18,28
18,1,28
20,10,24
10,20,24
4,12,30
12,4,30
7,9,48
9,7,48
20,21,18
21,20,18
4,18,22
18,4,22
9,8,7
8,9,7
19,17,21
17,19,21
12,9,9
9,12,9
6,10,28
10,6,28
15,13,4
13,15,4
19,13,16
13,19,16
9,18,19
18,9,19
10,3,14
3,10,14
19,12,38
12,19,38
5,16,43
16,5,43
13,18,13
18,13,13
3,16,11
16,3,11
18,10,29
10,18,29
14,12,24
12,14,24
5,2,15
2,5,15
21,10,19
10,21,19
1,15,9
15,1,9
2,8,46
8,2,46
2,12,18
12,2,18
16,14,15
14,16,15
5,21,22
21,5,22
11,12,26
12,11,26
5,19,56
19,5,56
16,10,29
10,16,29
7,5,35
5,7,35
17,15,19
15,17,19
5,3,19
3,5,19
1,12,25
12,1,25
20,12,36
12,20,36
12,18,67
18,12,67
16,15,9
15,16,9
15,15,10
20,8,12
8,20,12
19,21,20
21,19,20
11,7,25
7,11,25
10,9,6
9,10,6
19,2,16
2,19,16
16,12,34
12,16,34
20,9,22
9,20,22
17,6,14
6,17,14
18,16,23
16,18,23
16,1,21
1,16,21
12,7,32
7,12,32
8,16,16
16,8,16
12,8,20
8,12,20
14,2,9
2,14,9
1,9,23
9,1,23
3,7,15
7,3,15
16,19,42
19,16,42
1,19,30
19,1,30
19,7,45
7,19,45
5,14,10
14,5,10
20,6,36
6,20,36
18,19,40
19,18,40
6,7,30
7,6,30
2,6,17
6,2,17
20,7,39
7,20,39
7,8,16
8,7,16
6,3,9
3,6,9
7,17,10
17,7,10
6,16,40
16,6,40
1,3,9
3,1,9
19,11,15
11,19,15
11,13,7
13,11,7
5,13,15
13,5,15
18,18,18
19,4,26
4,19,26
6,19,50
19,6,50
4,8,12
8,4,12
11,17,5
17,11,5
7,10,25
10,7,25
7,15,13
15,7,13
20,16,38
16,20,38
14,21,10
21,14,10
3,4,10
4,3,10
1,17,20
17,1,20
21,18,32
18,21,32
18,17,35
17,18,35
14,6,17
6,14,17
19,14,12
14,19,12
15,9,29
9,15,29
1,5,37
5,1,37
20,20,20
10,2,25
2,10,25
2,21,9
21,2,9
11,15,7
15,11,7
1,20,27
20,1,27
12,6,40
6,12,40
13,8,7
8,13,7
3,12,10
12,3,10
16,16,20
11,3,13
3,11,13
21,6,14
6,21,14
5,18,30
18,5,30
7,21,15
21,7,15
12,17,15
17,12,15
15,8,5
8,15,5
12,13,5
13,12,5
13,20,12
20,13,12
3,20,10
20,3,10
21,9,4
9,21,4
18,11,9
11,18,9
7,18,36
18,7,36
2,16,12
16,2,12
6,5,23
5,6,23
19,10,21
10,19,21
20,17,11
17,20,11
14,10,8
10,14,8
11,14,4
14,11,4
17,14,14
14,17,14
14,15,11
15,14,11
2,15,10
15,2,10
4,21,17
21,4,17
9,19,11
19,9,11
5,15,10
15,5,10
4,16,13
16,4,13
3,9,4
9,3,4
1,4,9
4,1,9
2,18,23
18,2,23
2,4,10
4,2,10
18,6,39
6,18,39
16,7,36
7,16,36
14,18,9
18,14,9
21,8,12
8,21,12
8,10,5
10,8,5
6,11,12
11,6,12
17,21,16
21,17,16
4,9,17
9,4,17
4,10,8
10,4,8
1,14,5
14,1,5
8,11,9
11,8,9
3,18,23
18,3,23
3,21,11
21,3,11
11,5,14
5,11,14
3,15,9
15,3,9
11,9,8
9,11,8
7,4,15
4,7,15
5,9,14
9,5,14
4,17,9
17,4,9
6,4,15
4,6,15
7,13,24
13,7,24
10,12,14
12,10,14
1,2,18
2,1,18
5,4,11
4,5,11
1,10,33
10,1,33
6,13,13
13,6,13
17,8,20
8,17,20
20,11,11
11,20,11
15,12,4
12,15,4
20,2,14
2,20,14
11,10,16
10,11,16
13,17,8
17,13,8
1,8,7
8,1,7
15,10,11
10,15,11
18,8,20
8,18,20
19,8,8
8,19,8
7,14,8
14,7,8
5,8,15
8,5,15
13,2,7
2,13,7
14,4,7
4,14,7
13,21,3
21,13,3
15,6,7
6,15,7
20,14,5
14,20,5
19,15,13
15,19,13
4,15,3
15,4,3
3,8,9
8,3,9
13,14,6
14,13,6
6,9,9
9,6,9
15,21,15
21,15,15
3,13,5
13,3,5
11,2,4
2,11,4
3,14,4
14,3,4
10,13,9
13,10,9
20,15,7
15,20,7
16,9,4
9,16,4
21,11,4
11,21,4
20,4,12
4,20,12
14,9,2
9,14,2
13,9,3
9,13,3
11,4,4
4,11,4
13,4,3
4,13,3
1,1,0
1,22,0
1,23,0
1,24,0
2,2,0
2,22,0
2,23,0
2,24,0
3,3,0
3,22,0
3,23,0
3,24,0
4,4,0
4,22,0
4,23,0
4,24,0
5,5,0
5,22,0
5,23,0
5,24,0
6,6,0
6,22,0
6,23,0
6,24,0
7,7,0
7,22,0
7,23,0
7,24,0
8,8,0
8,22,0
8,23,0
8,24,0
9,9,0
9,22,0
9,23,0
9,24,0
10,10,0
10,22,0
10,23,0
10,24,0
11,11,0
11,22,0
11,23,0
11,24,0
12,12,0
12,22,0
12,23,0
12,24,0
13,13,0
13,22,0
13,23,0
13,24,0
14,14,0
14,22,0
14,23,0
14,24,0
15,22,0
15,23,0
15,24,0
16,22,0
16,23,0
16,24,0
17,17,0
17,22,0
17,23,0
17,24,0
18,22,0
18,23,0
18,24,0
19,19,0
19,22,0
19,23,0
19,24,0
20,22,0
20,23,0
20,24,0
21,21,0
21,22,0
21,23,0
21,24,0
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,0
22,11,0
22,12,0
22,13,0
22,14,0
22,15,0
22,16,0
22,17,0
22,18,0
22,19,0
22,20,0
22,21,0
22,22,0
22,23,0
22,24,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
23,8,0
23,9,0
23,10,0
23,11,0
23,12,0
23,13,0
23,14,0
23,15,0
23,16,0
23,17,0
23,18,0
23,19,0
23,20,0
23,21,0
23,22,0
23,23,0
23,24,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,12,0
24,13,0
24,14,0
24,15,0
24,16,0
24,17,0
24,18,0
24,19,0
24,20,0
24,21,0
24,22,0
24,23,0
24,24,0
