i,count
8,182
18,185
4,235
3,89
12,114
5,257
19,179
10,208
11,183
2,192
7,181
1,219
17,157
20,153
9,197
21,85
14,217
15,84
6,192
13,150
16,103
22,0
23,0
24,0
