Exam Group,Exam Block,adj_block
72-0103,8,8
1-9185,5,5
MLG17,3,3
1-8222,14,14
1-6240,13,13
1-5549,17,17
1-8021,15,15
1-8767,5,5
1-8181,5,5
1-8020,13,13
1-7964,8,8
1-9722,1,1
MLG84,17,17
1-9805,4,4
1-6098,21,21
1-8093,16,16
1-9955,14,14
1-18603,9,9
1-3521,2,2
1-2596,10,10
1-5167,1,1
1-3519,3,3
1-7995,4,4
1-2025,5,5
1-7140,8,8
1-9607,22,22
1-9907,7,7
1-18409,11,11
1-10071,7,7
1-18735,8,8
1-8418,3,3
1-8938,1,1
1-0022,4,4
1-7991,5,5
1-6642,8,8
1-2869,13,13
1-2714,9,9
1-5508,16,16
1-2104,16,16
1-7467,22,22
1-7722,10,10
1-7509,14,14
1-1207,18,18
1-8705,19,19
1-5214,3,3
1-9444,3,3
1-8566,2,2
1-19547,7,7
1-0405,9,9
1-2178,4,4
1-8174,2,2
1-9925,1,1
72-12387,3,3
1-9850,15,15
1-8125,19,19
1-8095,14,14
1-5877,12,12
1-1224,1,1
1-17733,17,17
1-9331,3,3
1-18202,21,21
1-7341,21,21
1-9818,14,14
1-7066,7,7
1-9674,10,10
1-8659,17,17
1-7536,5,5
1-7481,6,6
1-7845,18,18
1-18498,4,4
1-2584,22,22
1-6532,16,16
1-9614,18,18
1-5355,2,2
1-8124,1,1
1-8401,20,20
1-8541,18,18
1-2153,1,1
1-4088,2,2
1-9739,4,4
1-9115,4,4
1-7770,13,13
1-17645,2,2
1-18423,12,12
1-18714,12,12
1-8084,21,21
1-9345,11,11
MLG35,1,1
1-5626,9,9
1-18004,10,10
1-19222,5,5
72-12171,18,18
1-7807,22,22
1-20003,21,21
1-3083,11,11
1-3312,19,19
MLG37,15,15
1-9237,15,15
1-8127,18,18
1-5775,20,20
1-19598,8,8
1-9892,22,22
1-3564,9,9
1-8820,10,10
1-8267,18,18
1-1258,9,9
MLG69,6,6
1-6971,1,1
1-9731,22,22
1-9768,4,4
72-18936,4,4
1-19897,15,15
1-10698,6,6
1-4499,4,4
1-7496,23,23
1-3178,11,11
1-20047,7,7
1-0358,19,19
1-6543,17,17
1-5929,1,1
1-10232,5,5
1-7070,11,11
MLG42,13,13
MLG55,4,4
1-8427,16,16
1-8622,2,2
1-8488,14,14
1-9643,11,11
1-19286,3,3
1-2573,6,6
1-1833,22,22
1-9283,5,5
1-9110,2,2
1-8576,1,1
1-9465,21,21
1-9712,11,11
1-9549,11,11
1-1972,7,7
1-5515,1,1
1-7863,9,9
1-2294,1,1
MLG45,22,22
P-16454,10,10
1-8928,6,6
1-7744,2,2
MLG06,9,9
1-7453,6,6
1-17657,1,1
1-0001,14,14
MLG58,19,19
1-7005,12,12
1-9870,11,11
1-9500,7,7
1-1350,13,13
1-18994,2,2
1-9447,12,12
1-8634,11,11
1-6061,3,3
1-7599,6,6
1-10696,3,3
1-19813,17,17
MLG41,2,2
1-8067,10,10
1-9137,12,12
1-9740,7,7
1-7721,1,1
MLG40,3,3
1-4929,8,8
1-9655,23,23
1-9606,12,12
1-5043,9,9
1-8100,19,19
1-8573,17,17
1-9588,10,10
