i,count
7,206
2,161
9,161
20,99
11,113
12,254
13,223
1,348
8,226
16,70
19,160
14,98
4,157
5,185
6,173
15,98
3,293
21,147
18,98
10,154
17,138
22,0
23,0
24,0
