i,j,count
10,14,25
1,10,54
9,16,74
9,6,187
16,6,74
12,20,42
12,14,68
20,14,147
2,20,221
2,13,300
2,5,320
2,8,186
20,13,398
20,5,327
20,8,241
13,5,250
13,8,148
5,8,358
17,13,83
4,20,344
4,13,331
4,2,351
4,12,251
20,2,419
20,12,270
13,2,342
13,12,277
2,12,276
17,15,38
17,11,55
15,11,182
7,16,68
7,13,176
7,10,107
7,12,164
16,13,122
16,10,55
16,12,66
13,10,134
10,12,95
20,6,236
20,9,295
6,12,71
6,9,82
12,9,88
20,19,160
19,13,131
19,18,67
13,18,255
3,19,203
3,14,74
3,4,122
19,14,64
19,4,120
14,4,98
13,4,176
13,1,195
13,3,295
4,8,163
4,18,273
4,1,171
4,3,292
8,18,347
8,1,97
8,3,168
18,1,78
18,3,137
1,3,170
7,20,78
7,2,170
16,20,112
16,2,103
7,1,101
7,14,116
20,1,162
1,14,46
5,20,148
12,17,47
14,17,112
14,12,86
17,12,84
10,1,59
10,2,94
1,2,105
13,9,244
13,17,131
9,17,166
11,1,66
4,17,179
5,13,268
5,9,366
5,17,177
1,8,93
1,9,106
1,11,74
8,9,92
8,11,88
9,11,148
8,14,105
4,9,235
9,18,243
17,18,84
17,19,34
5,6,244
5,2,281
5,18,465
6,2,86
6,18,115
2,18,312
19,2,157
19,16,42
2,16,121
4,5,223
4,6,205
10,5,57
13,11,80
11,18,94
4,21,153
21,3,126
21,20,89
21,17,104
21,4,69
20,17,186
20,4,179
17,4,37
11,2,104
2,1,254
20,21,220
20,10,188
5,21,100
5,10,148
21,10,84
15,6,150
15,1,76
15,2,97
6,1,66
2,17,259
1,17,76
19,17,60
16,17,51
19,3,186
20,16,121
4,16,120
6,16,30
6,17,61
3,5,171
3,11,109
3,18,183
3,2,186
5,11,128
18,2,84
19,20,105
4,14,83
4,19,149
14,3,189
14,19,71
8,4,108
8,12,79
8,13,90
12,13,86
12,5,58
12,10,85
2,15,116
2,11,168
2,3,388
2,4,176
17,2,116
18,13,107
18,12,113
16,1,48
16,8,94
3,13,146
3,7,123
13,7,202
13,14,142
14,9,151
14,6,94
16,18,59
16,5,145
18,5,174
9,1,129
9,13,191
9,10,106
9,21,161
13,6,145
13,21,113
6,10,95
6,21,44
10,21,52
5,14,82
14,8,61
14,21,82
8,21,88
1,12,132
20,7,270
5,12,273
21,18,144
21,12,125
1,7,56
10,9,64
9,5,160
19,12,124
14,20,93
14,2,122
8,17,84
1,20,26
1,16,29
10,20,53
10,16,25
13,16,67
16,3,50
4,7,217
5,7,167
16,7,82
16,19,48
16,9,63
7,19,92
7,9,141
19,9,115
13,19,154
19,5,114
19,7,66
20,18,384
9,8,145
2,21,185
19,1,93
5,1,172
17,9,111
17,5,57
20,15,136
20,3,393
15,3,67
3,1,115
18,19,43
20,11,160
6,11,77
15,18,62
15,12,65
18,6,165
13,15,86
3,10,109
9,3,153
18,11,58
2,10,128
4,11,159
1,6,84
11,6,141
12,3,80
1,4,64
1,21,51
7,21,83
14,13,83
2,14,126
3,17,83
14,1,127
17,14,46
5,19,150
11,16,30
15,5,68
19,21,65
19,6,84
21,6,104
3,12,183
10,11,56
10,10,116
11,10,44
14,5,68
14,16,54
5,3,239
5,16,86
3,16,57
12,16,31
7,5,164
7,6,180
10,17,68
10,3,99
17,3,146
3,20,113
1,18,66
1,13,60
6,14,60
6,8,120
11,8,88
3,6,122
12,2,95
10,4,86
4,10,191
9,20,110
9,7,153
12,7,49
12,18,55
3,21,98
11,12,76
9,19,69
18,16,89
10,7,32
14,18,107
3,8,107
2,9,284
12,19,68
21,16,92
16,4,67
2,6,202
17,6,101
10,6,124
2,7,189
7,3,145
14,10,46
12,21,68
3,9,134
11,17,66
7,18,106
21,9,138
14,15,52
1,15,54
6,3,74
6,15,43
3,15,54
18,17,91
21,2,135
21,19,51
2,19,129
19,10,44
18,8,166
15,21,34
21,5,53
5,4,140
5,15,58
21,15,49
4,15,127
11,13,55
8,5,149
20,20,101
9,12,204
10,13,46
11,7,76
9,9,123
9,14,60
16,14,44
15,13,47
15,9,49
18,9,85
14,7,63
21,1,93
1,19,47
14,11,59
7,8,106
9,15,62
10,18,29
1,5,91
7,17,37
11,5,87
6,5,87
7,4,81
6,19,38
12,6,63
10,8,98
2,2,92
18,7,43
8,7,69
7,11,211
6,4,84
8,2,109
8,19,28
15,4,44
17,10,51
10,19,25
8,15,34
15,7,32
15,19,39
17,16,45
9,4,79
21,13,132
18,21,68
13,20,90
19,11,73
9,2,250
11,3,76
11,15,75
18,15,31
18,4,34
12,15,35
11,9,67
12,1,74
15,8,63
6,13,103
17,7,28
16,11,64
11,21,39
21,8,143
19,8,51
19,15,25
15,17,45
15,16,32
17,8,85
15,10,52
17,1,70
21,14,69
11,19,48
18,14,39
21,11,97
11,4,36
12,4,70
8,6,64
15,20,52
16,21,59
21,7,60
18,20,27
12,8,36
18,10,38
6,20,25
6,7,53
11,20,17
17,21,45
8,20,37
16,15,28
15,14,21
12,11,49
7,15,45
11,14,27
8,10,40
8,16,34
17,20,23
10,15,14
