i,j,count
2,1,41
1,2,41
15,6,17
6,15,17
8,4,19
4,8,19
3,19,49
19,3,49
5,8,19
8,5,19
2,14,21
14,2,21
11,8,22
8,11,22
16,2,20
2,16,20
1,13,12
13,1,12
15,20,36
20,15,36
16,17,9
17,16,9
15,4,30
4,15,30
15,19,17
19,15,17
11,4,40
4,11,40
9,14,6
14,9,6
9,7,21
7,9,21
13,12,59
12,13,59
11,3,69
3,11,69
16,9,8
9,16,8
4,17,6
17,4,6
1,17,8
17,1,8
18,1,31
1,18,31
20,13,5
13,20,5
11,5,43
5,11,43
13,4,14
4,13,14
9,3,28
3,9,28
3,6,32
6,3,32
9,2,19
2,9,19
13,15,12
15,13,12
20,5,19
5,20,19
12,4,64
4,12,64
8,7,15
7,8,15
16,15,7
15,16,7
11,2,40
2,11,40
13,6,13
6,13,13
19,8,28
8,19,28
4,7,27
7,4,27
3,5,22
5,3,22
18,5,34
5,18,34
20,3,22
3,20,22
6,20,34
20,6,34
19,2,41
2,19,41
20,2,43
2,20,43
11,9,38
9,11,38
1,7,24
7,1,24
19,4,32
4,19,32
19,6,35
6,19,35
13,8,12
8,13,12
2,13,27
13,2,27
5,9,36
9,5,36
6,9,9
9,6,9
2,5,29
5,2,29
1,4,54
4,1,54
20,12,12
12,20,12
11,17,9
17,11,9
17,7,19
7,17,19
5,1,21
1,5,21
9,10,29
10,9,29
11,7,25
7,11,25
10,4,32
4,10,32
5,19,28
19,5,28
6,7,22
7,6,22
11,19,57
19,11,57
3,2,52
2,3,52
11,6,27
6,11,27
12,9,15
9,12,15
3,4,41
4,3,41
4,2,54
2,4,54
18,3,33
3,18,33
5,12,19
12,5,19
3,16,21
16,3,21
15,18,19
18,15,19
7,12,20
12,7,20
13,13,10
10,8,18
8,10,18
14,7,10
7,14,10
19,17,16
17,19,16
10,13,39
13,10,39
3,7,21
7,3,21
9,18,33
18,9,33
9,1,19
1,9,19
4,20,15
20,4,15
1,16,22
16,1,22
9,13,22
13,9,22
15,8,8
8,15,8
9,19,44
19,9,44
19,12,29
12,19,29
11,20,23
20,11,23
20,18,31
18,20,31
18,2,35
2,18,35
19,13,19
13,19,19
20,8,15
8,20,15
17,3,11
3,17,11
10,11,26
11,10,26
8,18,11
18,8,11
20,10,18
10,20,18
9,4,29
4,9,29
2,2,18
19,20,22
20,19,22
18,19,41
19,18,41
9,8,20
8,9,20
16,11,14
11,16,14
1,8,6
8,1,6
8,14,10
14,8,10
4,6,15
6,4,15
20,14,13
14,20,13
20,9,18
9,20,18
1,14,7
14,1,7
6,14,5
14,6,5
16,18,16
18,16,16
1,19,20
19,1,20
7,16,17
16,7,17
8,8,20
5,15,10
15,5,10
15,12,13
12,15,13
6,12,9
12,6,9
4,5,32
5,4,32
6,16,18
16,6,18
4,18,36
18,4,36
20,7,26
7,20,26
17,15,3
15,17,3
9,9,20
2,12,24
12,2,24
10,18,7
18,10,7
2,7,38
7,2,38
3,8,12
8,3,12
4,16,13
16,4,13
9,15,17
15,9,17
1,20,17
20,1,17
18,14,13
14,18,13
16,19,41
19,16,41
17,2,22
2,17,22
19,14,15
14,19,15
15,3,12
3,15,12
19,7,21
7,19,21
2,15,25
15,2,25
14,17,3
17,14,3
12,17,13
17,12,13
14,13,23
13,14,23
10,7,7
7,10,7
10,3,12
3,10,12
15,7,7
7,15,7
11,14,17
14,11,17
20,17,13
17,20,13
6,5,16
5,6,16
16,10,9
10,16,9
11,1,20
1,11,20
12,3,21
3,12,21
16,8,9
8,16,9
16,14,5
14,16,5
6,2,26
2,6,26
6,17,9
17,6,9
17,18,13
18,17,13
1,10,1
10,1,1
11,18,18
18,11,18
17,8,10
8,17,10
11,13,19
13,11,19
16,20,27
20,16,27
14,3,18
3,14,18
13,18,15
18,13,15
1,12,14
12,1,14
14,15,11
15,14,11
8,2,33
2,8,33
12,8,11
8,12,11
18,12,15
12,18,15
5,7,19
7,5,19
3,1,16
1,3,16
5,14,15
14,5,15
1,15,5
15,1,5
9,17,9
17,9,9
19,10,22
10,19,22
16,5,10
5,16,10
12,11,11
11,12,11
7,13,13
13,7,13
11,15,7
15,11,7
10,5,4
5,10,4
6,1,11
1,6,11
8,6,20
6,8,20
17,5,8
5,17,8
10,2,18
2,10,18
3,13,11
13,3,11
14,4,6
4,14,6
16,13,13
13,16,13
14,12,4
12,14,4
6,18,18
18,6,18
12,10,9
10,12,9
16,12,8
12,16,8
7,18,6
18,7,6
10,6,2
6,10,2
13,17,4
17,13,4
13,5,9
5,13,9
10,15,3
15,10,3
17,10,5
10,17,5
10,14,1
14,10,1
1,1,0
1,21,0
1,22,0
1,23,0
1,24,0
2,21,0
2,22,0
2,23,0
2,24,0
3,3,0
3,21,0
3,22,0
3,23,0
3,24,0
4,4,0
4,21,0
4,22,0
4,23,0
4,24,0
5,5,0
5,21,0
5,22,0
5,23,0
5,24,0
6,6,0
6,21,0
6,22,0
6,23,0
6,24,0
7,7,0
7,21,0
7,22,0
7,23,0
7,24,0
8,21,0
8,22,0
8,23,0
8,24,0
9,21,0
9,22,0
9,23,0
9,24,0
10,10,0
10,21,0
10,22,0
10,23,0
10,24,0
11,11,0
11,21,0
11,22,0
11,23,0
11,24,0
12,12,0
12,21,0
12,22,0
12,23,0
12,24,0
13,21,0
13,22,0
13,23,0
13,24,0
14,14,0
14,21,0
14,22,0
14,23,0
14,24,0
15,15,0
15,21,0
15,22,0
15,23,0
15,24,0
16,16,0
16,21,0
16,22,0
16,23,0
16,24,0
17,17,0
17,21,0
