anon-netid,blocks
00efb0e902289f6d12fc066cc3562d4482ef43b3f1949eea6e08f591d4add0b1,"[13, 3]"
00f28f9ad8a8003f7a6cdac8a74a3c0eb8d39368866e4e48563514fae9a147a3,"[6, 20, 14, 16]"
00f33a7a72717f263c9eb9e23e41661b40ed487ef5a5cc5caf28bd476a6ba12e,"[15, 10, 8, 4, 16]"
00f3eb5390c88e1bd05d0704f2b0a60e651a21ca83a087ee9218105ac5dcd721,"[13, 17, 3, 16, 19]"
00f53e216570a5ab76180777eddb978da715282fc83413cc61b5095e3fb78277,[1]
00f60c0b23a528d8f093f99b2cebbd9a2f6690e9c6b8a4a914eeccf83d59942b,"[5, 12, 15]"
0100b445e62b01c5df108214a53349bfaf7541a2e8d66249f3454e220b085ae8,"[10, 9, 7, 2]"
0107675fc9fe9f6adf9283b5678bb9e4acc9f7c825ceb79e0264c8727352f639,"[7, 10, 5, 20]"
0110f9b22c75a8b049f04fbd0516eaa09fa44f517634b889975ec34a28ed18e6,[7]
0111b6b2328ff5cc2f9919c387886cf39fe7a40f3a69bdc125778d5ff309860d,"[8, 1, 4]"
0113c3c8169a657a2308d8726eb957b0812b6a1ff1cbf9c474f27dcfea9f9970,"[18, 11]"
011441b438dc00f34cde17ad962bb49040abfa32798dd935381e2975c2f31d22,"[10, 5]"
01189cceb0b33629f1a9b847bb75e478415405e2e0709014d14f05c427205ae6,"[11, 19, 15]"
0124c123481d6ee4237a33382e0b41c6fb0e8122f02a56977ee428e5498cd767,[4]
0124ce4de6b18885b3b298e813df894c965500913eff519927e5beda984672d1,"[20, 11, 16]"
0125f2ce37a3be1778c5ae0eea1ac4758ced9bfa0da9fbe157931cf6f0801ec2,"[11, 13, 10]"
01261781fd3a0b9f044fe8b99c9942372cc51b8fa825338145c037745e353c7f,[12]
0137315d2bde8f99c9501e1da6b4ab768fbda71455b217bd0cbf61b42ac2e3b6,"[1, 17, 19, 20, 8]"
0142cea7fe0f0e40b6d0114dd09ef9852a3413713323965ddeb36f5e8c58d3b3,"[15, 9, 5]"
0149d951d2b342759e9d0732f014d86891a1e9ab2e52a346cbb6762443ccbb4d,"[13, 1, 19, 6]"
0150750c0dfdbd06f816a26a9b42a570fd46f95723694c5dcbed7277b2b9fd26,[17]
0154c6658c1816a4ef14d6d1a82fa8f07b2a733658e1215d2286abe81a6fd7f0,"[4, 14, 8]"
0154d5fa486c725f915f22297d3036dd1ac6db962c1938fa2492ef3afd2cde02,[2]
015826caf98ce2099cb17b101021e8e7b138b32c8dd3694c88f57c81784bc314,"[15, 5, 6]"
015883e9af69853f1d1864acee754565f826a9db15fa274bade2061f145a9d30,"[14, 1]"
0159ea40b1a25b20025b967cde1d2482df059636cc84c2962b8268b7e5691383,"[14, 20, 17, 4, 19]"
015cb4141b726ea770a16e9597bf31aeae672e5e217647c9b5a36a5106905cfe,"[6, 2, 9, 19]"
016adc89ce6d491909f734a1945ce68366f6dedd3c005f894eb46c3c849c8901,"[10, 20, 6, 2]"
016b524e784db438b71eb6505e0e8a3f053dbaaaae66bbd3305f8d752d653f3b,"[2, 7, 15]"
016e4ac50147c699e2cfa56cd6e9412e934ab99ad24e0481a10f19c509465eb2,"[12, 16, 11]"
