i,count
12,243
17,138
1,180
11,134
3,191
16,202
4,202
15,225
6,243
2,218
8,201
18,156
7,157
19,151
14,216
13,156
5,191
20,105
9,155
10,98
21,0
22,0
23,0
24,0
