i,count
3,130
2,141
12,126
6,302
1,416
15,233
7,222
17,204
9,166
16,112
11,161
5,228
20,98
8,185
19,110
13,109
14,121
10,173
4,235
18,90
21,0
22,0
23,0
24,0
