Exam Group,Exam Block,adj_block
72-0103,10,10
1-9185,14,14
MLG17,4,4
1-8222,8,8
1-6240,19,19
1-5549,21,21
1-8021,17,17
1-8767,1,1
1-8181,20,20
1-8020,21,21
1-7964,14,14
1-9722,6,6
MLG84,16,16
1-9805,14,14
1-6098,7,7
1-8093,11,11
1-9955,7,7
1-18603,11,11
1-3521,4,4
1-2596,7,7
1-5167,11,11
1-3519,15,15
1-7995,12,12
1-2025,3,3
1-7140,22,22
1-9607,9,9
1-9907,10,10
1-18409,1,1
1-10071,19,19
1-18735,1,1
1-8418,3,3
1-8938,7,7
1-0022,11,11
1-7991,10,10
1-6642,6,6
1-2869,21,21
1-2714,6,6
1-5508,19,19
1-2104,1,1
1-7467,17,17
1-7722,2,2
1-7509,12,12
1-1207,10,10
1-8705,6,6
1-5214,4,4
1-9444,18,18
1-8566,12,12
1-19547,18,18
1-0405,20,20
1-2178,13,13
1-8174,1,1
1-9925,9,9
72-12387,8,8
1-9850,4,4
1-8125,5,5
1-8095,15,15
1-5877,5,5
1-1224,9,9
1-17733,9,9
1-9331,16,16
1-18202,4,4
1-7341,13,13
1-9818,21,21
1-7066,8,8
1-9674,9,9
1-8659,18,18
1-7536,4,4
1-7481,17,17
1-7845,5,5
1-18498,13,13
1-2584,12,12
1-6532,5,5
1-9614,7,7
1-5355,13,13
1-8124,9,9
1-8401,6,6
1-8541,20,20
1-2153,11,11
1-4088,12,12
1-9739,21,21
1-9115,10,10
1-7770,17,17
1-17645,7,7
1-18423,2,2
1-18714,14,14
1-8084,14,14
1-9345,8,8
MLG35,12,12
1-5626,16,16
1-18004,10,10
1-19222,17,17
72-12171,19,19
1-7807,18,18
1-20003,16,16
1-3083,21,21
1-3312,11,11
MLG37,1,1
1-9237,21,21
1-8127,8,8
1-5775,12,12
1-19598,7,7
1-9892,10,10
1-3564,13,13
1-8820,9,9
1-8267,18,18
1-1258,13,13
MLG69,20,20
1-6971,8,8
1-9731,7,7
1-9768,10,10
72-18936,5,5
1-19897,4,4
1-10698,5,5
1-4499,1,1
1-7496,18,18
1-3178,17,17
1-20047,6,6
1-0358,14,14
1-6543,1,1
1-5929,16,16
1-10232,1,1
1-7070,19,19
MLG42,19,19
MLG55,4,4
1-8427,19,19
1-8622,2,2
1-8488,3,3
1-9643,1,1
1-19286,4,4
1-2573,21,21
1-1833,1,1
1-9283,19,19
1-9110,6,6
1-8576,2,2
1-9465,5,5
1-9712,21,21
1-9549,3,3
1-1972,5,5
1-5515,12,12
1-7863,13,13
1-2294,5,5
MLG45,7,7
P-16454,8,8
1-8928,20,20
1-7744,21,21
MLG06,13,13
1-7453,11,11
1-17657,12,12
1-0001,20,20
MLG58,5,5
1-7005,15,15
1-9870,18,18
1-9500,13,13
1-1350,19,19
1-18994,4,4
1-9447,11,11
1-8634,1,1
1-6061,7,7
1-7599,8,8
1-10696,11,11
1-19813,3,3
MLG41,1,1
1-8067,9,9
1-9137,16,16
1-9740,8,8
1-7721,10,10
MLG40,1,1
1-4929,2,2
1-9655,18,18
1-9606,9,9
1-5043,13,13
1-8100,6,6
1-8573,9,9
1-9588,9,9
MLG38,1,1
1-4910,3,3
1-8042,1,1
1-10948,12,12
1-7525,15,15
1-4052,5,5
1-0037,2,2
1-8641,8,8
1-7752,16,16
1-9496,5,5
1-8074,3,3
1-8906,20,20
72-11994,2,2
1-7321,14,14
1-20167,1,1
1-9156,10,10
1-2382,1,1
1-8328,18,18
1-9770,10,10
1-9553,21,21
1-9253,7,7
1-2670,3,3
1-9646,1,1
1-8646,13,13
1-9839,7,7
MLG39,1,1
1-4634,18,18
1-9902,12,12
1-8988,22,22
1-1250,12,12
1-9733,7,7
1-8018,14,14
1-9752,1,1
1-7058,13,13
1-10468,9,9
1-9938,9,9
1-7842,17,17
1-5406,3,3
1-10922,1,1
1-18563,1,1
1-0053,3,3
1-19839,6,6
1-9887,4,4
1-9630,6,6
1-9416,3,3
1-5653,15,15
MLG73,6,6
1-8023,3,3
1-4149,6,6
1-0205,15,15
1-9227,15,15
1-9650,6,6
1-9996,17,17
1-3068,18,18
1-17835,7,7
1-4361,4,4
1-3089,2,2
1-8450,12,12
1-18371,10,10
MLG07,2,2
MLG29,2,2
1-8113,6,6
1-7024,6,6
1-9667,2,2
1-9855,1,1
1-7042,15,15
MLG33,11,11
1-19448,8,8
1-20791,12,12
1-1015,14,14
MLG57,8,8
1-6647,17,17
MLG56,11,11
1-20467,16,16
1-2400,18,18
1-6931,2,2
1-9333,10,10
1-7268,19,19
1-21195,10,10
1-4649,20,20
1-8379,20,20
1-9946,16,16
1-9277,15,15
1-9504,10,10
1-9516,15,15
1-3596,20,20
1-0129,13,13
1-1942,17,17
1-8623,1,1
1-6927,9,9
P-0009,7,7
1-11330,1,1
1-2103,3,3
1-6181,22,22
MLG44,14,14
1-7839,2,2
1-1390,8,8
1-7897,10,10
1-1570,13,13
1-3589,15,15
1-0033,1,1
1-3216,16,16
1-9495,9,9
1-4051,9,9
1-10762,1,1
MLG43,12,12
1-7608,4,4
1-9995,1,1
1-1608,19,19
1-3535,10,10
1-4136,20,20
1-18615,3,3
1-3587,14,14
1-9836,8,8
1-8590,17,17
1-1592,6,6
1-8341,15,15
MLG02,22,22
1-9997,3,3
1-8066,22,22
1-3509,4,4
1-3639,12,12
1-9404,9,9
1-8352,1,1
1-7019,22,22
MLG54,5,5
1-4020,16,16
1-1177,4,4
MLG51,8,8
1-8157,11,11
1-19004,2,2
1-7866,21,21
1-18377,4,4
1-5530,14,14
1-6743,8,8
1-3516,18,18
1-4855,19,19
1-20578,5,5
1-3108,20,20
1-7521,11,11
1-3139,15,15
1-1769,5,5
1-7441,14,14
1-10978,4,4
1-2324,6,6
1-3584,7,7
MLG13,4,4
1-5172,13,13
1-0296,4,4
1-3647,16,16
1-6734,1,1
1-19924,5,5
1-8826,18,18
P-16616,4,4
1-9497,7,7
1-1317,9,9
1-4531,15,15
MLG75,6,6
MLG78,2,2
1-11329,14,14
1-20641,7,7
1-8910,4,4
1-1827,2,2
1-18613,19,19
1-6296,22,22
1-3523,21,21
1-3362,3,3
1-0031,5,5
MLG65,17,17
1-4319,9,9
1-6035,2,2
1-1131,17,17
MLG32,14,14
1-8188,3,3
1-17758,3,3
1-3052,15,15
1-2282,1,1
1-19229,1,1
MLG63,12,12
MLG50,5,5
1-9417,9,9
1-9498,13,13
1-9761,15,15
1-4760,21,21
1-9831,9,9
1-4417,11,11
1-6611,18,18
1-0008,22,22
1-1462,15,15
1-10785,13,13
1-7682,6,6
MLG48,2,2
1-5163,14,14
1-8544,3,3
1-5197,9,9
1-6594,1,1
MLG62,12,12
1-1580,21,21
1-6916,4,4
1-6918,8,8
1-6919,16,16
MLG14,17,17
1-7874,15,15
1-7213,22,22
1-6561,2,2
1-4640,15,15
1-7004,18,18
1-2335,12,12
1-18558,21,21
1-8551,18,18
1-9270,13,13
1-6974,10,10
MLG68,16,16
1-10539,19,19
MLG49,4,4
1-0278,5,5
MLG64,14,14
MLG30,22,22
1-9609,7,7
1-7819,16,16
1-2423,22,22
1-6787,1,1
1-9963,13,13
1-9808,22,22
1-0303,11,11
MLG60,6,6
1-18709,17,17
1-7204,2,2
1-5744,2,2
1-1770,13,13
1-4682,8,8
1-3104,17,17
1-17907,18,18
1-8421,13,13
MLG53,4,4
1-9645,14,14
MLG12,6,6
MLG15,1,1
1-6858,9,9
1-8314,13,13
1-8285,19,19
1-1957,14,14
1-18203,13,13
1-10451,4,4
1-6216,16,16
1-6692,12,12
1-8172,10,10
1-8398,8,8
1-6878,22,22
1-7122,16,16
1-4700,17,17
1-6006,19,19
1-4355,20,20
1-9379,3,3
1-2701,18,18
1-6693,7,7
1-3141,13,13
1-7614,16,16
1-6914,21,21
1-5654,6,6
MLG59,3,3
1-9610,10,10
1-5161,6,6
1-6980,20,20
MLG10,3,3
MLG72,19,19
MLG52,5,5
1-19166,15,15
MLG11,11,11
1-3447,15,15
1-3217,14,14
1-6538,10,10
1-3534,18,18
1-7152,18,18
1-3106,5,5
1-1935,14,14
1-2297,3,3
1-4098,22,22
1-8529,8,8
1-8397,2,2
1-0272,18,18
1-17790,10,10
1-8186,5,5
1-8503,18,18
1-7182,2,2
1-2545,21,21
1-7993,14,14
1-9651,17,17
1-1183,4,4
1-1989,2,2
1-10060,1,1
1-5913,12,12
1-5981,16,16
1-13247,16,16
1-6228,9,9
1-8578,7,7
1-1204,19,19
1-9794,8,8
1-9518,11,11
1-9452,2,2
1-8400,4,4
1-18234,16,16
1-19205,7,7
1-9055,11,11
1-9394,10,10
1-9286,19,19
1-1005,7,7
1-10038,16,16
1-4390,15,15
1-9491,17,17
MLG31,2,2
1-5980,1,1
1-8678,4,4
1-6900,11,11
1-11350,20,20
1-9578,20,20
1-3551,1,1
MLG09,4,4
1-6028,11,11
1-1836,13,13
1-3265,3,3
MLG08,11,11
1-3176,3,3
1-8493,3,3
1-19915,11,11
1-8627,12,12
1-0292,20,20
1-18487,14,14
1-20012,20,20
1-9076,20,20
1-5425,17,17
1-4747,11,11
1-6227,21,21
1-6909,3,3
1-8532,2,2
1-18935,15,15
1-3206,21,21
1-9697,1,1
1-3033,1,1
1-8094,21,21
1-11206,8,8
1-6531,12,12
1-5036,9,9
1-18028,16,16
1-1850,2,2
1-4926,5,5
1-2034,11,11
1-19549,1,1
1-5282,5,5
1-9861,1,1
1-9338,6,6
1-3175,15,15
1-5002,7,7
1-5531,12,12
1-6718,17,17
1-6217,20,20
1-4847,19,19
1-5891,17,17
1-19447,3,3
1-7530,4,4
1-9457,3,3
1-5990,1,1
1-9971,5,5
1-4494,16,16
1-9576,18,18
1-9436,1,1
1-5413,2,2
1-5424,8,8
1-1191,17,17
1-5803,16,16
1-5799,14,14
1-19567,8,8
1-7527,1,1
MLG67,22,22
1-3087,10,10
1-4842,1,1
1-19568,8,8
1-9838,11,11
MLG46,2,2
1-5555,6,6
1-10444,15,15
1-3646,7,7
1-10951,17,17
1-9806,1,1
1-0055,3,3
1-5914,17,17
1-0027,12,12
1-9455,20,20
1-0003,19,19
1-21192,18,18
1-9034,14,14
1-19927,10,10
