Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
145,145,145,145,145,145,145,145,145,145,145,145,1-9491,5,1-9491,10,80,22,1,27,1040.000155031681,13.000001937896013
93,93,93,93,93,93,93,93,93,93,93,93,MLG52,5,MLG52,10,125,17,1,24,1033.0001378059387,8.26400110244751
368,368,368,368,368,368,368,368,368,368,368,368,1-6858,16,1-6858,21,23,9,0,15,19.0000861287117,0.8260907012483348
132,132,132,132,132,132,132,132,132,132,132,132,MLG55,15,MLG55,20,92,42,0,17,53.33343094587326,0.579711205933405
332,332,332,332,332,332,332,332,332,332,332,332,P-16616,13,P-16616,16,28,7,0,11,14.33339649438858,0.511907017656735
17,17,17,17,17,17,17,17,17,17,17,17,1-7004,10,1-7004,19,381,53,0,199,185.66780930757523,0.48731708479678537
15,15,15,15,15,15,15,15,15,15,15,15,1-1580,11,1-1580,18,400,47,0,210,187.0012058019638,0.4675030145049095
104,104,104,104,104,104,104,104,104,104,104,104,1-9394,12,1-9394,17,117,13,0,62,54.33368933200836,0.46439050711118257
28,28,28,28,28,28,28,28,28,28,28,28,1-7005,8,1-7005,14,285,21,0,160,127.6675853729248,0.44795643990499934
55,55,55,55,55,55,55,55,55,55,55,55,1-1462,8,1-1462,14,192,17,0,103,85.66725808382034,0.44618363585323095
84,84,84,84,84,84,84,84,84,84,84,84,1-2382,5,1-2382,10,139,36,0,31,56.66684466600418,0.4076751414820445
215,215,215,215,215,215,215,215,215,215,215,215,MLG40,13,MLG40,16,51,16,0,7,20.66670686006546,0.40522954627579333
213,213,213,213,213,213,213,213,213,213,213,213,1-6227,16,1-6227,21,52,1,0,30,21.0001722574234,0.40384946648891157
63,63,63,63,63,63,63,63,63,63,63,63,1-3052,8,1-3052,14,166,10,0,85,66.6671547293663,0.40160936583955603
176,176,176,176,176,176,176,176,176,176,176,176,1-6561,16,1-6561,21,65,10,0,24,26.00013780593872,0.40000212009136493
299,299,299,299,299,299,299,299,299,299,299,299,MLG31,21,MLG31,6,33,11,0,3,13.00001722574234,0.39393991593158606
47,47,47,47,47,47,47,47,47,47,47,47,1-0303,14,1-0303,15,212,18,0,95,81.3338788151741,0.3836503717696892
228,228,228,228,228,228,228,228,228,228,228,228,MLG60,9,MLG60,5,47,12,0,9,18.00005167722702,0.3829798229197238
91,91,91,91,91,91,91,91,91,91,91,91,1-9270,20,1-9270,13,128,19,0,45,49.0002583861351,0.3828145186416805
57,57,57,57,57,57,57,57,57,57,57,57,MLG75,9,MLG75,5,185,42,0,43,70.66691356897354,0.38198331658904616
212,212,212,212,212,212,212,212,212,212,212,212,MLG32,20,MLG32,13,52,7,0,19,19.66677576303482,0.3782072262122081
268,268,268,268,268,268,268,268,268,268,268,268,1-8493,3,1-8493,21,38,1,0,20,14.3334481716156,0.3771960045162
36,36,36,36,36,36,36,36,36,36,36,36,MLG64,20,MLG64,13,245,35,0,86,92.33382713794708,0.37687276382835544
4,4,4,4,4,4,4,4,4,4,4,4,MLG68,9,MLG68,5,642,38,0,302,239.33506739139557,0.3727960551267844
171,171,171,171,171,171,171,171,171,171,171,171,1-9645,14,1-9645,6,69,5,0,31,25.66684466600418,0.3719832560290461
267,267,267,267,267,267,267,267,267,267,267,267,1-5413,5,1-5413,10,39,5,0,14,14.33341372013092,0.36752342872130567
203,203,203,203,203,203,203,203,203,203,203,203,1-9938,3,1-9938,8,55,3,0,25,19.6668102145195,0.3575783675367182
81,81,81,81,81,81,81,81,81,81,81,81,1-7682,9,1-7682,5,141,37,0,20,50.3334481716156,0.35697480972777024
7,7,7,7,7,7,7,7,7,7,7,7,MLG69,10,MLG69,19,576,43,0,243,205.00139528512955,0.35590520014779436
441,441,441,441,441,441,441,441,441,441,441,441,1-9997,6,1-9997,11,16,3,0,4,5.66668963432312,0.354168102145195
217,217,217,217,217,217,217,217,217,217,217,217,1-9770,20,1-9770,20,50,13,0,7,17.66670686006546,0.3533341372013092
165,165,165,165,165,165,165,165,165,165,165,165,MLG59,4,MLG59,9,71,19,0,9,25.00005167722702,0.35211340390460594
297,297,297,297,297,297,297,297,297,297,297,297,1-9630,4,1-9630,16,33,8,0,5,11.3333620429039,0.3434352134213303
278,278,278,278,278,278,278,278,278,278,278,278,1-7845,19,1-7845,3,36,7,0,8,12.33337926864624,0.34259386857350665
195,195,195,195,195,195,195,195,195,195,195,195,1-9379,4,1-9379,9,58,15,0,7,19.66670686006546,0.3390811527597493
143,143,143,143,143,143,143,143,143,143,143,143,1-9286,5,1-9286,10,81,10,0,26,27.33348262310028,0.3374504027543245
46,46,46,46,46,46,46,46,46,46,46,46,1-2282,15,1-2282,20,219,61,0,19,73.66677576303482,0.3363779715207069
189,189,189,189,189,189,189,189,189,189,189,189,MLG10,9,MLG10,6,60,2,0,27,20.00015503168106,0.33333591719468436
224,224,224,224,224,224,224,224,224,224,224,224,1-9277,8,1-9277,14,48,2,0,21,16.00012058019638,0.33333584542075795
376,376,376,376,376,376,376,376,376,376,376,376,1-18487,20,1-18487,13,23,3,0,7,7.66670686006546,0.3333350808724113
208,208,208,208,208,208,208,208,208,208,208,208,1-5355,16,1-5355,21,53,7,0,16,17.66675853729248,0.33333506674136754
129,129,129,129,129,129,129,129,129,129,129,129,1-4531,8,1-4531,21,94,18,0,20,31.3334481716156,0.33333455501718723
168,168,168,168,168,168,168,168,168,168,168,168,MLG45,4,MLG45,9,70,20,0,5,23.3333620429039,0.33333374347005573
45,45,45,45,45,45,45,45,45,45,45,45,1-3596,15,1-3596,20,223,56,0,27,74.00015503168106,0.33183926023175364
79,79,79,79,79,79,79,79,79,79,79,79,1-0129,16,1-0129,21,142,16,0,46,46.66693079471588,0.32864035770926675
239,239,239,239,239,239,239,239,239,239,239,239,1-5002,6,1-5002,11,45,2,0,19,14.66677576303482,0.32592835028966266
