Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,1-9455,6,13,1-9455,2,2,0,0,2.0,1.0
546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,1-7527,5,7,1-7527,1,1,0,0,1.0,1.0
542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,1-1191,6,13,1-1191,53,50,0,7,50.41676487401128,0.9512597146039864
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1-7536,3,5,1-7536,17,16,0,1,16.05953783914447,0.9446786964202628
233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,MLG07,17,8,MLG07,90,83,0,7,83.41676487401128,0.9268529430445698
495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,MLG08,5,7,MLG08,107,92,0,14,92.83352974802256,0.8676030817572201
465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,1-5913,1,14,1-5913,14,10,0,6,10.35722703486681,0.7398019310619149
439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,MLG72,8,15,MLG72,9,6,0,3,6.178613517433405,0.6865126130481561
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,9,21,1-6227,52,31,0,30,32.78613517433405,0.6305025995064241
277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,1-4051,1,14,1-4051,5,3,0,1,3.0595378391444683,0.6119075678288937
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,1-7481,19,6,1-7481,33,20,0,2,20.119075678288937,0.6096689599481496
281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,1-9995,10,11,1-9995,24,14,0,7,14.416764874011278,0.6006985364171366
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1-18004,8,15,1-18004,12,7,0,3,7.178613517433405,0.5982177931194504
516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,1-5036,17,8,1-5036,14,8,0,0,8.0,0.5714285714285714
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,1,14,1-5002,45,24,0,17,25.01214326545596,0.5558254058990214
536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,1-9971,20,12,1-9971,15,8,0,5,8.297689195722342,0.5531792797148227
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,1-8095,2,2,1-8095,46,25,0,0,25.0,0.5434782608695652
432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1-6914,12,1,1-6914,73,39,0,1,39.05953783914447,0.5350621621800612
550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,1-19568,11,3,1-19568,2,1,0,1,1.0595378391444683,0.5297689195722342
454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,1-0272,6,13,1-0272,111,57,0,10,57.59537839144468,0.5188772828058079
238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,1-9855,19,6,1-9855,8,4,0,1,4.059537839144468,0.5074422298930585
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,17,8,1-1131,138,69,0,12,69.71445406973362,0.5051772034038668
502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,1-20012,1,14,1-20012,12,6,0,1,6.059537839144468,0.5049614865953723
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,8,15,MLG59,71,34,0,15,34.893067587167025,0.49145165615728204
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1-6532,4,10,1-6532,27,13,0,4,13.238151356577873,0.4903019020954768
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,8,15,MLG49,185,86,0,30,87.78613517433405,0.47451964959099485
413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,1-8314,19,6,1-8314,36,16,0,17,17.01214326545596,0.47255953515155447
248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,1-2400,18,4,1-2400,49,22,0,8,22.476302713155746,0.45870005537052544
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,8,15,1-9379,58,25,0,16,25.952605426311493,0.4474587142467499
548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,1-3087,17,8,1-3087,26,11,0,5,11.297689195722342,0.4345265075277824
453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,1-8397,3,5,1-8397,51,19,0,50,21.976891957223415,0.4309194501416356
