Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,MLG40,24,MLG40,3,51,0,1,6,1000.8825985006988,19.62514899020978
168,168,168,168,168,168,MLG45,5,MLG45,5,70,17,1,16,1019.3535960018635,14.56219422859805
32,32,32,32,32,32,1-7874,24,1-7874,19,258,0,1,58,1008.5317855067551,3.9090379283207564
8,8,8,8,8,8,1-10468,5,1-10468,5,549,51,1,156,1073.947561018169,1.9561886357343696
85,85,85,85,85,85,1-1131,11,1-1131,12,138,67,0,26,70.82459350302815,0.5132216920509286
228,228,228,228,228,228,MLG60,2,MLG60,2,47,16,0,4,16.58839900046587,0.3529446595843802
203,203,203,203,203,203,1-9938,6,1-9938,6,55,18,0,8,19.17679800093174,0.3486690545623953
57,57,57,57,57,57,MLG75,8,MLG75,9,185,60,0,30,64.41299250349402,0.3481783378567245
112,112,112,112,112,112,1-3447,4,1-3447,4,110,34,0,19,36.79489525221288,0.3344990477473898
165,165,165,165,165,165,MLG59,5,MLG59,5,71,19,0,22,22.236194502562284,0.31318583806425754
267,267,267,267,267,267,1-5413,14,1-5413,16,39,10,0,14,12.059396501630545,0.3092152949136037
123,123,123,123,123,123,1-11350,2,1-11350,2,100,28,0,10,29.470997501164675,0.29470997501164675
34,34,34,34,34,34,MLG51,14,MLG51,16,248,66,0,44,72.47238900512457,0.2922273750206636
195,195,195,195,195,195,1-9379,8,1-9379,9,58,15,0,12,16.76519700139761,0.2890551207137519
166,166,166,166,166,166,MLG58,11,MLG58,12,71,18,0,14,20.059396501630545,0.28252671129057105
26,26,26,26,26,26,1-18558,15,1-18558,17,307,82,0,24,85.53039400279522,0.27860063193092904
239,239,239,239,239,239,1-5002,7,1-5002,7,45,9,0,17,11.500695751979947,0.2555710167106655
242,242,242,242,242,242,1-3206,10,1-3206,13,45,8,0,22,11.236194502562284,0.24969321116805077
13,13,13,13,13,13,1-1258,13,1-1258,15,435,90,0,117,107.2106707636267,0.24646131210029126
43,43,43,43,43,43,MLG14,2,MLG14,2,232,54,0,12,55.76519700139761,0.24036722845430003
233,233,233,233,233,233,1-3587,10,1-3587,13,46,10,0,5,10.735498750582337,0.23338040762135517
77,77,77,77,77,77,1-9674,6,1-9674,6,144,31,0,11,32.61809725128114,0.22651456424500793
161,161,161,161,161,161,1-8285,9,1-8285,11,72,15,0,8,16.17679800093174,0.22467775001294082
54,54,54,54,54,54,1-1350,9,1-1350,11,195,34,0,60,42.82598500698805,0.21962043593327205
5,5,5,5,5,5,MLG57,14,MLG57,16,629,110,0,188,137.65475302189589,0.21884698413655942
404,404,404,404,404,404,1-20578,5,1-20578,5,19,4,0,1,4.1470997501164675,0.2182684079008667
146,146,146,146,146,146,MLG78,13,MLG78,15,80,17,0,3,17.441299250349402,0.21801624062936753
439,439,439,439,439,439,1-4682,14,1-4682,16,16,3,0,3,3.4412992503494024,0.21508120314683765
81,81,81,81,81,81,1-7682,9,1-7682,11,141,25,0,36,30.29559100419283,0.2148623475474669
122,122,122,122,122,122,1-9404,6,1-9404,6,100,19,0,16,21.35359600186348,0.21353596001863479
45,45,45,45,45,45,1-3596,4,1-3596,4,223,41,0,44,47.47238900512457,0.21288066818441512
84,84,84,84,84,84,1-2382,4,1-2382,4,139,25,0,30,29.412992503494024,0.21160426261506493
154,154,154,154,154,154,1-9417,6,1-9417,6,76,14,0,13,15.912296751514077,0.2093723256778168
