Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,1-9995,3,12,1-9995,24,21,0,5,24.895191848278046,1.0372996603449185
546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,1-7527,12,2,1-7527,1,1,0,0,1.0,1.0
462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,1-1183,16,11,1-1183,45,40,0,6,44.674230217933655,0.9927606715096368
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,3,12,1-1989,46,41,0,5,44.895191848278046,0.9759824314843053
374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,1-6919,10,13,1-6919,43,7,0,44,41.2776882648468,0.9599462387173675
467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,1-13247,17,4,1-13247,29,5,0,25,24.47595924139023,0.8439985945306975
370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,MLG62,3,12,MLG62,525,8,0,548,434.9130265712738,0.8284057648976644
424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,1-4700,10,13,1-4700,31,23,0,3,25.337115108966827,0.8173262938376396
556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,1-10951,4,18,1-10951,1,0,0,1,0.7790383696556091,0.7790383696556091
372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,1-6916,15,15,1-6916,43,0,0,43,33.49864989519119,0.7790383696556091
470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,9,19,1-1204,39,2,0,36,30.04538130760193,0.7703943925026135
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1-7536,18,21,1-7536,17,0,0,16,12.464613914489746,0.7332125832052792
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,6,5,MLG59,71,28,0,29,50.592112720012665,0.7125649678875023
312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,1-3108,11,7,1-3108,18,8,0,6,12.674230217933655,0.7041239009963142
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,8,3,1-1608,307,29,0,239,215.19017034769058,0.7009451802856371
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,1-8646,3,12,1-8646,20,7,0,9,14.011345326900482,0.7005672663450241
516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,1-5036,20,9,1-5036,14,5,0,6,9.674230217933655,0.6910164441381182
411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,MLG15,2,6,MLG15,105,21,0,64,70.85845565795898,0.6748424348377046
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,19,1,1-6858,23,10,0,7,15.453268587589264,0.6718812429386637
399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,14,8,MLG60,47,28,0,4,31.116153478622437,0.6620458186940944
495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,MLG08,14,8,MLG08,107,19,0,65,69.6374940276146,0.6508177011926598
280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,1-7608,7,10,1-7608,4,1,0,2,2.5580767393112183,0.6395191848278046
544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,1-5799,22,20,1-5799,7,2,0,3,4.337115108966827,0.6195878727095467
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,18,21,1-0296,41,1,0,31,25.150189459323883,0.6134192551054606
186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,72-11994,9,19,72-11994,8,1,0,5,4.895191848278046,0.6118989810347557
