Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,215,MLG40,9,MLG40,3,51,11,1,11,1013.7374465763569,19.877204834830525
168,168,168,168,168,168,168,168,168,168,168,MLG45,7,MLG45,5,70,18,1,16,1021.9817404747009,14.599739149638586
9,9,9,9,9,9,9,9,9,9,9,1-3523,9,1-3523,3,543,92,1,109,1119.1256069839,2.0610048010753226
8,8,8,8,8,8,8,8,8,8,8,1-10468,7,1-10468,5,549,56,1,156,1094.821969628334,1.9942112379386776
147,147,147,147,147,147,147,147,147,147,147,1-2423,17,1-2423,12,79,34,0,0,34.0,0.43037974683544306
112,112,112,112,112,112,112,112,112,112,112,1-3447,8,1-3447,4,110,38,0,21,43.22603437304497,0.39296394884586333
195,195,195,195,195,195,195,195,195,195,195,1-9379,21,1-9379,9,58,22,0,0,22.0,0.3793103448275862
203,203,203,203,203,203,203,203,203,203,203,1-9938,6,1-9938,6,55,18,0,11,20.737446576356888,0.37704448320648887
211,211,211,211,211,211,211,211,211,211,211,1-8042,4,1-8042,19,52,13,0,23,18.723751932382584,0.3600721525458189
165,165,165,165,165,165,165,165,165,165,165,MLG59,7,MLG59,5,71,18,0,23,23.723751932382584,0.33413735116031806
22,22,22,22,22,22,22,22,22,22,22,MLG50,11,MLG50,15,319,82,0,85,103.15299627184868,0.32336362467664165
242,242,242,242,242,242,242,242,242,242,242,1-3206,13,1-3206,13,45,12,0,10,14.48858779668808,0.32196861770417956
34,34,34,34,34,34,34,34,34,34,34,MLG51,16,MLG51,16,248,57,0,73,75.16669091582298,0.3030914956283185
308,308,308,308,308,308,308,308,308,308,308,1-4700,20,1-4700,8,31,7,0,9,9.239729017019272,0.2980557747425572
189,189,189,189,189,189,189,189,189,189,189,MLG10,3,MLG10,20,60,12,0,23,17.723751932382584,0.2953958655397097
61,61,61,61,61,61,61,61,61,61,61,1-6927,4,1-6927,19,179,52,0,2,52.497717559337616,0.2932833383203219
166,166,166,166,166,166,166,166,166,166,166,MLG58,15,MLG58,12,71,18,0,11,20.737446576356888,0.29207671234305477
81,81,81,81,81,81,81,81,81,81,81,1-7682,14,1-7682,11,141,25,0,63,40.6781031191349,0.2884971852420915
123,123,123,123,123,123,123,123,123,123,123,1-11350,10,1-11350,2,100,23,0,23,28.723751932382584,0.28723751932382585
412,412,412,412,412,412,412,412,412,412,412,1-0055,10,1-0055,16,18,2,0,12,4.986305356025696,0.27701696422364974
26,26,26,26,26,26,26,26,26,26,26,1-18558,17,1-18558,17,307,78,0,22,83.47489315271378,0.27190518942252045
239,239,239,239,239,239,239,239,239,239,239,1-5002,5,1-5002,7,45,7,0,21,12.226034373044968,0.2716896527343326
67,67,67,67,67,67,67,67,67,67,67,1-3516,20,1-3516,8,156,17,0,100,41.8858779668808,0.2684992177364154
332,332,332,332,332,332,332,332,332,332,332,P-16616,17,P-16616,17,28,7,0,2,7.497717559337616,0.26777562711920055
233,233,233,233,233,233,233,233,233,233,233,1-3587,13,1-3587,13,46,11,0,5,12.24429389834404,0.26618030213791394
109,109,109,109,109,109,109,109,109,109,109,1-7441,12,1-7441,14,111,10,0,78,29.410984814167023,0.2649638271546579
32,32,32,32,32,32,32,32,32,32,32,1-7874,4,1-7874,19,258,61,0,29,68.21690461039543,0.26440660701703655
423,423,423,423,423,423,423,423,423,423,423,MLG46,12,MLG46,14,17,3,0,6,4.493152678012848,0.2643030987066381
80,80,80,80,80,80,80,80,80,80,80,1-0053,5,1-0053,7,142,31,0,26,37.47032827138901,0.2638755512069648
77,77,77,77,77,77,77,77,77,77,77,1-9674,6,1-9674,6,144,34,0,16,37.98174047470093,0.26376208662986755
267,267,267,267,267,267,267,267,267,267,267,1-5413,16,1-5413,16,39,7,0,13,10.235164135694504,0.2624401060434488
299,299,299,299,299,299,299,299,299,299,299,MLG31,4,MLG31,19,33,8,0,2,8.497717559337616,0.2575065927072005
213,213,213,213,213,213,213,213,213,213,213,1-6227,4,1-6227,19,52,13,0,1,13.248858779668808,0.25478574576286167
85,85,85,85,85,85,85,85,85,85,85,1-1131,15,1-1131,12,138,20,0,59,34.68266800045967,0.2513236811627512
212,212,212,212,212,212,212,212,212,212,212,MLG32,4,MLG32,19,52,12,0,4,12.995435118675232,0.24991221382067755
441,441,441,441,441,441,441,441,441,441,441,1-9997,5,1-9997,7,16,3,0,4,3.995435118675232,0.249714694917202
345,345,345,345,345,345,345,345,345,345,345,1-3584,5,1-3584,17,26,3,0,14,6.484022915363312,0.24938549674474275
