Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-11350,13,14,1-11350,100,9,0,22,28.284008622169495,0.28284008622169493
MLG69,14,13,MLG69,576,59,0,118,162.43240988254547,0.2820007116016414
1-6561,18,20,1-6561,65,13,0,6,18.2592750787735,0.28091192428882306
1-0129,18,20,1-0129,142,8,0,36,39.55565047264099,0.2785609188214154
1-1608,2,7,1-1608,307,51,0,38,84.30874216556549,0.27462130998555534
1-3523,13,14,1-3523,543,91,0,64,147.09893417358398,0.27090043125890234
1-6718,9,18,1-6718,20,1,0,5,5.382729232311249,0.26913646161556243
1-9283,21,22,1-9283,235,15,0,55,63.21002155542374,0.2689788151294627
1-1570,21,20,1-1570,142,25,0,15,38.148187696933746,0.26864920913333623
1-5981,5,5,1-5981,28,4,0,4,7.506183385848999,0.26807797806603567
1-7213,1,8,1-7213,23,0,0,7,6.135820925235748,0.26677482283633686
1-5214,9,18,1-5214,40,1,0,11,10.642004311084747,0.2660501077771187
MLG48,18,20,MLG48,159,30,0,14,42.2716418504715,0.2658593827073679
1-8678,17,10,1-8678,17,1,0,4,4.506183385848999,0.2650696109322941
1-19448,5,5,1-19448,45,4,0,9,11.888912618160248,0.26419805818133885
1-5555,1,8,1-5555,10,0,0,3,2.6296375393867493,0.26296375393867494
1-9740,13,14,1-9740,34,1,0,9,8.888912618160248,0.26143860641647787
1-9227,4,4,1-9227,801,67,0,158,205.49424374103546,0.25654712077532515
1-7204,4,6,1-7204,26,4,0,3,6.629637539386749,0.25498605920718265
1-7682,7,2,1-7682,141,20,0,18,35.777825236320496,0.25374344139234395
1-9938,6,1,1-9938,55,6,0,9,13.888912618160248,0.25252568396654995
1-6181,16,11,1-6181,659,105,0,70,166.35820925235748,0.25244037822816007
1-18203,2,7,1-18203,29,2,0,6,7.2592750787734985,0.2503198303025344
1-9610,12,15,1-9610,49,7,0,6,12.259275078773499,0.25018928732190815
1-5531,11,14,1-5531,8,2,0,0,2.0,0.25
1-6980,19,21,1-6980,128,3,0,33,31.926012933254242,0.24942197604104877
1-3141,18,20,1-3141,136,12,0,25,33.913646161556244,0.2493650453055606
1-7004,14,13,1-7004,381,52,0,49,94.95074647665024,0.2492145576814967
1-6927,19,21,1-6927,179,40,0,5,44.38272923231125,0.2479482080017388
1-8095,4,4,1-8095,46,7,0,5,11.382729232311249,0.24745063548502716
1-0027,9,18,1-0027,29,1,0,7,7.135820925235748,0.24606279052537064
1-3584,1,8,1-3584,26,2,0,5,6.382729232311249,0.24548958585812494
MLG14,19,21,MLG14,232,49,0,9,56.88891261816025,0.24521083025069074
1-4855,21,22,1-4855,22,1,0,5,5.382729232311249,0.2446695105596022
1-0358,17,10,1-0358,22,1,0,5,5.382729232311249,0.2446695105596022
MLG08,14,13,MLG08,107,3,0,26,25.790192008018494,0.2410298318506401
1-4417,16,11,1-4417,151,32,0,5,36.38272923231125,0.240945226704048
MLG84,14,13,MLG84,63,8,0,8,15.012366771697998,0.23829153605869838
1-9925,1,8,1-9925,93,2,0,23,22.160554468631744,0.23828553192077145
1-4760,15,12,1-4760,40,6,0,4,9.506183385848999,0.23765458464622496
1-9645,2,7,1-9645,69,5,0,13,16.395096004009247,0.23761008701462677
72-12171,4,4,72-12171,19,1,0,4,4.506183385848999,0.23716754662363151
1-3535,12,15,1-3535,315,47,0,31,74.17292124032974,0.23546959123914205
72-11994,4,4,72-11994,8,1,0,1,1.8765458464622498,0.23456823080778122
1-1183,10,17,1-1183,45,7,0,4,10.506183385848999,0.23347074190775555
MLG45,21,22,MLG45,70,4,0,14,16.271641850471497,0.2324520264353071
MLG67,21,22,MLG67,27,1,0,6,6.2592750787734985,0.231825002917537
MLG44,8,19,MLG44,59,11,0,3,13.62963753938675,0.23101080575231778
1-0272,14,13,1-0272,111,15,0,12,25.518550157546997,0.22989684826618917
1-18004,14,13,1-18004,12,1,0,2,2.7530916929244995,0.22942430774370828
1-9394,12,15,1-9394,117,18,0,10,26.765458464622498,0.22876460226173076
1-5163,20,3,1-5163,16,1,0,3,3.6296375393867493,0.22685234621167183
1-2034,1,8,1-2034,16,1,0,3,3.6296375393867493,0.22685234621167183
1-0278,10,17,1-0278,79,10,0,9,17.888912618160248,0.22644193187544617
1-1836,19,21,1-1836,20,1,0,4,4.506183385848999,0.22530916929244996
1-1258,17,10,1-1258,435,34,0,73,97.98784679174423,0.2252594179120557
1-7019,19,21,1-7019,107,8,0,18,23.777825236320496,0.22222266576000463
1-9655,7,2,1-9655,27,6,0,0,6.0,0.2222222222222222
1-4052,15,12,1-4052,13,2,0,1,2.8765458464622498,0.22127275742017305
1-4682,1,8,1-4682,16,0,0,4,3.506183385848999,0.21913646161556244
1-4926,15,12,1-4926,4,0,0,1,0.8765458464622498,0.21913646161556244
1-21192,5,5,1-21192,4,0,0,1,0.8765458464622498,0.21913646161556244
1-6240,5,5,1-6240,698,70,0,93,151.51876372098923,0.21707559272348026
1-2103,10,17,1-2103,26,3,0,3,5.629637539386749,0.2165245207456442
1-4020,2,7,1-4020,37,8,0,0,8.0,0.21621621621621623
1-9887,13,14,1-9887,36,6,0,2,7.7530916929244995,0.21536365813679165
1-6296,16,11,1-6296,254,45,0,11,54.64200431108475,0.2151260012247431
1-5282,10,17,1-5282,17,1,0,3,3.6296375393867493,0.21350809055216172
1-9794,9,18,1-9794,46,1,0,10,9.765458464622498,0.21229257531788037
1-0031,5,5,1-0031,13,1,0,2,2.7530916929244995,0.21177628407111534
1-9761,3,6,1-9761,35,3,0,5,7.382729232311249,0.21093512092317854
1-1770,11,16,1-1770,35,3,0,5,7.382729232311249,0.21093512092317854
1-9752,4,4,1-9752,22,2,0,3,4.629637539386749,0.21043806997212497
1-2423,16,11,1-2423,79,13,0,4,16.506183385849,0.20893903020062024
1-9496,1,8,1-9496,39,2,0,7,8.135820925235748,0.20861079295476279
1-9995,16,11,1-9995,24,5,0,0,5.0,0.20833333333333334
1-3068,2,7,1-3068,180,26,0,13,37.39509600400925,0.20775053335560692
1-8314,18,20,1-8314,36,3,0,5,7.382729232311249,0.2050758120086458
1-7845,10,17,1-7845,36,3,0,5,7.382729232311249,0.2050758120086458
1-9286,2,7,1-9286,81,12,0,5,16.38272923231125,0.20225591644828703
1-3108,18,22,1-3108,18,1,0,3,3.6296375393867493,0.20164652996593052
1-7122,21,22,1-7122,197,7,0,37,39.43219631910324,0.20016343309189463
1-5424,20,3,1-5424,5,1,0,0,1.0,0.2
1-6878,22,24,1-6878,167,0,0,38,33.30874216556549,0.19945354590158976
1-1769,6,1,1-1769,89,8,0,11,17.642004311084747,0.19822476754027807
1-9498,18,20,1-9498,64,3,0,11,12.642004311084747,0.19753131736069918
1-0053,1,8,1-0053,142,14,0,16,28.024733543395996,0.1973572784746197
1-9500,17,10,1-9500,33,3,0,4,6.506183385848999,0.19715707229845453
1-9345,7,2,1-9345,47,4,0,6,9.259275078773499,0.19700585273986168
MLG42,11,16,MLG42,14,1,0,2,2.7530916929244995,0.19664940663746425
1-9553,19,21,1-9553,23,1,0,4,4.506183385848999,0.19592101677604343
1-8074,10,17,1-8074,145,24,0,5,28.38272923231125,0.1957429602228362
1-1942,20,21,1-1942,34,4,0,3,6.629637539386749,0.19498933939372792
1-6787,21,22,1-6787,56,3,0,9,10.888912618160248,0.194444868181433
1-9237,18,14,1-9237,38,3,0,5,7.382729232311249,0.19428234821871707
MLG13,4,4,MLG13,140,14,0,15,27.148187696933746,0.19391562640666962
1-18709,1,8,1-18709,33,2,0,5,6.382729232311249,0.1934160373427651
1-8042,13,14,1-8042,52,3,0,8,10.012366771697998,0.19254551484034613
