Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
372,372,372,372,372,1-6916,8,10,1-6916,43,45,0,4,47.494197845458984,1.1045162289641623
374,374,374,374,374,1-6919,13,9,1-6919,43,44,0,4,46.494197845458984,1.0812604150106742
401,401,401,401,401,1-7204,19,6,1-7204,26,5,0,24,19.965187072753906,0.7678918104905349
457,457,457,457,457,1-8503,1,8,1-8503,16,6,0,10,12.235494613647461,0.7647184133529663
543,543,543,543,543,1-5803,3,7,1-5803,15,4,0,11,10.859044075012207,0.7239362716674804
218,218,218,218,218,1-9416,6,16,1-9416,13,5,0,7,9.364846229553223,0.7203727868887094
233,233,233,233,233,MLG07,14,13,MLG07,90,62,0,3,63.87064838409424,0.7096738709343804
511,511,511,511,511,1-9697,9,3,1-9697,20,9,0,8,13.988395690917969,0.6994197845458985
42,42,42,42,42,1-1207,1,8,1-1207,66,31,0,24,45.965187072753906,0.6964422283750592
41,41,41,41,41,1-7509,3,7,1-7509,40,27,0,1,27.623549461364746,0.6905887365341187
559,559,559,559,559,1-5914,16,17,1-5914,3,2,0,0,2.0,0.6666666666666666
453,453,453,453,453,1-8397,2,12,1-8397,51,3,0,48,32.93037414550781,0.6456936106962317
491,491,491,491,491,MLG09,2,12,MLG09,125,62,0,27,78.83583545684814,0.6306866836547852
412,412,412,412,412,1-6858,1,8,1-6858,23,12,0,4,14.494197845458984,0.6301825150199558
333,333,333,333,333,1-11329,1,8,1-11329,14,5,0,6,8.741296768188477,0.6243783405848912
556,556,556,556,556,1-10951,15,2,1-10951,1,0,0,1,0.6235494613647461,0.6235494613647461
416,416,416,416,416,1-18203,13,9,1-18203,29,18,0,0,18.0,0.6206896551724138
506,506,506,506,506,1-6227,2,12,1-6227,52,0,0,48,29.930374145507812,0.5755841181828425
464,464,464,464,464,1-10060,17,11,1-10060,36,6,0,23,20.34163761138916,0.5650454892052544
411,411,411,411,411,MLG15,8,10,MLG15,105,11,0,76,58.3897590637207,0.5560929434640067
526,526,526,526,526,1-5002,14,13,1-5002,45,16,0,13,24.1061429977417,0.5356920666164822
31,31,31,31,31,1-8938,2,12,1-8938,30,9,0,11,15.859044075012207,0.528634802500407
46,46,46,46,46,1-8566,8,10,1-8566,5,2,0,1,2.623549461364746,0.5247098922729492
277,277,277,277,277,1-4051,15,2,1-4051,5,2,0,1,2.623549461364746,0.5247098922729492
470,470,470,470,470,1-1204,3,7,1-1204,39,11,0,15,20.35324192047119,0.5218779979607998
