,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
186,MLG30,5,16,MLG30,208,19,0,37,52.32789927721024,0.2515764388327415
187,1-0278,15,20,1-0278,79,9,0,12,19.809048414230347,0.2507474482813968
188,1-1935,19,23,1-1935,12,3,0,0,3.0,0.25
189,1-4926,5,16,1-4926,4,1,0,0,1.0,0.25
190,1-19205,21,7,1-19205,12,3,0,0,3.0,0.25
191,1-3089,3,24,1-3089,16,4,0,0,4.0,0.25
192,MLG31,1,21,MLG31,33,1,0,8,8.206032276153564,0.2486676447319262
193,MLG38,1,21,MLG38,77,11,0,9,19.10678631067276,0.2481400819567891
194,1-8488,6,23,1-8488,23,3,0,3,5.702262103557587,0.2479244392851124
195,1-5043,6,11,1-5043,123,7,0,26,30.419604897499084,0.2473138609552771
196,MLG84,10,15,MLG84,63,11,0,5,15.503770172595978,0.246091590041206
197,1-3564,21,7,1-3564,41,1,0,10,10.007540345191956,0.2440863498827306
198,1-9553,9,12,1-9553,23,2,0,4,5.603016138076782,0.2436093973076862
199,1-4760,10,15,1-4760,40,7,0,3,9.702262103557588,0.2425565525889396
200,1-9646,3,24,1-9646,105,0,0,28,25.22111296653748,0.2402010758717855
201,1-0037,6,11,1-0037,35,3,0,6,8.404524207115173,0.2401292630604335
202,1-9650,13,8,1-9650,25,6,0,0,6.0,0.24
203,1-5626,6,11,1-5626,125,11,0,21,29.915834724903107,0.2393266777992248
204,MLG15,20,2,MLG15,105,25,0,0,25.0,0.238095238095238
205,1-8023,8,13,1-8023,16,2,0,2,3.801508069038391,0.2375942543148994
206,1-9997,3,24,1-9997,16,2,0,2,3.801508069038391,0.2375942543148994
207,1-9855,2,8,1-9855,8,1,0,1,1.900754034519196,0.2375942543148994
208,1-4494,1,24,1-4494,16,2,0,2,3.801508069038391,0.2375942543148994
209,1-9808,5,16,1-9808,74,4,0,15,17.511310517787933,0.2366393313214585
210,1-5197,18,1,1-5197,72,7,0,11,16.90829437971115,0.2348374219404326
211,1-2701,17,14,1-2701,61,8,0,7,14.305278241634367,0.2345127580595798
212,1-9277,11,3,1-9277,48,4,0,8,11.206032276153564,0.2334590057531992
213,1-9379,3,24,1-9379,58,9,0,5,13.503770172595978,0.2328236236654479
214,1-1833,21,7,1-1833,124,8,0,23,28.71734279394149,0.2315914741446895
215,1-4098,5,16,1-4098,16,1,0,3,3.702262103557586,0.2313913814723491
216,1-2034,4,6,1-2034,16,1,0,3,3.702262103557586,0.2313913814723491
217,1-20641,4,9,1-20641,16,1,0,3,3.702262103557586,0.2313913814723491
218,1-8659,12,13,1-8659,91,12,0,10,21.00754034519196,0.2308520917054061
219,1-6061,4,9,1-6061,40,2,0,8,9.206032276153564,0.2301508069038391
220,1-2282,1,21,1-2282,219,26,0,27,50.32035893201828,0.2297733284567044
221,1-9996,6,11,1-9996,28,1,0,6,6.404524207115173,0.2287330073969704
222,1-9110,5,16,1-9110,29,3,0,4,6.603016138076782,0.22769021165782
223,1-5929,1,21,1-5929,4,0,0,1,0.9007540345191956,0.2251885086297989
224,1-4910,11,3,1-4910,4,0,0,1,0.9007540345191956,0.2251885086297989
