Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-7496,9,17,1-7496,246,48,0,44,90.00764417648315,0.36588473242472824
1-9938,6,14,1-9938,55,1,0,20,20.094383716583252,0.36535243121060457
1-3139,20,6,1-3139,93,10,0,25,33.867979645729065,0.36417182414762433
MLG64,8,16,MLG64,245,72,0,18,89.18494534492493,0.3640201850813262
1-1769,6,14,1-1769,89,15,0,18,32.18494534492493,0.361628599381179
1-9457,4,5,1-9457,11,3,0,1,3.9547191858291626,0.3595199259844693
1-4098,3,3,1-4098,16,0,0,6,5.728315114974976,0.358019694685936
1-6227,18,7,1-6227,52,8,0,11,18.50191104412079,0.3558059816177075
1-6594,19,21,1-6594,70,0,0,26,24.822698831558228,0.35460998330797466
1-10071,11,20,1-10071,30,1,0,10,10.547191858291626,0.3515730619430542
1-5043,18,22,1-5043,123,3,0,42,43.09820580482483,0.350391917112397
1-9518,16,12,1-9518,22,1,0,7,7.683034300804138,0.3492288318547336
1-6296,16,12,1-6296,254,19,0,73,88.69450056552887,0.3491909471083814
1-1224,6,14,1-1224,151,24,0,30,52.64157557487488,0.34861970579387336
1-5413,9,17,1-5413,39,4,0,10,13.547191858291626,0.3473638938023494
1-7530,10,18,1-7530,25,2,0,7,8.683034300804138,0.3473213720321655
1-6927,19,21,1-6927,179,40,0,23,61.95854127407074,0.34613710208978066
1-0003,12,19,1-0003,17,3,0,3,5.864157557487488,0.34495044455808754
MLG11,14,10,MLG11,87,9,0,22,30.003822088241577,0.3448715182556503
1-0292,19,21,1-0292,99,34,0,0,34.0,0.3434343434343434
1-8341,20,6,1-8341,197,18,0,52,67.64539766311646,0.34337765311226626
1-5425,5,4,1-5425,17,2,0,4,5.81887674331665,0.3422868672539206
1-3206,12,19,1-3206,45,1,0,15,15.320787787437439,0.3404619508319431
1-9270,18,22,1-9270,128,8,0,37,43.324609875679016,0.3384735146537423
MLG32,10,18,MLG32,52,9,0,9,17.592472672462463,0.3383167821627397
1-1317,6,14,1-1317,414,55,0,89,139.97000753879547,0.33809180564926444
1-3596,7,7,1-3596,223,19,0,59,75.3284319639206,0.33779565903103403
MLG78,9,17,MLG78,80,4,0,24,26.913260459899902,0.33641575574874877
1-18487,18,22,1-18487,23,2,0,6,7.728315114974976,0.3360137006510859
MLG57,5,4,MLG57,629,68,0,150,211.2078778743744,0.3357835896253965
1-6543,14,10,1-6543,12,4,0,0,4.0,0.3333333333333333
1-3176,4,5,1-3176,3,1,0,0,1.0,0.3333333333333333
1-0303,17,15,1-0303,212,42,0,30,70.64157557487488,0.3332149791267683
1-17733,6,14,1-17733,74,12,0,13,24.411349415779114,0.32988310021323125
MLG50,11,20,MLG50,319,34,0,74,104.64921975135803,0.3280539804117807
1-9995,16,12,1-9995,24,5,0,3,7.864157557487488,0.32767323156197864
1-5654,19,21,1-5654,15,3,0,2,4.909438371658325,0.3272958914438883
1-9902,19,21,1-9902,30,6,0,4,9.81887674331665,0.3272958914438883
1-10762,11,20,1-10762,6,1,0,1,1.9547191858291626,0.3257865309715271
MLG30,16,12,MLG30,208,18,0,52,67.64539766311646,0.3252182579957522
1-5197,6,14,1-5197,72,9,0,15,23.32078778743744,0.32389983038107556
1-5744,11,20,1-5744,18,0,0,6,5.728315114974976,0.3182397286097209
1-9076,9,17,1-9076,9,0,0,3,2.864157557487488,0.3182397286097209
1-6916,11,20,1-6916,43,5,0,9,13.592472672462463,0.3161040156386619
MLG69,14,10,MLG69,576,61,0,125,180.33989822864532,0.3130901010913981
1-4747,17,15,1-4747,25,4,0,4,7.81887674331665,0.31275506973266604
1-8503,22,18,1-8503,16,5,0,0,5.0,0.3125
