Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
100,1-19598,9,23,1-19598,11,0,0,1,0.9894466400146484,0.08994969454678622
441,1-19166,6,17,1-19166,45,1,0,3,3.9683399200439453,0.08818533155653212
203,1-1250,19,3,1-1250,34,0,0,3,2.9683399200439453,0.08730411529541016
308,1-6743,9,23,1-6743,58,2,0,3,4.968339920043945,0.08566103310420595
495,MLG08,21,7,MLG08,107,3,0,6,8.93667984008789,0.08352037233727
3,1-8222,10,13,1-8222,12,1,0,0,1.0,0.08333333333333333
113,1-4499,10,13,1-4499,12,1,0,0,1.0,0.08333333333333333
70,1-2584,12,6,1-2584,36,0,0,3,2.9683399200439453,0.08245388666788737
255,1-9946,3,1,1-9946,12,0,0,1,0.9894466400146484,0.08245388666788737
59,1-9331,18,10,1-9331,25,0,0,2,1.9788932800292969,0.07915573120117188
146,1-7453,12,6,1-7453,13,1,0,0,1.0,0.07692307692307693
42,1-1207,1,24,1-1207,66,1,0,4,4.957786560058594,0.07511797818270596
151,1-9870,10,13,1-9870,27,1,0,1,1.9894466400146484,0.07368320888943142
514,1-11206,1,24,1-11206,14,0,0,1,0.9894466400146484,0.07067476000104632
182,1-7752,14,15,1-7752,29,0,0,2,1.9788932800292969,0.06823769931135507
532,1-19447,2,21,1-19447,15,1,0,0,1.0,0.06666666666666667
90,1-19222,6,17,1-19222,15,0,0,1,0.9894466400146484,0.06596310933430989
7,1-8767,6,17,1-8767,48,3,0,0,3.0,0.0625
474,1-8400,15,9,1-8400,33,1,0,1,1.9894466400146484,0.06028626181862571
301,1-1177,21,7,1-1177,17,1,0,0,1.0,0.058823529411764705
66,1-7536,17,4,1-7536,17,1,0,0,1.0,0.058823529411764705
111,1-19897,15,9,1-19897,53,1,0,2,2.978893280029297,0.056205533585458434
134,1-9465,1,24,1-9465,18,1,0,0,1.0,0.05555555555555555
34,1-6642,13,5,1-6642,36,0,0,2,1.9788932800292969,0.05496925777859158
