Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,1-7024,6,11,1-7024,498,84,1,21,1087.5300317704678,2.1837952445190116
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1-6240,6,11,1-6240,698,81,1,36,1087.0514830350876,1.5573803481878046
361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,1-0008,4,21,1-0008,230,156,0,62,166.42199856042862,0.7235739067844723
478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,9,3,1-9394,117,67,0,23,70.86622527241707,0.6056942330975817
394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,1-2423,20,13,1-2423,79,41,0,7,42.176677256822586,0.5338819905926909
517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,1-18028,14,20,1-18028,309,151,0,81,164.61583682894707,0.5327373360160099
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,12,7,1-6980,128,67,0,2,67.33619350194931,0.526064011733979
558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,12,5,1-0055,18,8,0,2,8.33619350194931,0.46312186121940613
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,8,14,MLG59,71,30,0,16,32.68954801559448,0.4604161692337251
398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,13,4,1-0303,212,91,0,28,95.70670902729034,0.45144674069476576
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,8,14,1-3206,45,19,0,7,20.176677256822586,0.4483706057071686
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,19,2,MLG75,185,78,0,19,81.19383826851845,0.43888561226226186
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,8,14,1-11350,100,35,0,37,41.21957978606224,0.4121957978606224
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,17,16,1-5002,45,15,0,14,17.353354513645172,0.38563010030322603
207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,1-7058,4,15,1-7058,80,30,0,4,30.67238700389862,0.3834048375487328
500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,5,8,1-0292,99,28,0,58,37.74961155653,0.38130920764171716
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,19,2,MLG58,71,25,0,3,25.504290252923965,0.3592153556749854
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,18,6,MLG65,201,61,0,57,70.58151480555534,0.3511518149530117
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,10,15,1-9270,128,41,0,13,43.18525776267052,0.3373848262708634
479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,6,11,1-9286,81,27,0,1,27.168096750974655,0.33540860186388466
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,10,13,1-9630,33,9,0,12,11.017161011695862,0.3338533639907837
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,2,2,1-8627,25,8,0,2,8.33619350194931,0.3334477400779724
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,1-3141,10,15,1-3141,136,44,0,7,45.176677256822586,0.3321814504178131
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1-9925,19,2,1-9925,93,29,0,9,30.512870758771896,0.32809538450292364
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,1,5,1-5043,123,35,0,29,39.874805778265,0.32418541283142277
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,1-2294,8,14,1-2294,75,21,0,18,24.025741517543793,0.32034322023391726
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,9,3,1-1989,46,7,0,43,14.228160291910172,0.30930783243282983
309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,1-3516,11,10,1-3516,156,35,0,77,47.94344982504845,0.30732980657082337
497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,1-8493,10,13,1-8493,38,11,0,2,11.33619350194931,0.298320881630245
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,5,8,1-6878,167,39,0,56,48.41341805458069,0.2899007069136568
560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,1-0027,19,2,1-0027,29,8,0,2,8.33619350194931,0.28745494834307966
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,18,6,1-3447,110,25,0,39,31.55577328801155,0.28687066625465046
