Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,20,8,MLG45,70,8,1,11,1008.3272849414498,14.404675499163568
338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,1-6296,20,8,1-6296,254,34,2,96,2036.8563049435616,8.019119310801424
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,20,8,1-1131,138,63,1,40,1064.1901270598173,7.711522659853749
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,21,3,MLG50,319,114,1,67,1115.993462825194,3.498412109169887
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1-6240,21,3,1-6240,698,75,2,107,2078.1835898850113,2.977340386654744
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,21,3,1-1258,435,137,1,208,1143.18866071105,2.628019909680575
545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,1-19567,1,6,1-19567,2,2,0,0,2.0,1.0
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,1-3083,12,2,1-3083,78,62,0,3,62.0892595294863,0.7960161478139269
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,4,15,1-6858,23,18,0,7,18.20827223546803,0.7916640102377405
464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,4,15,1-10060,36,27,0,12,27.357038117945194,0.7599177254984776
462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,1-1183,6,17,1-1183,45,33,0,6,33.1785190589726,0.7373004235327244
207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,1-7058,3,18,1-7058,80,52,0,10,52.29753176495433,0.6537191470619291
274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,1-0033,14,14,1-0033,10,6,0,1,6.029753176495433,0.6029753176495433
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1-8222,10,7,1-8222,12,7,0,2,7.059506352990866,0.5882921960825721
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,14,14,1-6227,52,30,0,7,30.20827223546803,0.5809283122205391
367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,1-8544,18,10,1-8544,54,28,0,10,28.29753176495433,0.5240283660176728
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,12,2,MLG52,125,64,0,34,65.01160800084472,0.5200928640067577
399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,13,12,MLG60,47,24,0,11,24.32728494144976,0.5176018072648886
453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,1-8397,1,6,1-8397,51,26,0,6,26.178519058972597,0.5133042952739725
230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,1-3089,6,17,1-3089,16,8,0,2,8.059506352990866,0.5037191470619291
492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,1-6028,2,21,1-6028,2,1,0,0,1.0,0.5
550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,1-19568,5,4,1-19568,2,1,0,0,1.0,0.5
251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,1-7268,7,13,1-7268,70,34,0,29,34.86284211836755,0.49804060169096503
176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,1-8042,8,16,1-8042,52,25,0,30,25.892595294862986,0.49793452490121126
281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,1-9995,8,16,1-9995,24,11,0,4,11.119012705981731,0.46329219608257216
312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,1-3108,3,18,1-3108,18,8,0,4,8.119012705981731,0.45105626144342953
307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,1-5530,6,17,1-5530,7,3,0,1,3.029753176495433,0.4328218823564904
460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,1-7993,1,6,1-7993,24,10,0,8,10.238025411963463,0.42658439216514427
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,1-10696,17,11,1-10696,24,10,0,2,10.059506352990866,0.41914609804128605
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,1-2178,5,4,1-2178,12,5,0,0,5.0,0.4166666666666667
335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,1-8910,6,17,1-8910,137,56,0,10,56.29753176495433,0.41093088879528705
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,18,10,1-5002,45,18,0,8,18.238025411963463,0.40528945359918805
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,1-0129,21,3,1-0129,142,56,0,47,57.398399295285344,0.40421407954426297
167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,1-4929,5,4,1-4929,10,4,0,0,4.0,0.4
369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,1-6594,1,6,1-6594,70,28,0,0,28.0,0.4
535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,1-5990,3,18,1-5990,5,2,0,0,2.0,0.4
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,MLG39,20,8,MLG39,23,9,0,4,9.119012705981731,0.39647881330355356
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,18,10,MLG29,164,64,0,32,64.95210164785385,0.39604940029179175
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,MLG69,11,9,MLG69,576,222,0,79,224.3505009431392,0.38949739747072776
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,1-2153,15,5,1-2153,13,5,0,2,5.059506352990866,0.38919279638391274
520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,1-2034,20,8,1-2034,16,6,0,2,6.059506352990866,0.3787191470619291
311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,4,15,1-20578,19,7,0,5,7.148765882477164,0.37625083591985076
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,1-9496,18,10,1-9496,39,14,0,12,14.357038117945194,0.36812918251141524
265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,1-11330,8,16,1-11330,14,5,0,3,5.089259529486299,0.3635185378204499
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,1-8928,12,2,1-8928,39,14,0,3,14.089259529486299,0.36126306485862303
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,18,10,1-0003,17,6,0,4,6.119012705981731,0.3599419238812783
279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,MLG43,6,17,MLG43,14,5,0,1,5.029753176495433,0.35926808403538807
420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,1-8172,20,8,1-8172,40,14,0,12,14.357038117945194,0.35892595294862983
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,1,6,MLG58,71,25,0,11,25.32728494144976,0.3567223231190107
