Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.2,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
7,7,7,7,7,7,7,7,7,7,7,7,7,7,1-8767,1,20,1-8767,48,0,0,72,51.757123947143555,1.0782734155654907
372,372,372,372,372,372,372,372,372,372,372,372,372,372,1-6916,23,2,1-6916,43,43,0,1,43.71884894371033,1.016717417295589
374,374,374,374,374,374,374,374,374,374,374,374,374,374,1-6919,9,1,1-6919,43,43,0,0,43.0,1.0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,1-5167,2,18,1-5167,24,22,0,0,22.0,0.9166666666666666
21,21,21,21,21,21,21,21,21,21,21,21,21,21,1-3519,3,17,1-3519,27,22,0,0,22.0,0.8148148148148148
497,497,497,497,497,497,497,497,497,497,497,497,497,497,1-8493,4,16,1-8493,38,15,0,22,30.814676761627197,0.8109125463586104
504,504,504,504,504,504,504,504,504,504,504,504,504,504,1-5425,3,17,1-5425,17,13,0,1,13.718848943710327,0.8069911143359016
425,425,425,425,425,425,425,425,425,425,425,425,425,425,1-6006,7,7,1-6006,57,5,0,55,44.53669190406799,0.7813454720011929
506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,2,18,1-6227,52,1,0,55,40.53669190406799,0.7795517673859229
319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,14,22,1-3584,26,16,0,5,19.594244718551636,0.7536247968673706
270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,6,5,1-1390,98,24,0,69,73.60057711601257,0.7510262971021691
401,401,401,401,401,401,401,401,401,401,401,401,401,401,1-7204,6,5,1-7204,26,2,0,24,19.25237464904785,0.740475948040302
413,413,413,413,413,413,413,413,413,413,413,413,413,413,1-8314,6,5,1-8314,36,19,0,10,26.18848943710327,0.7274580399195353
444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,7,7,1-3217,5,2,0,2,3.4376978874206543,0.6875395774841309
90,90,90,90,90,90,90,90,90,90,90,90,90,90,1-19222,20,12,1-19222,15,6,0,6,10.313093662261963,0.6875395774841309
564,564,564,564,564,564,564,564,564,564,564,564,564,564,1-9034,3,17,1-9034,3,2,0,0,2.0,0.6666666666666666
129,129,129,129,129,129,129,129,129,129,129,129,129,129,1-2573,2,18,1-2573,37,12,0,17,24.22043204307556,0.6546062714344746
543,543,543,543,543,543,543,543,543,543,543,543,543,543,1-5803,14,22,1-5803,15,6,0,5,9.594244718551636,0.639616314570109
473,473,473,473,473,473,473,473,473,473,473,473,473,473,1-9452,23,2,1-9452,16,7,0,4,9.875395774841309,0.6172122359275818
547,547,547,547,547,547,547,547,547,547,547,547,547,547,MLG67,8,13,MLG67,27,12,0,6,16.313093662261963,0.6041886541578505
426,426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,20,12,1-4355,49,19,0,14,29.06388521194458,0.5931405145294812
91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,6,5,72-12171,19,4,0,10,11.188489437103271,0.5888678651106986
176,176,176,176,176,176,176,176,176,176,176,176,176,176,1-8042,4,16,1-8042,52,7,0,32,30.00316619873047,0.5769839653602014
261,261,261,261,261,261,261,261,261,261,261,261,261,261,1-1942,8,13,1-1942,34,16,0,5,19.594244718551636,0.5763013152515187
46,46,46,46,46,46,46,46,46,46,46,46,46,46,1-8566,8,13,1-8566,5,0,0,4,2.8753957748413086,0.5750791549682617
255,255,255,255,255,255,255,255,255,255,255,255,255,255,1-9946,21,10,1-9946,12,6,0,1,6.718848943710327,0.5599040786425272
465,465,465,465,465,465,465,465,465,465,465,465,465,465,1-5913,22,6,1-5913,14,2,0,8,7.750791549682617,0.5536279678344727
468,468,468,468,468,468,468,468,468,468,468,468,468,468,1-6228,14,22,1-6228,48,0,0,36,25.878561973571777,0.5391367077827454
282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,23,2,1-1608,307,38,0,177,165.2362630367279,0.5382288698264752
