Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,215,MLG40,21,MLG40,3,51,11,1,7,1014.4527601003647,19.89123059020323
168,168,168,168,168,168,168,168,168,168,168,MLG45,9,MLG45,5,70,17,1,16,1024.8920230865479,14.641314615522113
32,32,32,32,32,32,32,32,32,32,32,1-7874,21,1-7874,19,258,29,1,6,1031.9595086574554,3.9998430568118426
8,8,8,8,8,8,8,8,8,8,8,1-10468,9,1-10468,5,549,61,1,153,1136.4674707651138,2.07006825275977
171,171,171,171,171,171,171,171,171,171,171,1-9645,12,1-9645,9,69,5,0,57,33.11533224582672,0.4799323513887931
85,85,85,85,85,85,85,85,85,85,85,1-1131,14,1-1131,12,138,27,0,62,57.581589460372925,0.4172578946403835
203,203,203,203,203,203,203,203,203,203,203,1-9938,10,1-9938,6,55,18,0,10,22.932514429092407,0.41695480780168015
165,165,165,165,165,165,165,165,165,165,165,MLG59,9,MLG59,5,71,18,0,22,28.851531744003296,0.4063596020282154
112,112,112,112,112,112,112,112,112,112,112,1-3447,8,1-3447,4,110,34,0,21,44.358280301094055,0.4032570936463096
125,125,125,125,125,125,125,125,125,125,125,1-1390,8,1-1390,16,98,23,0,33,39.277297616004944,0.4007887511837239
256,256,256,256,256,256,256,256,256,256,256,1-0296,7,1-0296,3,41,5,0,23,16.344783186912537,0.39865324846128136
239,239,239,239,239,239,239,239,239,239,239,1-5002,11,1-5002,7,45,10,0,16,17.89202308654785,0.3976005130343967
267,267,267,267,267,267,267,267,267,267,267,1-5413,19,1-5413,16,39,10,0,11,15.425765872001648,0.3955324582564525
81,81,81,81,81,81,81,81,81,81,81,1-7682,15,1-7682,11,141,27,0,56,54.62208080291748,0.38739064399232254
228,228,228,228,228,228,228,228,228,228,228,MLG60,6,MLG60,2,47,16,0,4,17.973005771636963,0.3824043781199354
242,242,242,242,242,242,242,242,242,242,242,1-3206,16,1-3206,13,45,12,0,10,16.932514429092407,0.37627809842427573
299,299,299,299,299,299,299,299,299,299,299,MLG31,21,MLG31,19,33,11,0,2,11.986502885818481,0.3632273601763176
12,12,12,12,12,12,12,12,12,12,12,1-7024,12,1-7024,9,498,69,0,224,179.48832321166992,0.36041831970214844
295,295,295,295,295,295,295,295,295,295,295,1-1942,5,1-1942,1,34,3,0,18,11.878525972366333,0.349368410951951
54,54,54,54,54,54,54,54,54,54,54,1-1350,15,1-1350,11,195,36,0,65,68.06134378910065,0.3490325322517982
34,34,34,34,34,34,34,34,34,34,34,MLG51,19,MLG51,16,248,71,0,31,86.29079473018646,0.3479467529443003
123,123,123,123,123,123,123,123,123,123,123,1-11350,6,1-11350,2,100,28,0,13,34.41226875782013,0.3441226875782013
