Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,14,13,1-9491,80,24,1,22,1032.6354802250862,12.907943502813577
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,20,5,MLG51,248,74,1,118,1120.3175757527351,4.517409579648126
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,14,13,1-1608,307,35,1,71,1062.8690498173237,3.4621141687860706
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,20,5,MLG54,595,54,1,149,1112.4857524335384,1.8697239536698125
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,11,15,1-6878,167,70,0,47,88.44852593541145,0.5296318918288111
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,7,9,MLG59,71,30,0,13,35.102783769369125,0.494405405202382
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,14,13,1-8627,25,9,0,8,12.140174627304077,0.4856069850921631
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,1-19286,5,7,1-19286,40,17,0,5,18.962609142065048,0.4740652285516262
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,19,14,1-6980,128,59,0,0,59.0,0.4609375
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,20,5,MLG65,201,68,0,45,85.66348227858543,0.4261864789979375
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,13,11,MLG50,319,92,0,110,135.17740112543106,0.42375360854367106
497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,1-8493,16,11,1-8493,38,6,0,25,15.813045710325241,0.4161327818506642
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,17,19,1-6561,65,24,0,6,26.355130970478058,0.4054635533919701
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,5,7,MLG75,185,65,0,23,74.02800205349922,0.40015136245134714
320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,MLG13,9,17,MLG13,140,32,0,58,54.76626604795456,0.39118761462824686
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,17,19,1-9379,58,18,0,10,21.925218284130096,0.37802100489879475
201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,1-9902,20,5,1-9902,30,5,0,16,11.280349254608154,0.3760116418202718
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,20,5,1-1131,138,42,0,24,51.42052388191223,0.37261249189791473
500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,11,15,1-0292,99,24,0,29,35.38313302397728,0.3574053840805786
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,12,4,MLG29,164,49,0,23,58.02800205349922,0.35382928081401965
311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,20,5,1-20578,19,5,0,4,6.570087313652039,0.345794069139581
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,MLG69,18,12,MLG69,576,116,0,204,196.07445299625397,0.3404070364518298
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1-9925,7,9,1-9925,93,26,0,13,31.102783769369125,0.3344385351545067
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,10,3,1-11350,100,22,0,29,33.38313302397728,0.3338313302397728
258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,1-9516,15,6,1-9516,76,11,0,36,25.130785822868347,0.33066823451142563
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,17,8,1-5355,53,8,0,24,17.42052388191223,0.3286891298474006
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,1,10,1-2382,139,16,0,75,45.43913713097572,0.32690026712932174
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,1,10,1-7682,141,29,0,43,45.878438621759415,0.32537899731744263
370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,MLG62,13,11,MLG62,525,91,0,199,169.11184385418892,0.3221177978175027
332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,MLG78,17,19,MLG78,80,23,0,7,25.747652798891068,0.32184565998613834
