Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
145,145,145,145,145,145,145,1-9491,20,1-9491,10,80,6,1,22,1021.7869480066001,12.772336850082501
93,93,93,93,93,93,93,MLG52,20,MLG52,10,125,2,1,33,1025.6804220099002,8.205443376079202
138,138,138,138,138,138,138,1-4640,11,1-4640,7,87,23,0,46,56.00907310470939,0.6437824494794182
6,6,6,6,6,6,6,MLG54,6,MLG54,12,595,56,0,433,366.71584031172097,0.6163291433810436
40,40,40,40,40,40,40,1-7807,11,1-7807,7,239,82,0,83,141.5598492976278,0.592300624676267
203,203,203,203,203,203,203,1-9938,9,1-9938,8,55,10,0,31,32.24524491839111,0.5862771803343838
25,25,25,25,25,25,25,1-18028,3,1-18028,4,309,5,0,241,177.938839526847,0.5758538496014466
239,239,239,239,239,239,239,1-5002,7,1-5002,11,45,12,0,19,25.634182369336486,0.5696484970963663
10,10,10,10,10,10,10,MLG62,8,MLG62,9,525,31,0,371,297.22535047493875,0.5661435247141691
81,81,81,81,81,81,81,1-7682,4,1-7682,5,141,53,0,28,73.09247928112745,0.5183863778803366
332,332,332,332,332,332,332,P-16616,15,P-16616,16,28,13,0,2,14.435177091509104,0.515542038982468
27,27,27,27,27,27,27,1-1608,2,1-1608,2,307,27,0,177,154.01317259855568,0.5016715719822661
104,104,104,104,104,104,104,1-9394,14,1-9394,17,117,14,0,62,58.49048983678222,0.4999187165536942
44,44,44,44,44,44,44,1-0008,1,1-0008,1,230,1,0,151,109.35587040893734,0.4754603061258145
102,102,102,102,102,102,102,1-17907,11,1-17907,7,119,21,0,49,56.16183874197304,0.47194822472246256
195,195,195,195,195,195,195,1-9379,8,1-9379,9,58,18,0,13,27.328651094809175,0.47118363956567544
5,5,5,5,5,5,5,MLG57,3,MLG57,4,629,76,0,304,294.1469179093838,0.46764215883844795
349,349,349,349,349,349,349,1-8186,15,1-8186,16,26,12,0,0,12.0,0.46153846153846156
22,22,22,22,22,22,22,MLG50,10,MLG50,6,319,89,0,81,147.1246722061187,0.4612058689846981
124,124,124,124,124,124,124,1-0292,1,1-0292,1,99,29,0,22,44.78694800660014,0.4523934142080822
299,299,299,299,299,299,299,MLG31,10,MLG31,6,33,12,0,4,14.870354183018208,0.45061679342479416
89,89,89,89,89,89,89,1-9831,9,1-9831,8,132,7,0,73,59.38396384008229,0.4498785139400173
368,368,368,368,368,368,368,1-6858,18,1-6858,21,23,0,0,14,10.046239640563726,0.4367930278505968
43,43,43,43,43,43,43,MLG14,10,MLG14,6,232,74,0,34,98.39801055565476,0.4241293558433395
88,88,88,88,88,88,88,1-8267,11,1-8267,7,133,25,0,43,55.85630746744573,0.41997223659733635
29,29,29,29,29,29,29,1-3534,11,1-3534,7,279,25,0,128,116.85133385658264,0.41882198514904173
165,165,165,165,165,165,165,MLG59,8,MLG59,9,71,21,0,12,29.611062549054623,0.4170572190007693
103,103,103,103,103,103,103,1-3362,11,1-3362,7,117,12,0,50,47.879427287727594,0.409225874254082
403,403,403,403,403,403,403,72-12171,5,72-12171,14,19,4,0,5,7.587942728772759,0.39936540677751364
0,0,0,0,0,0,0,1-6098,7,1-6098,11,1327,126,0,555,524.2616428937763,0.3950728281038254
7,7,7,7,7,7,7,MLG69,12,MLG69,19,576,144,0,113,225.08750567026436,0.3907769195664312
329,329,329,329,329,329,329,1-5980,8,1-5980,11,29,7,0,6,11.305531274527311,0.38984590601818314
109,109,109,109,109,109,109,1-7441,16,1-7441,13,111,13,0,42,43.13871892169118,0.38863710740262325
77,77,77,77,77,77,77,1-9674,9,1-9674,8,144,16,0,55,55.467370016500354,0.38519006955903023
35,35,35,35,35,35,35,1-7496,11,1-7496,7,246,24,0,98,94.32367748394608,0.3834295832680735
137,137,137,137,137,137,137,1-6611,11,1-6611,7,89,8,0,36,33.83318764716387,0.38014817581083
4,4,4,4,4,4,4,MLG68,4,MLG68,5,642,44,0,278,243.48961571976542,0.37926731420524207
126,126,126,126,126,126,126,1-6693,7,1-6693,11,98,12,0,35,37.115599101409316,0.37873060307560524
147,147,147,147,147,147,147,1-2423,1,1-2423,1,79,4,0,36,29.833187647163868,0.37763528667296037
80,80,80,80,80,80,80,1-0053,7,1-0053,11,142,12,0,58,53.62013565376401,0.37760658911101413
62,62,62,62,62,62,62,1-6878,1,1-6878,1,167,22,0,57,62.90254710800946,0.37666195873059555
67,67,67,67,67,67,67,1-3516,11,1-3516,7,156,14,0,62,58.49048983678222,0.3749390374152706
64,64,64,64,64,64,64,MLG29,7,MLG29,11,164,15,0,64,60.92566692829132,0.3714979690749471
215,215,215,215,215,215,215,MLG40,15,MLG40,16,51,16,0,4,18.870354183018208,0.3700069447650629
47,47,47,47,47,47,47,1-0303,16,1-0303,15,212,7,0,99,78.04126602970064,0.36811917938538036
74,74,74,74,74,74,74,1-8074,8,1-8074,9,145,34,0,25,51.9397136438638,0.3582049216818193
281,281,281,281,281,281,281,1-3312,9,1-3312,8,36,7,0,8,12.740708366036415,0.35390856572323376
85,85,85,85,85,85,85,1-1131,6,1-1131,12,138,38,0,15,48.76382818631828,0.3533610738139006
83,83,83,83,83,83,83,MLG13,5,MLG13,14,140,12,0,52,49.3146043792367,0.352247174137405
28,28,28,28,28,28,28,1-7005,5,1-7005,14,285,21,0,109,99.21715148724616,0.34813035609560056
174,174,174,174,174,174,174,MLG41,8,MLG41,9,66,17,0,8,22.740708366036415,0.3445561873641881
168,168,168,168,168,168,168,MLG45,8,MLG45,9,70,19,0,7,24.023119820281863,0.34318742600402663
20,20,20,20,20,20,20,1-8067,9,1-8067,8,322,38,0,100,109.75885457545519,0.340866007998308
11,11,11,11,11,11,11,MLG56,2,MLG56,2,511,130,0,59,172.33772419951856,0.33725582035130836
130,130,130,130,130,130,130,1-3139,5,1-3139,14,93,11,0,28,31.092479281127453,0.3343277342056715
143,143,143,143,143,143,143,1-9286,20,1-9286,10,81,4,0,32,26.96283346414566,0.33287448721167484
257,257,257,257,257,257,257,1-19286,10,1-19286,6,40,9,0,6,13.305531274527311,0.3326382818631828
121,121,121,121,121,121,121,1-9333,14,1-9333,17,102,10,0,33,33.68042200990021,0.3302002157833354
376,376,376,376,376,376,376,1-18487,6,1-18487,13,23,4,0,5,7.587942728772759,0.3299105534249026
54,54,54,54,54,54,54,1-1350,2,1-1350,2,195,49,0,21,64.06935946084559,0.3285608177479261
57,57,57,57,57,57,57,MLG75,4,MLG75,5,185,44,0,23,60.50453655235469,0.327051548931647
114,114,114,114,114,114,114,1-7152,11,1-7152,7,109,9,0,37,35.55077619291842,0.3261539100267745
153,153,153,153,153,153,153,1-9516,5,1-9516,14,76,6,0,26,24.65730218961835,0.3244381867055046
94,94,94,94,94,94,94,1-1005,7,1-1005,11,125,8,0,45,40.291484558954835,0.3223318764716387
300,300,300,300,300,300,300,1-18709,20,1-18709,10,33,2,0,12,10.611062549054623,0.3215473499713522
151,151,151,151,151,151,151,MLG38,8,MLG38,9,77,19,0,8,24.740708366036415,0.3213079008576158
358,358,358,358,358,358,358,1-8627,10,1-8627,6,25,3,0,7,8.023119820281863,0.3209247928112745
228,228,228,228,228,228,228,MLG60,4,MLG60,5,47,10,0,7,15.023119820281863,0.31964084724003966
199,199,199,199,199,199,199,1-20167,7,1-20167,11,56,2,0,22,17.78694800660014,0.3176240715464311
8,8,8,8,8,8,8,1-10468,9,1-10468,8,549,64,0,153,173.79104750044644,0.3165592850645655
146,146,146,146,146,146,146,MLG78,12,MLG78,19,80,18,0,10,25.17588545754552,0.31469856821931896
154,154,154,154,154,154,154,1-9417,9,1-9417,8,76,8,0,22,23.78694800660014,0.3129861579815808
111,111,111,111,111,111,111,1-0272,20,1-0272,10,111,11,0,33,34.68042200990021,0.3124362343234253
482,482,482,482,482,482,482,1-9457,9,1-9457,8,11,2,0,2,3.4351770915091038,0.3122888265008276
155,155,155,155,155,155,155,1-8157,14,1-8157,17,75,19,0,6,23.30553127452731,0.3107404169936975
412,412,412,412,412,412,412,1-0055,3,1-0055,5,18,2,0,5,5.587942728772759,0.31044126270959777
404,404,404,404,404,404,404,1-20578,8,1-20578,9,19,3,0,4,5.8703541830182076,0.30896600963253723
63,63,63,63,63,63,63,1-3052,5,1-3052,14,166,11,0,56,51.184958562254906,0.3083431238690055
457,457,457,457,457,457,457,1-11330,7,1-11330,11,14,0,0,6,4.305531274527311,0.3075379481805222
122,122,122,122,122,122,122,1-9404,9,1-9404,8,100,12,0,26,30.65730218961835,0.3065730218961835
26,26,26,26,26,26,26,1-18558,13,1-18558,18,307,41,0,74,94.10155238583684,0.3065197146118464
129,129,129,129,129,129,129,1-4531,18,1-4531,21,94,0,0,40,28.703541830182076,0.3053568279806604
505,505,505,505,505,505,505,1-9855,10,1-9855,6,8,1,0,2,2.4351770915091038,0.30439713643863797
226,226,226,226,226,226,226,1-4634,8,1-4634,11,48,11,0,5,14.58794272877276,0.30391547351609915
