Unnamed: 0,Unnamed: 0.1,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,1-1005,2,16,1-1005,125,12,1,59,1022.3724476695061,8.178979581356048
517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,1-18028,2,16,1-18028,309,61,1,61,1071.7240560650826,3.4683626409873223
374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,1-6919,13,15,1-6919,43,49,0,0,49.0,1.1395348837209303
372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,1-6916,2,16,1-6916,43,43,0,6,44.05482518672943,1.0245308182960333
453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,1-8397,13,15,1-8397,51,49,0,2,49.35160839557648,0.9676785959916956
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1-3521,8,9,1-3521,22,21,0,0,21.0,0.9545454545454546
233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,MLG07,22,6,MLG07,90,84,0,3,84.52741259336472,0.939193473259608
418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,1-6216,18,18,1-6216,45,39,0,7,40.23062938451767,0.8940139863226149
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1-5167,1,8,1-5167,24,21,0,0,21.0,0.875
495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,MLG08,20,5,MLG08,107,92,0,7,93.23062938451767,0.8713142933132493
280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,1-7608,2,16,1-7608,4,3,0,1,3.1758041977882385,0.7939510494470596
421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,1-8398,16,20,1-8398,54,37,0,14,39.46125876903534,0.7307640512784322
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1-18423,13,15,1-18423,47,26,0,27,30.74671334028244,0.6541853902187753
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,15,10,1-1390,98,60,0,15,62.63706296682358,0.6391537037430978
261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,1-1942,6,4,1-1942,34,20,0,9,21.582237780094147,0.6347716994145337
239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,1-7042,19,13,1-7042,117,66,0,33,71.80153852701187,0.6136883634787339
543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,1-5803,15,10,1-5803,15,8,0,4,8.703216791152954,0.5802144527435302
274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,1-0033,22,6,1-0033,10,5,0,3,5.527412593364716,0.5527412593364716
519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,1-4926,20,5,1-4926,4,2,0,1,2.1758041977882385,0.5439510494470596
316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,1-7441,12,14,1-7441,111,53,0,34,58.97734272480011,0.5313274119351361
182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,1-7752,7,12,1-7752,29,14,0,8,15.406433582305908,0.5312563304243416
516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,1-5036,19,13,1-5036,14,7,0,1,7.1758041977882385,0.5125574426991599
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,9,3,72-12171,19,8,0,9,9.582237780094147,0.5043283042154814
545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,1-19567,2,16,1-19567,2,1,0,0,1.0,0.5
530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,1-4847,13,15,1-4847,2,1,0,0,1.0,0.5
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,1,8,1-6227,52,20,0,30,25.274125933647156,0.4860408833393684
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,8,9,1-1989,46,20,0,9,21.582237780094147,0.4691790821759597
456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,1-8186,15,10,1-8186,26,12,0,0,12.0,0.46153846153846156
436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,1-5161,7,12,1-5161,12,5,0,3,5.527412593364716,0.4606177161137263
420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,1-8172,12,14,1-8172,40,17,0,7,18.23062938451767,0.45576573461294173
209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,11,2,1-9938,55,24,0,3,24.527412593364716,0.4459529562429948
486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,1-8678,10,17,1-8678,17,7,0,3,7.527412593364716,0.4427889760802774
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,15,10,1-9379,58,24,0,7,25.23062938451767,0.4350108514572012
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,19,13,MLG52,125,50,0,21,53.69188815355301,0.4295351052284241
247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,1-20467,4,23,1-20467,13,5,0,3,5.527412593364716,0.42518558410497814
394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,1-2423,14,21,1-2423,79,33,0,2,33.35160839557648,0.42217225817185416
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1-7845,6,4,1-7845,36,13,0,10,14.758041977882385,0.40994561049673295
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,1-3083,19,13,1-3083,78,29,0,16,31.812867164611816,0.4078572713411771
333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,1-11329,1,8,1-11329,14,5,0,4,5.703216791152954,0.40737262793949675
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,1-0129,12,14,1-0129,142,56,0,10,57.758041977882385,0.4067467744921295
245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,1-6647,8,9,1-6647,62,22,0,17,24.988671362400055,0.40304308649032344
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,15,10,1-2382,139,53,0,17,55.988671362400055,0.40279619685179896
541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,1-5424,16,20,1-5424,5,2,0,0,2.0,0.4
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,1-3312,13,15,1-3312,36,14,0,2,14.351608395576477,0.39865578876601326
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,1-8095,8,9,1-8095,46,16,0,13,18.2854545712471,0.39750988198363263
533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,1-7530,2,16,1-7530,25,8,0,9,9.582237780094147,0.38328951120376586
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,16,20,1-5981,28,10,0,4,10.703216791152954,0.38225774254117695
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,12,14,1-1258,435,144,0,101,161.7562239766121,0.3718533884519818
472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,1-9518,15,10,1-9518,22,8,0,1,8.175804197788239,0.37162746353582904
490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,1-3551,19,13,1-3551,6,2,0,1,2.1758041977882385,0.3626340329647064
491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,MLG09,10,17,MLG09,125,43,0,9,44.58223778009415,0.35665790224075317
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,15,10,1-5043,123,41,0,12,43.10965037345886,0.3504849623858444
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,12,14,1-9270,128,41,0,19,44.34027975797653,0.34640843560919166
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,10,17,1-3584,26,9,0,0,9.0,0.34615384615384615
303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,1-8157,10,17,1-8157,75,25,0,5,25.879020988941193,0.34505361318588257
563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,1-21192,20,5,1-21192,4,1,0,2,1.351608395576477,0.33790209889411926
204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,1-9733,6,4,1-9733,4,1,0,2,1.351608395576477,0.33790209889411926
392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,1-9609,1,8,1-9609,25,8,0,2,8.351608395576477,0.33406433582305906
496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,1-3176,17,11,1-3176,3,1,0,0,1.0,0.3333333333333333
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,7,12,1-1350,195,59,0,34,64.97734272480011,0.3332171421784621
399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,10,17,MLG60,47,15,0,3,15.527412593364716,0.33037048070988756
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,12,14,1-6561,65,21,0,2,21.351608395576477,0.3284862830088689
403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,1-1770,9,3,1-1770,35,9,0,14,11.46125876903534,0.3274645362581525
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,72-12387,2,16,72-12387,71,23,0,1,23.17580419778824,0.32641977743363715
389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,1-0278,19,13,1-0278,79,18,0,44,25.735384702682495,0.3257643633250949
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,MLG42,21,7,MLG42,14,4,0,3,4.527412593364716,0.3233866138117654
414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,1-8285,9,3,1-8285,72,20,0,18,23.164475560188293,0.3217288272248374
185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,1-8906,12,14,1-8906,15,4,0,4,4.703216791152954,0.3135477860768636
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,10,17,MLG75,185,55,0,17,57.988671362400055,0.3134522776345949
264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,P-0009,19,13,P-0009,7,2,0,1,2.1758041977882385,0.3108291711126055
406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,1-17907,22,6,1-17907,119,35,0,11,36.933846175670624,0.3103684552577363
266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1-2103,7,12,1-2103,26,8,0,0,8.0,0.3076923076923077
292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,1-9997,2,16,1-9997,16,4,0,5,4.879020988941193,0.30493881180882454
318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,1-2324,11,2,1-2324,25,7,0,3,7.527412593364716,0.3010965037345886
438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,MLG10,21,7,MLG10,60,14,0,23,18.043496549129486,0.3007249424854914
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,2,16,MLG65,201,46,0,74,59.00951063632965,0.2935796549071127
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,9,3,P-16616,28,5,0,18,8.164475560188293,0.2915884128638676
348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,1-17758,19,13,1-17758,40,11,0,3,11.527412593364716,0.2881853148341179
425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,1-6006,1,8,1-6006,57,16,0,2,16.351608395576477,0.2868703227294119
451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,1-4098,10,17,1-4098,16,4,0,3,4.527412593364716,0.2829632870852947
398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,11,2,1-0303,212,58,0,11,59.933846175670624,0.282706821583352
503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,1-9076,10,17,1-9076,9,2,0,3,2.5274125933647156,0.2808236214849684
310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,1-4855,6,4,1-4855,22,6,0,1,6.1758041977882385,0.2807183726267381
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1-19547,5,1,1-19547,66,18,0,2,18.351608395576477,0.27805467266024964
207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,1-7058,15,10,1-7058,80,20,0,12,22.109650373458862,0.2763706296682358
442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,MLG11,15,10,MLG11,87,19,0,28,23.92251753807068,0.2749714659548354
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1-7467,2,16,1-7467,64,16,0,9,17.582237780094147,0.27472246531397104
210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,1-7842,6,4,1-7842,21,4,0,10,5.758041977882385,0.2741924751372564
527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,1-5531,7,12,1-5531,8,2,0,1,2.1758041977882385,0.2719755247235298
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,1-4494,10,17,1-4494,16,4,0,2,4.351608395576477,0.2719755247235298
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,1,8,1-6858,23,5,0,7,6.23062938451767,0.2708969297616378
501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,1-18487,10,17,1-18487,23,6,0,1,6.1758041977882385,0.26851322599079297
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,1-2294,17,11,1-2294,75,16,0,23,20.043496549129486,0.26724662065505983
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1-9185,11,2,1-9185,31,7,0,7,8.23062938451767,0.2655041736941184
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1-3564,12,14,1-3564,41,10,0,5,10.879020988941193,0.26534197534002907
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1-9946,2,16,1-9946,12,3,0,1,3.1758041977882385,0.2646503498156865
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1-8084,13,15,1-8084,82,15,0,37,21.504755318164825,0.2622531136361564
192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,1-9770,16,20,1-9770,50,11,0,12,13.109650373458862,0.26219300746917723
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1-9606,9,3,1-9606,16,4,0,1,4.1758041977882385,0.2609877623617649
355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,1-9498,12,14,1-9498,64,16,0,4,16.703216791152954,0.2609877623617649
