Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,MLG40,7,MLG40,3,51,9,1,8,1013.3321490287781,19.869257824093687
168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,MLG45,11,MLG45,5,70,17,1,7,1020.7906304001808,14.582723291431154
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1-3523,7,1-3523,3,543,60,1,134,1132.5634962320328,2.0857522950866167
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1-10468,11,1-10468,5,549,60,1,106,1117.4009746313095,2.0353387516052996
239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,1-5002,13,1-5002,7,45,11,0,21,22.37189120054245,0.4971531377898322
203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,1-9938,12,1-9938,6,55,18,0,15,26.122779428958893,0.4749596259810708
277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,1-10060,12,1-10060,20,36,8,0,16,16.664298057556152,0.4628971682654487
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,1-3516,20,1-3516,8,156,17,0,100,71.15186285972595,0.4561016849982433
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1-7866,7,1-7866,3,318,79,0,120,143.98223543167114,0.4527743252568275
212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,MLG32,9,MLG32,19,52,15,0,15,23.122779428958893,0.4446688351722864
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,MLG48,12,MLG48,6,159,12,0,108,70.48401188850403,0.4432956722547423
326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,1-0027,13,1-0027,7,29,8,0,8,12.332149028778076,0.4252465182337268
228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,MLG60,6,MLG60,2,47,16,0,7,19.790630400180817,0.42107724255703866
195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,1-9379,19,1-9379,9,58,21,0,6,24.249111771583557,0.41808813399281997
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1-7122,18,1-7122,10,197,10,0,130,80.39742171764374,0.4081087396834707
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-0296,7,1-0296,3,41,8,0,16,16.664298057556152,0.40644629408673544
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,1-11350,6,1-11350,2,100,28,0,23,40.45492845773697,0.4045492845773697
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1-7024,19,1-7024,9,498,94,0,182,192.55639040470123,0.3866594184833358
441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,1-9997,13,1-9997,7,16,4,0,4,6.166074514389038,0.3853796571493149
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,1-3447,10,1-3447,4,110,23,0,35,41.95315200090408,0.38139229091730986
245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,1-1183,18,1-1183,10,45,2,0,28,17.162521600723267,0.3813893689049615
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1-0053,13,1-0053,7,142,37,0,29,52.704040229320526,0.37115521288253894
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,MLG50,14,MLG50,15,319,98,0,36,117.49467062950134,0.368321851503139
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,MLG49,8,MLG49,20,185,45,0,42,67.7437824010849,0.3661826075734319
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,1-3596,10,1-3596,4,223,46,0,65,81.19871085882187,0.36411977963597253
125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,1-1390,16,1-1390,16,98,15,0,37,35.0361892580986,0.35751213528672043
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,1-1224,16,1-1224,16,151,41,0,20,51.83037257194519,0.3432475004764582
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1-4417,22,1-4417,18,151,22,0,55,51.783524572849274,0.34293724882681637
157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,1-17733,12,1-17733,6,74,8,0,32,25.328596115112305,0.342278325879896
154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,1-9417,12,1-9417,6,76,14,0,22,25.91340982913971,0.34096591880446986
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG58,17,MLG58,12,71,13,0,20,23.83037257194519,0.3356390503090872
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,MLG57,16,MLG57,16,629,67,0,263,209.41939932107925,0.33294022149615143
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,MLG29,13,MLG29,7,164,35,0,36,54.49467062950134,0.33228457700915454
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-6909,10,1-6909,4,36,6,0,11,11.956704914569855,0.33213069207138485
165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,MLG59,11,MLG59,5,71,18,0,10,23.415186285972595,0.32979135614045907
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,1-20167,10,1-20167,4,56,13,0,10,18.415186285972595,0.3288426122495106
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1-3535,18,1-3535,10,315,46,0,106,103.40097463130951,0.3282570623216175
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1-5775,8,1-5775,20,244,67,0,24,79.99644708633423,0.3278542913374354
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-18615,8,1-18615,20,22,5,0,4,7.166074514389038,0.3257306597449563
404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,1-20578,11,1-20578,5,19,4,0,4,6.166074514389038,0.32453023759942307
263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,1-6061,17,1-6061,12,40,7,0,11,12.956704914569855,0.32391762286424636
429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-9452,9,1-9452,19,16,3,0,4,5.166074514389038,0.3228796571493149
337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,1-6532,19,1-6532,9,27,6,0,5,8.707593142986298,0.32250344974023326
248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,1-6217,10,1-6217,4,44,0,0,26,14.079484343528748,0.31998828053474426
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,1-7019,19,1-7019,9,107,13,0,39,34.11922651529312,0.31887127584386094
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1-18709,7,1-18709,3,33,5,0,10,10.415186285972595,0.3156117056355332
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,1-9491,8,1-9491,20,80,16,0,17,25.205816686153412,0.31507270857691766
369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,MLG39,8,MLG39,20,23,5,0,4,7.166074514389038,0.3115684571473495
334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,1-18994,7,1-18994,3,28,6,0,5,8.707593142986298,0.31098546939236776
267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,1-5413,19,1-5413,16,39,11,0,2,12.083037257194519,0.3098214681331928
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1-2382,10,1-2382,4,139,23,0,37,43.0361892580986,0.3096128723604216
492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,MLG73,8,MLG73,20,10,2,0,2,3.083037257194519,0.3083037257194519
445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,1-5654,9,1-5654,19,15,3,0,3,4.624555885791779,0.3083037257194519
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-9576,8,1-9576,20,10,2,0,2,3.083037257194519,0.3083037257194519
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1-6927,9,1-6927,19,179,44,0,20,54.83037257194519,0.3063149305695262
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,1-9497,13,1-9497,7,150,22,0,44,45.82681965827942,0.30551213105519615
210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,1-1191,18,1-1191,10,53,14,0,4,16.166074514389038,0.30502027385639696
152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,1-10038,16,1-10038,16,76,9,0,26,23.079484343528748,0.3036774255727467
167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,72-12387,15,72-12387,14,71,2,0,36,21.494670629501343,0.3027418398521316
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,1-9404,12,1-9404,6,100,17,0,24,29.99644708633423,0.29996447086334227
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1-9333,18,1-9333,20,102,4,0,49,30.534412801265717,0.2993569882477031
329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,1-5980,10,1-5980,4,29,7,0,3,8.624555885791779,0.29739847882040615
320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,1-18203,7,1-18203,9,29,1,0,14,8.581260800361633,0.2959055448400563
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-6098,13,1-6098,7,1327,216,0,318,388.2029238939285,0.2925417663104209
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,MLG65,10,MLG65,4,201,16,0,79,58.7799716591835,0.2924376699461866
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1-9831,11,1-9831,5,132,13,0,47,38.4513755440712,0.29129829957629694
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,MLG44,9,MLG44,19,59,9,0,15,17.122779428958893,0.2902166004908287
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,1-0272,20,1-0272,8,111,5,0,50,32.075931429862976,0.2889723552239908
235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,1-1989,9,1-1989,19,46,10,0,6,13.249111771583557,0.28802416894746863
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,MLG55,8,MLG55,20,92,21,0,10,26.415186285972595,0.2871215900649195
93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,MLG52,17,MLG52,12,125,19,0,31,35.787077486515045,0.28629661989212035
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,MLG75,19,MLG75,9,185,47,0,11,52.956704914569855,0.2862524589976749
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,MLG14,6,MLG14,2,232,56,0,19,66.28885394334793,0.2857278187213273
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1-2282,10,1-2282,4,219,29,0,62,62.57415497303009,0.28572673503666707
182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,1-6647,19,1-6647,9,62,3,0,27,17.621002972126007,0.28420972535687106
247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,1-6734,15,1-6734,14,44,7,0,10,12.415186285972595,0.28216332468119537
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,1-8988,6,1-8988,2,29,6,0,4,8.166074514389038,0.2815887763582427
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,MLG63,7,MLG63,3,380,51,0,103,106.77641874551773,0.2809905756460993
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,1-9674,12,1-9674,6,144,30,0,19,40.28885394334793,0.2797837079399162
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-9436,10,1-9436,4,21,1,0,9,5.873667657375336,0.27969845987501596
221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,1-4355,7,1-4355,3,49,5,0,16,13.664298057556152,0.2788632256644113
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,1-5981,6,1-5981,2,28,4,0,7,7.790630400180817,0.27823680000645773
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,1-9270,15,1-9270,14,128,23,0,23,35.45492845773697,0.27699162857607007
137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,1-6611,20,1-6611,8,89,4,0,38,24.577707886695862,0.2761540211988299
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,MLG41,9,MLG41,19,66,10,0,15,18.122779428958893,0.27458756710543775
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1-1131,17,1-1131,12,138,23,0,27,37.62100297212601,0.2726159635661305
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,1-7152,20,1-7152,8,109,1,0,53,29.700487315654755,0.2724815350060069
555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,1-6028,13,1-6028,7,2,0,0,1,0.5415186285972595,0.27075931429862976
541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,1-8532,18,1-8532,10,4,0,0,2,1.083037257194519,0.27075931429862976
543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,1-7608,10,1-7608,4,4,0,0,2,1.083037257194519,0.27075931429862976
556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,1-9455,8,1-9455,20,2,0,0,1,0.5415186285972595,0.27075931429862976
184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,1-2701,9,1-2701,19,61,11,0,10,16.415186285972595,0.2691014145241409
297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,1-9630,15,1-9630,14,33,4,0,9,8.873667657375336,0.2688990199204647
343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,MLG67,8,MLG67,20,27,4,0,6,7.249111771583557,0.2684856211697614
211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,1-8042,9,1-8042,19,52,9,0,9,13.873667657375336,0.26680130110337186
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,MLG54,17,MLG54,12,595,33,0,232,158.6323218345642,0.2666089442597718
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,1-5043,14,1-5043,15,123,17,0,29,32.704040229320526,0.2658865059294352
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,1-6974,8,1-6974,20,207,11,0,81,54.86300891637802,0.2650386904172851
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1-3534,20,1-3534,8,279,23,0,94,73.9027510881424,0.2648844125023025
456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,1-7995,8,1-7995,20,14,1,0,5,3.7075931429862976,0.2648280816418784
468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,1-9946,8,1-9946,20,12,1,0,4,3.166074514389038,0.2638395428657532
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,MLG53,14,MLG53,15,91,19,0,9,23.873667657375336,0.2623479962348938
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-3083,7,1-3083,3,78,8,0,23,20.45492845773697,0.26224267253508937
