,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
0,MLG40,12,MLG40,3,51,11,1,12,1021.6788239479064,20.032918116625616
1,MLG45,6,MLG45,5,70,14,1,18,1030.0182359218595,14.71454622745514
2,1-3523,12,1-3523,3,543,93,1,169,1243.3934372663498,2.289859000490515
3,1-10468,6,1-10468,5,549,48,1,163,1193.0540252923963,2.1731403010790467
4,1-8042,7,1-8042,19,52,9,0,28,33.917255878448486,0.652254920739394
5,1-3516,20,1-3516,8,156,17,0,95,101.54068958759308,0.6509018563307248
6,MLG59,6,MLG59,5,71,14,0,36,46.03647184371948,0.648401011883373
7,1-3083,12,1-3083,3,78,6,0,46,46.93549180030823,0.601737074362926
8,1-1131,2,1-1131,12,138,66,0,13,77.56872594356537,0.5620922169823578
9,1-1258,14,1-1258,15,435,109,0,152,244.26510334014893,0.5615289731957447
10,1-3447,13,1-3447,4,110,43,0,21,61.687941908836365,0.5607994718985124
11,1-3535,3,1-3535,10,315,37,0,151,171.37520134449005,0.5440482582364764
12,1-1350,4,1-1350,11,195,66,0,43,104.2657858133316,0.5346963375042646
13,1-0296,12,1-0296,3,41,5,0,19,21.908137917518616,0.5343448272565516
14,1-5413,16,1-5413,16,39,14,0,7,20.22931396961212,0.5187003581951826
15,MLG38,13,MLG38,4,77,20,0,22,39.57784390449524,0.5139979727856525
16,1-9156,3,1-9156,10,268,61,0,85,136.64166963100433,0.5098569762350907
17,1-8267,20,1-8267,8,133,4,0,70,66.29313969612122,0.4984446593693324
18,P-16616,17,P-16616,17,28,5,0,10,13.899019956588743,0.4963935698781694
19,1-1191,20,1-1191,10,53,15,0,12,25.67882394790649,0.4845061122246508
20,1-10038,2,1-10038,16,76,26,0,12,36.678823947906494,0.482616104577717
21,1-1942,10,1-1942,1,34,3,0,15,16.348529934883118,0.4808391157318564
22,1-0205,10,1-0205,1,34,2,0,16,16.238431930541992,0.477600939133588
23,1-4926,7,1-4926,19,4,1,0,1,1.8899019956588743,0.4724754989147186
24,1-4760,17,1-4760,17,40,10,0,10,18.899019956588745,0.4724754989147186
25,1-7845,21,1-7845,20,36,17,0,0,17.0,0.4722222222222222
26,MLG29,18,MLG29,7,164,39,0,43,77.2657858133316,0.4711328403251927
27,1-18709,18,1-18709,3,33,3,0,14,15.458627939224243,0.4684432708855831
28,1-8074,3,1-8074,10,145,33,0,39,67.7061778306961,0.4669391574530765
29,1-9770,3,1-9770,10,50,16,0,8,23.119215965271,0.4623843193054199
