Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
364,364,364,364,364,364,364,364,1-7682,12,10,1-7682,141,57,0,25,65.15792754292488,0.4621129612973396
454,454,454,454,454,454,454,454,1-0272,13,11,1-0272,111,31,0,59,50.25270900130272,0.4527271081198443
197,197,197,197,197,197,197,197,1-8646,5,13,1-8646,20,7,0,6,8.957902610301971,0.44789513051509855
268,268,268,268,268,268,268,268,MLG44,21,16,MLG44,59,22,0,10,25.263171017169952,0.428189339274067
426,426,426,426,426,426,426,426,1-4355,16,6,1-4355,49,18,0,9,20.936853915452957,0.42728273296842767
282,282,282,282,282,282,282,282,1-1608,12,10,1-1608,307,61,0,184,121.04234671592712,0.39427474500301996
399,399,399,399,399,399,399,399,MLG60,19,3,MLG60,47,12,0,20,18.526342034339905,0.3941774900923384
404,404,404,404,404,404,404,404,1-4682,15,12,1-4682,16,5,0,3,5.978951305150986,0.3736844565719366
322,322,322,322,322,322,322,322,1-0296,1,12,1-0296,41,12,0,9,14.936853915452957,0.36431351013299895
162,162,162,162,162,162,162,162,1-8067,10,17,1-8067,322,78,0,113,114.87383249402046,0.35675103259012564
299,299,299,299,299,299,299,299,MLG54,20,4,MLG54,595,28,0,554,208.77967435121536,0.35089020899363926
462,462,462,462,462,462,462,462,1-1183,19,3,1-1183,45,2,0,42,15.7053182721138,0.34900707271364
434,434,434,434,434,434,434,434,MLG59,1,12,MLG59,71,15,0,27,23.81056174635887,0.3353600245966038
167,167,167,167,167,167,167,167,1-4929,1,12,1-4929,10,2,0,4,3.305268406867981,0.3305268406867981
327,327,327,327,327,327,327,327,P-16616,10,17,P-16616,28,2,0,21,8.8526591360569,0.3161663977163179
149,149,149,149,149,149,149,149,MLG58,2,15,MLG58,71,15,0,22,22.178976237773895,0.31237994701089994
370,370,370,370,370,370,370,370,MLG62,15,2,MLG62,525,40,0,369,160.41101053357124,0.30554478196870716
463,463,463,463,463,463,463,463,1-1989,7,1,1-1989,46,1,0,40,14.05268406867981,0.30549313192782196
415,415,415,415,415,415,415,415,1-1957,8,10,1-1957,47,12,0,7,14.284219712018967,0.30391956834082906
236,236,236,236,236,236,236,236,1-7024,8,6,1-7024,498,71,0,244,150.62137281894684,0.302452555861339
483,483,483,483,483,483,483,483,1-9491,2,15,1-9491,80,16,0,25,24.15792754292488,0.301974094286561
153,153,153,153,153,153,153,153,1-1350,2,15,1-1350,195,36,0,68,58.189562916755676,0.2984080149577214
352,352,352,352,352,352,352,352,MLG63,21,16,MLG63,380,107,0,16,112.22107362747192,0.2953186148091366
345,345,345,345,345,345,345,345,1-1131,20,4,1-1131,138,36,0,14,40.56843942403793,0.29397419872491254
246,246,246,246,246,246,246,246,MLG56,18,9,MLG56,511,90,0,182,149.38971251249313,0.29234777399705114
10,10,10,10,10,10,10,10,1-7964,20,4,1-7964,202,50,0,26,58.484244644641876,0.289525963587336
331,331,331,331,331,331,331,331,MLG75,8,6,MLG75,185,40,0,39,52.726366966962814,0.2850073890106098
166,166,166,166,166,166,166,166,MLG40,12,10,MLG40,51,12,0,7,14.284219712018967,0.2800827394513523
272,272,272,272,272,272,272,272,1-1570,11,7,1-1570,142,27,0,38,39.40004986524582,0.27746513989609733
414,414,414,414,414,414,414,414,1-8285,12,10,1-8285,72,16,0,12,19.915805220603943,0.2766084058417214
391,391,391,391,391,391,391,391,MLG30,1,12,MLG30,208,42,0,47,57.336903780698776,0.2756581912533595
375,375,375,375,375,375,375,375,MLG14,15,2,MLG14,232,54,0,28,63.13687884807587,0.2721417191727408
484,484,484,484,484,484,484,484,MLG31,18,2,MLG31,33,8,0,3,8.978951305150986,0.2720894334894238
526,526,526,526,526,526,526,526,1-5002,5,5,1-5002,45,7,0,16,12.221073627471924,0.2715794139438205
24,24,24,24,24,24,24,24,1-7140,15,2,1-7140,397,103,0,14,107.56843942403793,0.270953247919491
319,319,319,319,319,319,319,319,1-3584,5,5,1-3584,26,4,0,9,6.936853915452957,0.26680207367126757
275,275,275,275,275,275,275,275,1-3216,6,14,1-3216,5,1,0,1,1.3263171017169952,0.26526342034339906
495,495,495,495,495,495,495,495,MLG08,21,16,MLG08,107,27,0,3,27.978951305150986,0.26148552621636434
154,154,154,154,154,154,154,154,1-18994,6,14,1-18994,28,6,0,4,7.305268406867981,0.2609024431024279
398,398,398,398,398,398,398,398,1-0303,2,15,1-0303,212,34,0,64,54.884294509887695,0.25888818165041366
384,384,384,384,384,384,384,384,1-9270,11,7,1-9270,128,24,0,28,33.13687884807587,0.2588818660005927
386,386,386,386,386,386,386,386,MLG68,16,8,MLG68,642,91,0,226,164.74766498804092,0.25661630060442514
206,206,206,206,206,206,206,206,1-9752,19,3,1-9752,22,4,0,5,5.631585508584976,0.25598115948113526
459,459,459,459,459,459,459,459,1-2545,6,14,1-2545,145,24,0,40,37.05268406867981,0.2555357521977918
562,562,562,562,562,562,562,562,1-0003,3,21,1-0003,17,2,0,7,4.284219712018967,0.2520129242364098
446,446,446,446,446,446,446,446,1-3534,13,11,1-3534,279,35,0,108,70.24224698543549,0.25176432611267197
508,508,508,508,508,508,508,508,1-8532,14,1,1-8532,4,1,0,0,1.0,0.25
357,357,357,357,357,357,357,357,1-4760,1,16,1-4760,40,10,0,0,10.0,0.25
338,338,338,338,338,338,338,338,1-6296,1,12,1-6296,254,38,0,77,63.12641683220863,0.24852920012680565
400,400,400,400,400,400,400,400,1-18709,1,5,1-18709,33,3,0,15,7.894756525754929,0.23923504623499783
488,488,488,488,488,488,488,488,1-11350,3,21,1-11350,100,13,0,33,23.768464356660843,0.23768464356660843
267,267,267,267,267,267,267,267,1-6181,14,13,1-6181,659,115,0,122,154.81068640947342,0.23491758180496725
383,383,383,383,383,383,383,383,1-8551,21,11,1-8551,38,5,0,12,8.915805220603943,0.23462645317378797
447,447,447,447,447,447,447,447,1-7152,13,11,1-7152,109,21,0,13,25.242122322320938,0.23157910387450403
379,379,379,379,379,379,379,379,1-4640,13,11,1-4640,87,11,0,28,20.136878848075867,0.23145837756409043
382,382,382,382,382,382,382,382,1-18558,6,14,1-18558,307,57,0,43,71.0316353738308,0.2313734051264847
286,286,286,286,286,286,286,286,1-3587,8,9,1-3587,46,8,0,8,10.610536813735962,0.23066384377686874
412,412,412,412,412,412,412,412,1-6858,10,17,1-6858,23,2,0,10,5.263171017169952,0.22883352248565011
234,234,234,234,234,234,234,234,MLG29,5,5,MLG29,164,22,0,47,37.336903780698776,0.22766404744328522
260,260,260,260,260,260,260,260,1-0129,11,7,1-0129,142,26,0,19,32.20002493262291,0.22676073896213317
339,339,339,339,339,339,339,339,1-3523,6,14,1-3523,543,97,0,79,122.77905103564262,0.22611243284648733
445,445,445,445,445,445,445,445,1-6538,2,15,1-6538,44,7,0,9,9.936853915452957,0.2258375889875672
542,542,542,542,542,542,542,542,1-1191,13,4,1-1191,53,9,0,9,11.936853915452957,0.22522365878213127
39,39,39,39,39,39,39,39,1-7467,21,4,1-7467,64,13,0,4,14.305268406867981,0.2235198188573122
464,464,464,464,464,464,464,464,1-10060,15,17,1-10060,36,4,0,12,7.915805220603943,0.21988347835010952
255,255,255,255,255,255,255,255,1-9946,1,13,1-9946,12,1,0,5,2.631585508584976,0.21929879238208136
244,244,244,244,244,244,244,244,MLG57,19,3,MLG57,629,56,0,249,137.25295832753181,0.21820820083868334
289,289,289,289,289,289,289,289,1-1592,8,6,1-1592,32,6,0,3,6.978951305150986,0.2180922282859683
104,104,104,104,104,104,104,104,1-8267,13,11,1-8267,133,19,0,30,28.789513051509857,0.21646250414669066
92,92,92,92,92,92,92,92,1-7807,13,11,1-7807,239,23,0,88,51.71590495109558,0.21638453954433298
305,305,305,305,305,305,305,305,1-7866,6,14,1-7866,318,44,0,74,68.14746552705765,0.21430020605992972
422,422,422,422,422,422,422,422,1-6878,14,13,1-6878,167,24,0,36,35.74741566181183,0.21405638120845408
47,47,47,47,47,47,47,47,1-19547,19,11,1-19547,66,12,0,6,13.957902610301971,0.2114833728833632
499,499,499,499,499,499,499,499,1-8627,15,10,1-8627,25,3,0,7,5.284219712018967,0.21136878848075866
500,500,500,500,500,500,500,500,1-0292,1,13,1-0292,99,13,0,24,20.831610441207886,0.21042030748694834
253,253,253,253,253,253,253,253,1-4649,18,9,1-4649,244,29,0,68,51.189562916755676,0.2097932906424413
191,191,191,191,191,191,191,191,1-8328,6,14,1-8328,114,18,0,18,23.873707830905914,0.20941848974478872
