Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,1-18377,7,2,1-18377,14,6,0,3,7.750200033187866,0.5535857166562762
444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,9,7,1-3217,5,1,0,3,2.750200033187866,0.5500400066375732
469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,1-8578,20,4,1-8578,11,6,0,0,6.0,0.5454545454545454
558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,5,5,1-0055,18,5,0,8,9.667200088500977,0.5370666715833876
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,7,2,1-1131,138,67,0,12,74.00080013275146,0.5362376821213874
210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,1-7842,13,15,1-7842,21,10,0,2,11.166800022125244,0.531752382005964
564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,1-9034,11,14,1-9034,3,1,0,1,1.583400011062622,0.5278000036875407
507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,1-6909,8,1,1-6909,36,19,0,0,19.0,0.5277777777777778
277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,1-4051,21,3,1-4051,5,2,0,1,2.583400011062622,0.5166800022125244
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,19,10,1-9379,58,20,0,17,29.917800188064575,0.5158241411735272
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,9,7,P-16616,28,10,0,7,14.083800077438354,0.5029928599085126
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1-18004,19,10,1-18004,12,6,0,0,6.0,0.5
