Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,18,13,MLG56,511,93,1,151,1097.217679316178,2.1471970241021094
299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,18,13,MLG54,595,79,1,115,1082.2121398765594,1.818843932565646
425,425,425,425,425,425,425,425,425,425,425,425,425,425,1-6006,10,14,1-6006,57,46,0,1,46.027931651100516,0.8075075728263248
46,46,46,46,46,46,46,46,46,46,46,46,46,46,1-8566,17,12,1-8566,5,4,0,0,4.0,0.8
464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,14,6,1-10060,36,27,0,0,27.0,0.75
490,490,490,490,490,490,490,490,490,490,490,490,490,490,1-3551,18,13,1-3551,6,4,0,4,4.111726604402065,0.6852877674003442
507,507,507,507,507,507,507,507,507,507,507,507,507,507,1-6909,7,1,1-6909,36,23,0,0,23.0,0.6388888888888888
52,52,52,52,52,52,52,52,52,52,52,52,52,52,72-12387,7,1,72-12387,71,36,0,0,36.0,0.5070422535211268
514,514,514,514,514,514,514,514,514,514,514,514,514,514,1-11206,14,6,1-11206,14,7,0,2,7.055863302201033,0.5039902358715024
451,451,451,451,451,451,451,451,451,451,451,451,451,451,1-4098,14,6,1-4098,16,8,0,2,8.055863302201033,0.5034914563875645
186,186,186,186,186,186,186,186,186,186,186,186,186,186,72-11994,2,19,72-11994,8,4,0,1,4.027931651100516,0.5034914563875645
563,563,563,563,563,563,563,563,563,563,563,563,563,563,1-21192,17,12,1-21192,4,2,0,0,2.0,0.5
238,238,238,238,238,238,238,238,238,238,238,238,238,238,1-9855,18,13,1-9855,8,4,0,0,4.0,0.5
413,413,413,413,413,413,413,413,413,413,413,413,413,413,1-8314,3,20,1-8314,36,17,0,11,17.30724816210568,0.4807568933918244
77,77,77,77,77,77,77,77,77,77,77,77,77,77,1-2153,17,12,1-2153,13,6,0,0,6.0,0.46153846153846156
292,292,292,292,292,292,292,292,292,292,292,292,292,292,1-9997,6,11,1-9997,16,7,0,6,7.167589906603098,0.4479743691626936
364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,10,14,1-7682,141,62,0,26,62.726222928613424,0.4448668292809463
29,29,29,29,29,29,29,29,29,29,29,29,29,29,1-18735,6,11,1-18735,27,12,0,0,12.0,0.4444444444444444
49,49,49,49,49,49,49,49,49,49,49,49,49,49,1-2178,6,11,1-2178,12,5,0,1,5.027931651100516,0.41899430425837636
206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,18,13,1-9752,22,9,0,6,9.167589906603098,0.41670863211832265
468,468,468,468,468,468,468,468,468,468,468,468,468,468,1-6228,3,20,1-6228,48,20,0,0,20.0,0.4166666666666667
274,274,274,274,274,274,274,274,274,274,274,274,274,274,1-0033,6,11,1-0033,10,4,0,2,4.055863302201033,0.40558633022010326
211,211,211,211,211,211,211,211,211,211,211,211,211,211,1-5406,11,15,1-5406,10,4,0,0,4.0,0.4
541,541,541,541,541,541,541,541,541,541,541,541,541,541,1-5424,3,20,1-5424,5,2,0,0,2.0,0.4
532,532,532,532,532,532,532,532,532,532,532,532,532,532,1-19447,10,14,1-19447,15,6,0,0,6.0,0.4
216,216,216,216,216,216,216,216,216,216,216,216,216,216,1-9887,4,18,1-9887,36,14,0,4,14.111726604402065,0.39199240567783517
312,312,312,312,312,312,312,312,312,312,312,312,312,312,1-3108,10,14,1-3108,18,7,0,2,7.055863302201033,0.39199240567783517
136,136,136,136,136,136,136,136,136,136,136,136,136,136,1-9549,20,5,1-9549,18,7,0,1,7.027931651100516,0.39044064728336203
369,369,369,369,369,369,369,369,369,369,369,369,369,369,1-6594,15,10,1-6594,70,27,0,3,27.08379495330155,0.38691135647573643
527,527,527,527,527,527,527,527,527,527,527,527,527,527,1-5531,4,18,1-5531,8,3,0,1,3.0279316511005163,0.37849145638756454
68,68,68,68,68,68,68,68,68,68,68,68,68,68,1-7845,14,6,1-7845,36,13,0,21,13.586564673110843,0.37740457425307894
147,147,147,147,147,147,147,147,147,147,147,147,147,147,1-17657,10,14,1-17657,8,3,0,0,3.0,0.375
557,557,557,557,557,557,557,557,557,557,557,557,557,557,1-9806,7,1,1-9806,8,3,0,0,3.0,0.375
61,61,61,61,61,61,61,61,61,61,61,61,61,61,1-7341,19,2,1-7341,110,41,0,7,41.195521557703614,0.37450474143366924
403,403,403,403,403,403,403,403,403,403,403,403,403,403,1-1770,17,12,1-1770,35,13,0,1,13.027931651100516,0.3722266186028719
176,176,176,176,176,176,176,176,176,176,176,176,176,176,1-8042,2,19,1-8042,52,19,0,10,19.279316511005163,0.3707560867500993
149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,14,6,MLG58,71,25,0,16,25.44690641760826,0.3584071326423699
128,128,128,128,128,128,128,128,128,128,128,128,128,128,1-19286,19,2,1-19286,40,14,0,3,14.083794953301549,0.35209487383253874
551,551,551,551,551,551,551,551,551,551,551,551,551,551,1-9838,14,6,1-9838,3,1,0,2,1.0558633022010326,0.3519544340670109
479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,10,14,1-9286,81,28,0,8,28.22345320880413,0.34843769393585344
436,436,436,436,436,436,436,436,436,436,436,436,436,436,1-5161,1,22,1-5161,12,4,0,2,4.055863302201033,0.3379886085167527
471,471,471,471,471,471,471,471,471,471,471,471,471,471,1-9794,14,6,1-9794,46,15,0,18,15.502769719809294,0.3370167330393325
273,273,273,273,273,273,273,273,273,273,273,273,273,273,1-3589,9,7,1-3589,27,9,0,2,9.055863302201033,0.3354023445259642
536,536,536,536,536,536,536,536,536,536,536,536,536,536,1-9971,10,14,1-9971,15,5,0,0,5.0,0.3333333333333333
276,276,276,276,276,276,276,276,276,276,276,276,276,276,1-9495,2,19,1-9495,18,6,0,0,6.0,0.3333333333333333
559,559,559,559,559,559,559,559,559,559,559,559,559,559,1-5914,3,20,1-5914,3,1,0,0,1.0,0.3333333333333333
424,424,424,424,424,424,424,424,424,424,424,424,424,424,1-4700,3,20,1-4700,31,10,0,4,10.111726604402065,0.32618472917426017
420,420,420,420,420,420,420,420,420,420,420,420,420,420,1-8172,7,1,1-8172,40,13,0,0,13.0,0.325
86,86,86,86,86,86,86,86,86,86,86,86,86,86,1-9345,15,10,1-9345,47,15,0,2,15.055863302201033,0.3203375170681071
319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,6,11,1-3584,26,8,0,6,8.167589906603098,0.3141380733308884
169,169,169,169,169,169,169,169,169,169,169,169,169,169,1-9606,19,2,1-9606,16,5,0,0,5.0,0.3125
30,30,30,30,30,30,30,30,30,30,30,30,30,30,1-8418,17,12,1-8418,46,14,0,9,14.251384859904647,0.3098127143457532
95,95,95,95,95,95,95,95,95,95,95,95,95,95,1-3312,15,10,1-3312,36,11,0,5,11.139658255502582,0.3094349515417384
201,201,201,201,201,201,201,201,201,201,201,201,201,201,1-9902,18,13,1-9902,30,9,0,10,9.279316511005163,0.3093105503668388
69,69,69,69,69,69,69,69,69,69,69,69,69,69,1-18498,10,14,1-18498,13,4,0,0,4.0,0.3076923076923077
