Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-6974,16,12,1-6974,207,182,0,10,182.32152749598026,0.8807803260675375
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,5,9,1-18709,33,11,0,12,11.385832995176315,0.3450252422780702
429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-6693,7,10,1-6693,98,33,0,10,33.32152749598026,0.34001558669367615
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,12,18,1-9379,58,19,0,12,19.385832995176315,0.334238499916833
243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,1-1015,10,17,1-1015,155,46,0,56,47.80055397748947,0.3083906708225127
398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,1,12,1-0303,212,61,0,32,62.02888798713684,0.29258909427894736
365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,MLG48,9,7,MLG48,159,44,0,69,46.21853972226381,0.2906826397626655
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,1,12,1-5002,45,12,0,10,12.321527495980263,0.27381172213289473
424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,1-4700,10,17,1-4700,31,8,0,4,8.128610998392105,0.26221325801264855
209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,12,18,1-9938,55,14,0,3,14.096458248794079,0.25629924088716505
560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,1-0027,5,9,1-0027,29,7,0,10,7.321527495980263,0.25246646537862977
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,6,13,MLG57,629,145,0,301,154.6779776290059,0.24591093422735438
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,18,8,1-1570,142,34,0,20,34.643054991960526,0.243965175999722
391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,MLG30,21,11,MLG30,208,49,0,28,49.900276988744736,0.23990517783050352
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,15,22,MLG58,71,17,0,1,17.032152749598026,0.23988947534645108
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,18,8,1-6561,65,15,0,15,15.482291243970394,0.238189096061083
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,13,5,1-2382,139,31,0,62,32.99347047507763,0.23736309694300453
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-18615,1,6,1-18615,22,5,0,5,5.160763747990131,0.2345801703631878
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,12,18,MLG75,185,41,0,26,41.83597148954868,0.22614038642999287
558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,19,2,1-0055,18,4,0,1,4.032152749598026,0.22400848608877924
339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,1-3523,20,2,1-3523,543,120,0,24,120.77166599035263,0.2224155911424542
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,22,16,MLG68,642,135,0,190,141.109022423625,0.21979598508352802
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,9,7,P-16616,28,6,0,4,6.128610998392105,0.21887896422828948
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,18,8,1-9270,128,27,0,29,27.932429738342762,0.21822210733080283
253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,1-4649,9,7,1-4649,244,52,0,34,53.09319348633289,0.21759505527185613
500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,21,11,1-0292,99,20,0,42,21.350415483117104,0.21566076245572832
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,1,12,MLG49,185,39,0,16,39.51444399356842,0.2135915891544239
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,7,10,MLG59,71,14,0,30,14.964582487940788,0.21076876743578574
236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,1-7024,12,18,1-7024,498,100,0,91,102.92590021342039,0.2066785144847799
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,21,11,1-6878,167,31,0,103,34.311733208596706,0.20545948029099825
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,13,5,1-1390,98,19,0,35,20.12534623593092,0.20536067587684612
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,23,14,MLG51,248,49,0,49,50.57548473030329,0.20393340617057779
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,4,20,MLG32,52,10,0,9,10.289374746382236,0.19787259127658147
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,19,6,1-1350,195,37,0,39,38.253957234323025,0.196174139663195
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,1-4494,2,23,1-4494,16,3,0,0,3.0,0.1875
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1-8084,7,18,1-8084,82,15,0,6,15.192916497588158,0.1852794694827824
