Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,20,18,MLG45,70,15,1,18,1031.4686260223389,14.735266086033413
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1-6240,20,18,1-6240,698,68,1,158,1212.557939529419,1.7371890251137807
130,130,130,130,130,130,130,130,130,130,130,130,130,130,1-1833,19,6,1-1833,124,20,0,80,93.19389343261719,0.7515636567146547
57,57,57,57,57,57,57,57,57,57,57,57,57,57,1-1224,10,8,1-1224,151,9,0,106,105.98190879821777,0.7018669456835614
166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,14,9,MLG40,51,20,0,17,35.55370235443115,0.6971314187143364
483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,20,18,1-9491,80,31,0,25,53.87309169769287,0.6734136462211608
387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,20,18,1-10539,63,4,0,40,40.596946716308594,0.6443959796239459
364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,20,18,1-7682,141,34,0,58,87.06557273864746,0.6174863314797693
268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,14,9,MLG44,59,25,0,11,35.06416034698486,0.5943078024912689
124,124,124,124,124,124,124,124,124,124,124,124,124,124,1-8427,20,18,1-8427,189,9,0,111,110.55652713775635,0.5849551700410389
92,92,92,92,92,92,92,92,92,92,92,92,92,92,1-7807,9,17,1-7807,239,36,0,112,138.47145080566406,0.5793784552538245
342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,7,7,MLG65,201,97,0,20,115.2984733581543,0.5736242455629567
209,209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,15,8,1-9938,55,8,0,25,30.87309169769287,0.5613289399580522
422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,17,11,1-6878,167,70,0,21,89.21339702606201,0.5342119582398923
346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,14,9,MLG32,52,13,0,16,27.638778686523438,0.5315149747408353
217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,7,7,1-9630,33,12,0,6,17.48954200744629,0.5299861214377664
302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,13,16,MLG51,248,87,0,48,130.9163360595703,0.5278884518531061
234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,11,14,MLG29,164,56,0,31,84.36263370513916,0.5144063030801168
440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,7,7,MLG52,125,35,0,32,64.27755737304688,0.514220458984375
332,332,332,332,332,332,332,332,332,332,332,332,332,332,MLG78,20,18,MLG78,80,31,0,11,41.06416034698486,0.5133020043373108
91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,14,18,72-12171,19,7,0,3,9.744771003723145,0.5128826844064813
437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,6,12,1-6980,128,20,0,49,64.83125972747803,0.5064942166209221
562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,20,7,1-0003,17,4,0,5,8.574618339538574,0.5043893140905044
353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,7,7,MLG50,319,92,0,75,160.6192750930786,0.5035086993513436
123,123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,1,10,MLG55,92,27,0,21,46.21339702606201,0.5023195328919784
446,446,446,446,446,446,446,446,446,446,446,446,446,446,1-3534,9,17,1-3534,279,62,0,85,139.76851177215576,0.5009624077855045
385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-6974,19,6,1-6974,207,81,0,24,102.95816802978516,0.49738245425016986
143,143,143,143,143,143,143,143,143,143,143,143,143,143,1-8928,16,13,1-8928,39,12,0,8,19.31938934326172,0.49536895751953125
131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,18,19,1-9283,235,95,0,22,115.12832069396973,0.4899077476339137
386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,15,15,MLG68,642,178,0,143,308.8340845108032,0.48104997587352527
251,251,251,251,251,251,251,251,251,251,251,251,251,251,1-7268,6,12,1-7268,70,15,0,20,33.2984733581543,0.47569247654506136
184,184,184,184,184,184,184,184,184,184,184,184,184,184,1-8074,19,6,1-8074,145,57,0,13,68.8940076828003,0.47513108746758825
248,248,248,248,248,248,248,248,248,248,248,248,248,248,1-2400,1,10,1-2400,49,3,0,22,23.128320693969727,0.4720065447748924
549,549,549,549,549,549,549,549,549,549,549,549,549,549,1-4842,1,10,1-4842,6,1,0,2,2.8298473358154297,0.47164122263590497
153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,20,18,1-1350,195,59,0,36,91.93725204467773,0.4714730874086038
379,379,379,379,379,379,379,379,379,379,379,379,379,379,1-4640,9,17,1-4640,87,19,0,24,40.958168029785156,0.4707835405722432
245,245,245,245,245,245,245,245,245,245,245,245,245,245,1-6647,7,7,1-6647,62,17,0,13,28.894007682800293,0.4660323819806499
497,497,497,497,497,497,497,497,497,497,497,497,497,497,1-8493,10,8,1-8493,38,2,0,17,17.553702354431152,0.46193953564292506
280,280,280,280,280,280,280,280,280,280,280,280,280,280,1-7608,14,9,1-7608,4,0,0,2,1.8298473358154297,0.4574618339538574
561,561,561,561,561,561,561,561,561,561,561,561,561,561,1-9455,6,12,1-9455,2,0,0,1,0.9149236679077148,0.4574618339538574
485,485,485,485,485,485,485,485,485,485,485,485,485,485,1-5980,8,22,1-5980,29,5,0,9,13.234313011169434,0.45635562107480804
399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,15,15,MLG60,47,14,0,8,21.31938934326172,0.45360402858003657
103,103,103,103,103,103,103,103,103,103,103,103,103,103,1-8820,6,12,1-8820,83,13,0,26,36.788015365600586,0.4432291007903685
388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,13,16,MLG49,185,49,0,36,81.93725204467773,0.44290406510636615
383,383,383,383,383,383,383,383,383,383,383,383,383,383,1-8551,9,17,1-8551,38,4,0,14,16.808931350708008,0.4423402987028423
179,179,179,179,179,179,179,179,179,179,179,179,179,179,1-4052,7,7,1-4052,13,3,0,3,5.7447710037231445,0.4419054618248573
247,247,247,247,247,247,247,247,247,247,247,247,247,247,1-20467,7,7,1-20467,13,3,0,3,5.7447710037231445,0.4419054618248573
427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,8,22,1-9379,58,10,0,17,25.553702354431152,0.44058107507639915
478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,19,6,1-9394,117,25,0,29,51.53278636932373,0.4404511655497755
340,340,340,340,340,340,340,340,340,340,340,340,340,340,1-3362,9,17,1-3362,117,25,0,29,51.53278636932373,0.4404511655497755
471,471,471,471,471,471,471,471,471,471,471,471,471,471,1-9794,15,15,1-9794,46,11,0,10,20.14923667907715,0.4380268843277641
60,60,60,60,60,60,60,60,60,60,60,60,60,60,1-18202,9,17,1-18202,23,0,0,11,10.064160346984863,0.43757218899934186
283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,19,6,1-3535,315,70,0,74,137.7043514251709,0.4371566711910187
398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,16,13,1-0303,212,46,0,51,92.66110706329346,0.4370806936947805
