Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,3,21,1-1989,46,0,0,64,56.79774856567383,1.2347336644711702
269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,1-7839,5,10,1-7839,24,9,0,15,22.311972320079803,0.9296655133366585
462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,1-1183,14,19,1-1183,45,2,0,43,40.1609873175621,0.8924663848347134
556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,1-10951,1,9,1-10951,1,0,0,1,0.8874648213386536,0.8874648213386536
492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,1-6028,5,10,1-6028,2,0,0,2,1.7749296426773071,0.8874648213386536
416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,1-18203,10,11,1-18203,29,6,0,22,25.52422606945038,0.8801457265327717
426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,10,11,1-4355,49,11,0,33,40.28633910417557,0.8221701857995014
439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,MLG72,1,9,MLG72,9,6,0,1,6.887464821338654,0.7652738690376282
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,5,10,1-5002,45,14,0,23,34.41169089078903,0.7647042420175341
301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,1-1177,1,9,1-1177,17,5,0,9,12.987183392047882,0.7639519642381107
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1-18423,2,4,1-18423,47,3,0,37,35.83619838953018,0.7624723061602167
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1-7845,6,16,1-7845,36,23,0,5,27.437324106693268,0.7621478918525908
454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,1-0272,18,15,1-0272,111,34,0,56,83.6980299949646,0.7540363062609423
279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,MLG43,19,13,MLG43,14,5,0,6,10.324788928031921,0.7374849234308515
520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,1-2034,5,10,1-2034,16,2,0,11,11.76211303472519,0.7351320646703243
541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,1-5424,8,17,1-5424,5,1,0,3,3.6623944640159607,0.7324788928031921
464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,6,16,1-10060,36,2,0,27,25.961550176143646,0.7211541715595458
563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,1-21192,7,3,1-21192,4,1,0,2,2.774929642677307,0.6937324106693268
334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,1-20641,3,21,1-20641,16,4,0,8,11.099718570709229,0.6937324106693268
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,21,12,1-9277,48,9,0,27,32.961550176143646,0.6866989620029926
206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,13,7,1-9752,22,8,0,8,15.099718570709229,0.6863508441231467
361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,1-0008,7,3,1-0008,230,22,0,152,156.89465284347534,0.6821506645368494
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,7,3,1-6227,52,3,0,36,34.94873356819153,0.6720910301575294
392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,1-9609,5,10,1-9609,25,6,0,12,16.649577856063843,0.6659831142425537
536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,1-9971,1,9,1-9971,15,8,0,2,9.774929642677307,0.6516619761784871
474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,1-8400,13,7,1-8400,33,7,0,16,21.199437141418457,0.6424071861035896
517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,1-18028,23,5,1-18028,309,50,0,167,198.20662516355515,0.6414453888788192
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,6,16,1-0296,41,12,0,16,26.199437141418457,0.639010661985816
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,20,6,1-5981,28,9,0,10,17.874648213386536,0.6383802933352334
415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,10,11,1-1957,47,20,0,11,29.76211303472519,0.6332364475473444
295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,1-3639,5,10,1-3639,17,7,0,4,10.549859285354614,0.6205799579620361
417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,1-10451,1,9,1-10451,46,1,0,31,28.51140946149826,0.6198132491630056
509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,1-18935,10,11,1-18935,30,13,0,6,18.32478892803192,0.610826297601064
465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,1-5913,7,3,1-5913,14,5,0,4,8.549859285354614,0.6107042346681867
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1-8222,1,9,1-8222,12,2,0,6,7.324788928031921,0.6103990773359934
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1-8767,13,7,1-8767,48,0,0,33,29.286339104175568,0.6101320646703243
552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,MLG46,14,19,MLG46,17,5,0,6,10.324788928031921,0.6073405251783484
442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,MLG11,13,7,MLG11,87,0,0,59,52.36042445898056,0.6018439592986271
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,21,12,1-4531,94,26,0,34,56.17380392551422,0.5975936587820662
367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,1-8544,19,13,1-8544,54,31,0,1,31.887464821338654,0.5905086078025676
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,MLG39,2,4,MLG39,23,7,0,7,13.212253749370575,0.574445815190025
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1-7536,18,15,1-7536,17,0,0,11,9.76211303472519,0.5742419432191288
433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,1-5654,7,3,1-5654,15,5,0,4,8.549859285354614,0.5699906190236409
476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,1-19205,5,10,1-19205,12,5,0,2,6.774929642677307,0.5645774702231089
472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,1-9518,4,18,1-9518,22,7,0,6,12.324788928031921,0.5602176785469055
