Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,1-8646,9,20,1-8646,20,21,0,8,27.099647521972656,1.3549823760986328
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1-0405,1,17,1-0405,64,37,0,36,64.44841384887695,1.0070064663887024
201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,1-9902,3,19,1-9902,30,14,0,14,24.67438316345215,0.8224794387817382
503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,1-9076,14,5,1-9076,9,5,0,3,7.287367820739746,0.8097075356377496
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1-7845,6,8,1-7845,36,19,0,11,27.387015342712402,0.7607504261864556
444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,14,5,1-3217,5,3,0,1,3.762455940246582,0.7524911880493164
519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,1-4926,1,17,1-4926,4,3,0,0,3.0,0.75
558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,4,10,1-0055,18,4,0,12,13.149471282958984,0.7305261823866103
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1-7536,18,24,1-7536,17,0,0,16,12.199295043945312,0.7176055908203125
277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,1-4051,5,6,1-4051,5,2,0,2,3.524911880493164,0.7049823760986328
508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,1-8532,1,17,1-8532,4,2,0,1,2.762455940246582,0.6906139850616455
206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,13,15,1-9752,22,8,0,8,14.099647521972656,0.6408930691805753
439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,MLG72,1,17,MLG72,9,5,0,1,5.762455940246582,0.6402728822496202
481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,1-10038,6,8,1-10038,76,15,0,43,47.78560543060303,0.6287579661921451
313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,1-7521,2,18,1-7521,10,4,0,3,6.287367820739746,0.6287367820739747
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,16,3,1-0003,17,3,0,10,10.62455940246582,0.6249740824979895
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,20,14,1-5981,28,9,0,11,17.387015342712402,0.6209648336683001
311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,1,17,1-20578,19,9,0,3,11.287367820739746,0.5940719905652498
250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-9333,17,4,1-9333,102,27,0,43,59.78560543060303,0.5861333865745395
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,20,14,1-3206,45,5,0,28,26.348766326904297,0.5855281405978733
478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,9,20,1-9394,117,15,0,70,68.37191581726074,0.5843753488654764
474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,1-8400,13,15,1-8400,33,7,0,16,19.199295043945312,0.5817968195134943
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,1-9237,9,20,1-9237,38,3,0,25,22.06139850616455,0.5805631185832777
367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,1-8544,19,2,1-8544,54,31,0,0,31.0,0.5740740740740741
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,1,17,MLG65,201,49,0,87,115.33366680145264,0.5737993373206599
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,1-9345,4,10,1-9345,47,17,0,13,26.911927223205566,0.5725941962384163
477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,1-9055,11,11,1-9055,12,0,0,9,6.862103462219238,0.5718419551849365
470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,17,4,1-1204,39,10,0,16,22.199295043945312,0.5692126934344952
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,1-2294,4,10,1-2294,75,16,0,35,42.68595790863037,0.5691461054484049
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,7,7,72-12171,19,7,0,5,10.81227970123291,0.5690673526964689
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,10,12,MLG58,71,28,0,15,39.43683910369873,0.5554484380802638
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,6,8,1-0296,41,15,0,10,22.62455940246582,0.5518185220113615
424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,1-4700,1,17,1-4700,31,11,0,8,17.099647521972656,0.5516015329668599
278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,1-10762,17,4,1-10762,6,1,0,3,3.287367820739746,0.5478946367899576
469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,1-8578,5,6,1-8578,11,6,0,0,6.0,0.5454545454545454
531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,1-5891,23,13,1-5891,96,45,0,9,51.86210346221924,0.5402302443981171
281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,1-9995,11,11,1-9995,24,2,0,14,12.674383163452148,0.5280992984771729
324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,1-6734,10,12,1-6734,44,11,0,16,23.199295043945312,0.5272567055442117
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1-8767,13,15,1-8767,48,0,0,33,25.161046028137207,0.5241884589195251
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,1-3312,14,5,1-3312,36,15,0,5,18.81227970123291,0.5225633250342475
500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,13,15,1-0292,99,33,0,24,51.29894256591797,0.5181711370294745
442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,MLG11,13,15,MLG11,87,0,0,59,44.98490047454834,0.5170678215465326
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,23,13,1-10539,63,14,0,24,32.29894256591797,0.5126816280304439
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,15,22,P-16616,28,9,0,7,14.337191581726074,0.5120425564902169
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,2,18,1-7682,141,45,0,35,71.68595790863037,0.5084110489973785
559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,1-5914,1,17,1-5914,3,0,0,2,1.524911880493164,0.5083039601643881
301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,1-1177,1,17,1-1177,17,1,0,10,8.62455940246582,0.50732702367446
179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,1-4052,15,22,1-4052,13,2,0,6,6.574735641479492,0.5057488954984225
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,1-8124,19,2,1-8124,18,3,0,8,9.099647521972656,0.5055359734429253
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,7,7,1-6227,52,24,0,3,26.287367820739746,0.5055263042449951
541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,1-5424,8,9,1-5424,5,1,0,2,2.524911880493164,0.5049823760986328
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,7,7,MLG68,642,153,0,223,323.0276746749878,0.5031583717678938
421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,1-8398,16,3,1-8398,54,18,0,12,27.149471282958984,0.5027679867214627
533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,1-7530,1,17,1-7530,25,11,0,2,12.524911880493164,0.5009964752197266
497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,1-8493,8,9,1-8493,38,3,0,21,19.011574745178223,0.5003045985573217
545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,1-19567,1,17,1-19567,2,1,0,0,1.0,0.5
530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,1-4847,4,10,1-4847,2,1,0,0,1.0,0.5
351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,1-19229,1,17,1-19229,38,12,0,9,18.86210346221924,0.49637114374261154
480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,1-1005,5,6,1-1005,125,13,0,64,61.79718017578125,0.49437744140625
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,2,18,MLG55,92,10,0,46,45.07297325134277,0.48992362229720404
540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,1-5413,10,12,1-5413,39,13,0,8,19.099647521972656,0.4897345518454527
164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,1-9740,10,12,1-9740,34,9,0,10,16.62455940246582,0.48895762948428884
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,2,18,1-8627,25,6,0,8,12.099647521972656,0.48398590087890625
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,14,5,MLG51,248,80,0,51,118.88525295257568,0.47937601997006324
522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,1-5282,14,5,1-5282,17,5,0,4,8.049823760986328,0.47351904476390166
552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,MLG46,14,5,MLG46,17,5,0,4,8.049823760986328,0.47351904476390166
504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,1-5425,16,3,1-5425,17,5,0,4,8.049823760986328,0.47351904476390166
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,1-9850,2,18,1-9850,27,12,0,1,12.762455940246582,0.472683553342466
193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,1-9553,7,7,1-9553,23,4,0,9,10.862103462219238,0.47226536792257556
155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,1-9447,19,2,1-9447,7,1,0,3,3.287367820739746,0.4696239743913923
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,6,8,MLG52,125,54,0,6,58.57473564147949,0.4685978851318359
247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,1-20467,4,10,1-20467,13,6,0,0,6.0,0.46153846153846156
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,1,17,MLG59,71,25,0,10,32.62455940246582,0.4595008366544482
