Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,1-6216,7,15,1-6216,45,3,0,47,46.759649872779846,1.0391033305062187
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,1,17,MLG65,201,55,0,143,188.14106237888336,0.9360251859645938
367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,1-8544,19,8,1-8544,54,28,0,24,50.34535312652588,0.9323213541949237
546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,1-7527,13,11,1-7527,1,0,0,1,0.9310563802719116,0.9310563802719116
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,6,7,1-0296,41,22,0,14,35.03478932380676,0.8545070566782137
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,16,5,1-0003,17,7,0,8,14.448451042175293,0.8499088848338407
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1-7845,6,7,1-7845,36,24,0,7,30.51739466190338,0.8477054072750939
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,1-8646,9,23,1-8646,20,14,0,3,16.793169140815735,0.8396584570407868
469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,1-8578,5,14,1-8578,11,6,0,3,8.793169140815735,0.7993790128014304
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,1-5653,2,16,1-5653,11,5,0,4,8.724225521087646,0.7931114110079679
464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,6,7,1-10060,36,4,0,26,28.207465887069702,0.7835407190852695
503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,1-9076,14,4,1-9076,9,5,0,2,6.862112760543823,0.7624569733937582
519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,1-4926,1,17,1-4926,4,3,0,0,3.0,0.75
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1-1224,2,16,1-1224,151,18,0,102,112.96775078773499,0.7481307999187747
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,2,16,1-7682,141,45,0,64,104.58760833740234,0.7417560874993074
